symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InvestingCashFlow,IssuanceOfCapitalStock,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetForeignCurrencyExchangeGainLoss,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets
IIG.MI,2019-12-31,TTM,EUR,,,,,,-506000.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
IIG.MI,2023-12-31,TTM,EUR,484000.0,-820000.0,749000.0,188000.0,687000.0,-3088000.0,-6995000.0,396000.0,-8812000.0,749000.0,2164000.0,842000.0,842000.0,1233000.0,-21255000.0,22004000.0,27000.0,-820000.0,2164000.0,,2164000.0,0.0,21341416.0,21341000.0,-636000.0,-18182000.0,-18182000.0,-4583000.0,-184000.0,22824000.0,12947000.0,-9000.0,-3512000.0
