symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFO,InterestReceivedCFO,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,SaleOfIntangibles,SaleOfPPE,TaxesRefundPaid
TMP.MI,2022-12-31,3M,EUR,750000.0,-459773.0,-829.0,-163930.0,243698.0,-202526.0,-122758.0,-829.0,,187376.0,143128.0,143128.0,748959.0,159298.0,-160127.0,72042.0,,-459773.0,,300000.0,300000.0,-36916.0,,105066.0,105066.0,-454775.0,,159298.0,263084.0,-4998.0,-103786.0,299646.0,,-72042.0,2848.0,-454775.0,,-4998.0,-36916.0,,,-117.0
TMP.MI,2023-12-31,TTM,EUR,748959.0,-1617320.0,278525.0,320668.0,202665.0,-1020892.0,-497559.0,278525.0,4312000.0,234054.0,698472.0,698472.0,1027484.0,4380416.0,-2919300.0,,-141238.0,-2799911.0,4312000.0,350000.0,350000.0,-257840.0,4312000.0,-1181726.0,-1181726.0,-1588890.0,-1182591.0,68416.0,92160.0,-28430.0,-23744.0,-1301980.0,1.0,141238.0,53061.0,-1588890.0,-1182591.0,-28430.0,-257840.0,0.0,0.0,-609588.0
