symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,InvestmentsinSubsidiariesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentAccruedExpenses,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,Payables,PrepaidAssets,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
AVIO.MI,2022-12-31,3M,EUR,89825718.0,3725455.0,-123460000.0,130686924.0,-483000.0,70993000.0,6815778.0,90964212.0,131403014.0,131403014.0,131403000.0,90964212.0,293662323.0,58832000.0,785248364.0,1878679.0,38061000.0,39939679.0,849165029.0,23458025.0,1119000.0,64149492.0,183963492.0,4208000.0,269568000.0,74221000.0,343799323.0,3479277.0,2245000.0,5276000.0,8021000.0,63000.0,17221000.0,4937099.0,12076000.0,17013099.0,15605000.0,29921216.0,86317000.0,9598904.0,146108000.0,109698831.0,369000.0,16051000.0,81471150.0,9524486.0,586000.0,25268139.0,18000.0,53874.0,119814000.0,-423.0,372.0,15194000.0,36205000.0,434520595.0,109247640.0,128351000.0,0.0,66458000.0,57814313.0,26359346.0,293662323.0,109698831.0,13009300.0,1285356429.0,305738323.0,56952778.0,303261227.0,982095202.0,500106496.0,132930173.0,4227922.0,60051000.0,1091207.0,13569000.0,6644000.0,-63916665.0
AVIO.MI,2023-06-30,3M,EUR,89528586.0,2889693.0,-127360000.0,130686924.0,-483000.0,71379000.0,7261439.0,90964212.0,126607408.0,126607408.0,,90964212.0,290221232.0,62223000.0,836122716.0,1805717.0,10081000.0,11886717.0,923227750.0,26911629.0,1119000.0,62829038.0,185382038.0,3373000.0,276726000.0,95150000.0,307353232.0,3457331.0,2244000.0,5322000.0,7160000.0,63000.0,17221000.0,5455722.0,7051000.0,12506722.0,14789000.0,19467058.0,88641000.0,9421195.0,149366000.0,104839194.0,365000.0,16051000.0,80878359.0,8871716.0,1381000.0,25268139.0,3377000.0,244295.0,122553000.0,-1661.0,-493.0,18999000.0,37262000.0,476125143.0,111389586.0,119315000.0,0.0,84671000.0,54154801.0,26359346.0,290221232.0,104839194.0,12658472.0,1340109180.0,297272232.0,24393439.0,299642427.0,1040466753.0,503986067.0,117239003.0,2862000.0,59978000.0,1091207.0,13569000.0,9360000.0,-87105034.0
AVIO.MI,2023-12-31,3M,EUR,113159259.0,2943798.0,-129532000.0,130920685.0,-483000.0,90702000.0,7366650.0,90964212.0,95593462.0,95593462.0,95593000.0,90964212.0,300616709.0,50889000.0,529497852.0,1746805.0,10044000.0,11790805.0,627667528.0,18401797.0,9211000.0,62829038.0,189051038.0,3426000.0,293913000.0,123121000.0,312711709.0,3784642.0,4750000.0,5516000.0,7253000.0,63000.0,17221000.0,5619845.0,2051000.0,7670845.0,17582000.0,25435752.0,94927000.0,9736010.0,164381000.0,111565671.0,165000.0,14731000.0,81200112.0,8915891.0,717000.0,25268139.0,21000.0,621773.0,126222000.0,-1528.0,371.0,15646000.0,40174000.0,130489715.0,131317907.0,161305000.0,0.0,103130000.0,64088039.0,26359346.0,300616709.0,111565671.0,16023877.0,1055105106.0,302667709.0,19461650.0,310352719.0,744752387.0,525607264.0,117084859.0,2512648.0,60166000.0,1091207.0,13335000.0,10780000.0,-98169676.0
