asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancingCashFlow,FinishedGoods,FixedAssetsRevaluationReserve,FreeCashFlow,GainLossOnInvestmentSecurities,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,InterestReceivedCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfIntangibles,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TreasurySharesNumber,WorkInProcess,WorkingCapital
2021-12-31,12M,EUR,1174000.0,769000.0,,,0.0,149000.0,,6938500.0,0.011097,2539000.0,-1932000.0,400000.0,211000.0,211000.0,211000.0,,306000.0,-2328000.0,-1657000.0,671000.0,-138000.0,-769000.0,-1587000.0,-2327000.0,400000.0,3300000.0,401000.0,0.0,512000.0,4047000.0,1519000.0,1519000.0,,4309000.0,-86000.0,881000.0,881000.0,881000.0,732000.0,6938500.0,0.011097,77000.0,-3000.0,878000.0,211000.0,,1921000.0,1331000.0,,-4838000.0,,,582000.0,769000.0,7043000.0,3990000.0,,,,,,6000.0,2472000.0,4819000.0,-1342000.0,21000.0,401000.0,1948000.0,0.0,0.0,1948000.0,-7000.0,2137000.0,5353000.0,,,401000.0,1308000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,-269000.0,-7000.0,-11000.0,1519000.0,1941000.0,-7000.0,1000.0,1000.0,7043000.0,-1063000.0,-422000.0,2718000.0,,1948000.0,878000.0,77000.0,-2906000.0,3993000.0,-3000.0,4502000.0,6938500.0,-1000.0,4000.0,6000.0,,582000.0,-6000.0,-1000.0,-201000.0,604000.0,179000.0,,2150000.0,0.0,1940000.0,451000.0,0.0,-9000.0,1511000.0,496000.0,-289000.0,-11000.0,-1643000.0,1141000.0,512000.0,881000.0,,127000.0,-7000.0,,77000.0,20000.0,580000.0,6938500.0,-2150000.0,3300000.0,2718000.0,0.0,-86000.0,0.24,591000.0,,11693000.0,3300000.0,1519000.0,3300000.0,4505000.0,8393000.0,7646000.0,4084000.0,4502000.0,162000.0,-2150000.0,-2150000.0,,0.0,-262000.0
2022-12-31,12M,EUR,1581000.0,1141000.0,,,-4000.0,186000.0,,6938500.0,0.040643,210670.0,-1247079.0,1300000.0,754000.0,754000.0,754000.0,,52808.0,543461.0,-515512.0,253083.0,717708.0,-418127.0,89960.0,543461.0,1300000.0,4481000.0,400000.0,46000.0,3771000.0,5754000.0,1343000.0,1343000.0,,4189000.0,-71064.0,1064459.0,1064459.0,1065000.0,879000.0,6938500.0,0.040643,282000.0,297000.0,1362000.0,754133.0,,2101796.0,1775000.0,,-1565998.0,-574471.0,,1592000.0,1145000.0,6709000.0,4865000.0,,,,,,77921.0,2987000.0,8257000.0,-1239416.0,21000.0,400000.0,1530000.0,2433000.0,2433000.0,1530000.0,-246692.0,1329000.0,4927000.0,,,400000.0,3022000.0,282000.0,282000.0,282000.0,282000.0,282000.0,282407.0,282000.0,-694450.0,-87000.0,-300.0,1701796.0,1283308.0,-87000.0,1000.0,300.0,6709000.0,-544666.0,418488.0,2889000.0,,1646000.0,1362000.0,282000.0,-318919.0,4568000.0,297000.0,8636000.0,6938500.0,2.0,28000.0,4000.0,,,-77921.0,-2000.0,-378000.0,664000.0,259000.0,167000.0,700000.0,0.0,2245000.0,181000.0,54000.0,211000.0,1477000.0,425723.0,-702413.0,-300.0,-544666.0,570000.0,3771000.0,1064459.0,,174000.0,-246692.0,,282000.0,7963.0,0.0,6938500.0,-700000.0,4481000.0,2889000.0,0.0,-71000.0,0.24,623000.0,,14076000.0,6914000.0,3776000.0,4481000.0,8339000.0,9595000.0,8322000.0,5406000.0,8636000.0,,-700000.0,-700000.0,,642000.0,1565000.0
2023-12-31,12M,EUR,1849569.0,2108420.0,-2590246.0,1564650.0,,626703.0,649.0,,,754133.0,-2745315.0,1734625.0,2157145.0,2157145.0,2153252.0,3893.0,115293.0,1232857.0,853233.0,324782.0,-161615.0,-967569.0,164124.0,1232857.0,1734625.0,6615254.0,2499275.0,,3723638.0,7802204.0,841423.0,841423.0,0.0,4827173.0,43637.0,1585480.0,1585480.0,1601449.0,974746.0,,,134257.0,534190.0,2135639.0,1986989.0,11591047.0,3740264.0,702047.0,3075123.0,-1921424.0,,45885.0,2928669.0,,8864298.0,6589357.0,327718.0,327718.0,49530.0,49530.0,-278188.0,-278188.0,2536641.0,11078237.0,-3331298.0,649.0,2499275.0,2150000.0,3621560.0,3621560.0,2150000.0,-579692.0,,6630423.0,8569047.0,0.0,2499275.0,2305838.0,134257.0,134257.0,134257.0,134257.0,134257.0,53621.0,134257.0,-2244264.0,-278188.0,-585983.0,1240989.0,1570308.0,-278188.0,,,6274052.0,-501051.0,-329319.0,3686585.0,540561.0,1456826.0,2420346.0,319385.771451,823891.0,5821343.0,768014.0,10312995.0,6938500.0,-1.0,,13662.0,20750.0,2882784.0,278188.0,,164605.0,658429.0,686231.0,554224.0,,0.0,3094720.0,403520.0,,206472.0,1547644.0,284707.0,-2244264.0,-585983.0,-501051.0,621433.0,3723638.0,1585480.0,369780.0,369780.0,-579692.0,284707.0,177282.0,,,6938500.0,-284707.0,6615254.0,3686585.0,-99578.228549,72215.0,0.349757,445774.0,-45760.0,17061374.0,10236814.0,4462983.0,6615254.0,9544981.0,10446120.0,9259170.0,5618947.0,10312995.0,586722.0,-284707.0,-284707.0,0.0,1213161.0,2975031.0
