asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalExpenditureReported,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancialAssets,FinancingCashFlow,FinishedGoods,FreeCashFlow,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,LandAndImprovements,LiabilitiesHeldforSaleNonCurrent,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetInvestmentPurchaseAndSale,NetNonOperatingInterestIncomeExpense,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,RawMaterials,ReconciledDepreciation,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalRevenue,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
2022-12-31,3M,EUR,,,-228832000.0,-21075000.0,,40970000.0,,,,52918000.0,-54156000.0,,5262000.0,197344000.0,17436000.0,25493000.0,,17436000.0,,,,197344000.0,,14546000.0,453949000.0,1774000.0,161542000.0,163316000.0,133000.0,454938000.0,9445000.0,,,,,,,,,,,,410000.0,,390000.0,,,424002000.0,254804000.0,410178000.0,,783109000.0,,40970000.0,281000.0,11000.0,6800000.0,0.0,3488000.0,99386000.0,102874000.0,292000.0,6819000.0,250292000.0,,5814000.0,,,243492000.0,,,,0.0,,,,,,,,,,-15614000.0,,3942000.0,32731000.0,19292000.0,,1985000.0,,,,,,,197343794.0,,,,354780000.0,2694000.0,2685000.0,,28969000.0,85622000.0,142720000.0,8057000.0,,280718000.0,19369000.0,,0.0,9878000.0,9025000.0,,30753000.0,197343794.0,,,,,,23090000.0,1133700000.0,,266190000.0,,,605705000.0,679751000.0,150767000.0,,,6293000.0,9118000.0,-989000.0
2023-03-31,3M,EUR,95201000.0,177589000.0,,,13463000.0,38816000.0,197343794.0,0.028215,-241497000.0,,-7467000.0,-7467000.0,,,30182000.0,30182000.0,,,-21108000.0,-30866000.0,-21108000.0,,528450000.0,,354384000.0,,187939000.0,187939000.0,,329504000.0,-24000.0,11351000.0,11351000.0,12150000.0,12150000.0,197343794.0,0.028215,5568000.0,10731000.0,22881000.0,-262605000.0,632497431.0,,0.0,,-13641000.0,69222000.0,421974000.0,,,9431000.0,291651000.0,-7467000.0,38816000.0,,,,,,103712000.0,103712000.0,,6917000.0,,391727431.0,,-567000.0,0.0,261469000.0,5568000.0,5568000.0,6135000.0,,0.0,5568000.0,5568000.0,6138000.0,6135000.0,-1758000.0,-7467000.0,-1758000.0,179805000.0,,106476000.0,,,,5634000.0,,22881000.0,5568000.0,-13641000.0,208893000.0,10731000.0,219624000.0,197343794.0,,44000.0,5080000.0,352752000.0,-240000.0,13812000.0,196651000.0,41284000.0,,123675000.0,,0.0,136485000.0,,8973000.0,,-240000.0,,11351000.0,,197343794.0,528450000.0,106476000.0,0.0,2838000.0,0.316282,,994979000.0,632162000.0,291651000.0,534264000.0,208893000.0,460715000.0,640595000.0,131211000.0,10731000.0,219624000.0,,1136000.0,24880000.0
2023-06-30,3M,EUR,72282000.0,151453000.0,,,,,,,-262605000.0,,,,,,,,8459000.0,,-17187000.0,-7510000.0,-19014000.0,,518813000.0,,,,,,,,,12476000.0,12476000.0,11438000.0,11438000.0,,,7421000.0,12336000.0,24812000.0,279792000.0,650236274.0,,-16802000.0,,19281000.0,69222000.0,,,,9925000.0,,-14026000.0,,,,,,,,,,,,388767274.0,,52000.0,-16802000.0,,7421000.0,7421000.0,7369000.0,,,7421000.0,7421000.0,7366000.0,7369000.0,-1551000.0,,-1551000.0,181599000.0,,518813000.0,,14736000.0,,5860000.0,,24812000.0,7421000.0,11814000.0,100551000.0,12336000.0,112887000.0,,,,,,,,84016000.0,,,,,0.0,,,10785000.0,,,,12476000.0,,,518813000.0,518813000.0,0.0,3416000.0,0.316736,,,518813000.0,,524627000.0,100551000.0,,,,12336000.0,112887000.0,,,
2023-09-30,3M,EUR,82701000.0,153618000.0,,,,,,,279792000.0,,,,,,6520000.0,6520000.0,,,-1018000.0,6138000.0,809000.0,,514415000.0,,282078000.0,,227571000.0,227571000.0,,353274000.0,,17229000.0,17229000.0,17529000.0,17529000.0,,,-4260000.0,-4710000.0,12819000.0,280810000.0,634448770.0,,0.0,,15456000.0,69222000.0,422856000.0,,,10791000.0,286571000.0,-14647000.0,,,,,0.0,,59000000.0,59000000.0,52443000.0,6386000.0,,372979770.0,,101000.0,0.0,280051000.0,-4260000.0,-4260000.0,-4361000.0,0.0,,-4260000.0,-4260000.0,-4361000.0,-4361000.0,-1584000.0,-16474000.0,-1584000.0,186175000.0,,91559000.0,,15827000.0,,5698000.0,,12819000.0,-4260000.0,15456000.0,94113000.0,-4710000.0,89403000.0,197343794.0,209000.0,44000.0,805000.0,353634000.0,,14033000.0,74261000.0,42197000.0,,111105000.0,,0.0,124898000.0,,-6294000.0,,,,17229000.0,,197343794.0,514415000.0,91559000.0,0.0,-1933000.0,0.307118,,959379000.0,573415000.0,286571000.0,520229000.0,94113000.0,439150000.0,677301000.0,85876000.0,-4710000.0,89403000.0,,759000.0,-71196000.0
2023-12-31,3M,EUR,158597000.0,266011000.0,-240907000.0,-26808000.0,,,,,280810000.0,52416000.0,,,5569000.0,197344000.0,45396000.0,51485000.0,,45396000.0,67273000.0,15400000.0,67273000.0,197344000.0,516362000.0,9756000.0,375186000.0,2173000.0,157335000.0,159508000.0,106000.0,357467000.0,9145000.0,-26109000.0,9264000.0,9202000.0,-26170000.0,,,1981000.0,7805000.0,17069000.0,45396000.0,682632339.0,181000.0,44087000.0,455000.0,-18066000.0,65485000.0,420884000.0,292819000.0,431432000.0,10530000.0,819086000.0,-21520000.0,,384000.0,11000.0,6642000.0,0.0,3396000.0,145389000.0,148785000.0,395000.0,6361000.0,259165000.0,402581339.0,6291000.0,-96000.0,16802000.0,257328000.0,1981000.0,1981000.0,2077000.0,0.0,,1981000.0,1981000.0,2077000.0,2077000.0,-5138000.0,,-5138000.0,190525000.0,,95478000.0,2267000.0,34851000.0,18049000.0,5333000.0,885000.0,17069000.0,1981000.0,44706000.0,-321353000.0,-2187000.0,182626000.0,197343794.0,,,,355399000.0,11189000.0,2169000.0,-340169000.0,30607000.0,103453000.0,21538000.0,6089000.0,0.0,193076000.0,3986000.0,4508000.0,0.0,9967000.0,10075000.0,9264000.0,10710000.0,197343794.0,516362000.0,95478000.0,0.0,2431000.0,0.24,21530000.0,1074896000.0,661751000.0,308293000.0,522653000.0,184813000.0,552243000.0,699710000.0,194776000.0,9652000.0,182626000.0,3872000.0,11812000.0,17719000.0
2024-03-31,3M,EUR,157658000.0,229443000.0,,,,,197343794.0,0.053044,-257872000.0,,,,,,76578000.0,76578000.0,,,39995000.0,47643000.0,39995000.0,,527811000.0,,383418000.0,,146663000.0,146663000.0,,378044000.0,-307000.0,12042000.0,12042000.0,13972000.0,13972000.0,197343794.0,0.053044,10468000.0,22366000.0,36338000.0,-229320000.0,649522150.0,,-2716000.0,,70454000.0,77592000.0,431300000.0,,,10936000.0,305034000.0,-27743000.0,,,,,,,158371000.0,158371000.0,64253000.0,7980000.0,,392714150.0,,-1216000.0,-2716000.0,228456000.0,10468000.0,10468000.0,11684000.0,,,10468000.0,10468000.0,11684000.0,11684000.0,-4248000.0,-27743000.0,-4248000.0,203749000.0,,96511000.0,,18466000.0,,5417000.0,,36338000.0,10468000.0,70454000.0,150838000.0,22366000.0,173204000.0,197343794.0,-11443000.0,5116000.0,7274000.0,353708000.0,-608000.0,16408000.0,133266000.0,66449000.0,,61345000.0,,0.0,224107000.0,,18118000.0,,,,12042000.0,,197343794.0,527811000.0,96511000.0,0.0,6434000.0,0.355116,,1101186000.0,686182000.0,305034000.0,534102000.0,150838000.0,567084000.0,717768000.0,189040000.0,22366000.0,173204000.0,,864000.0,5374000.0
