symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,DeferredTax,Depreciation,DepreciationAndAmortization,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFO,InterestReceivedCFO,InvestingCashFlow,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetForeignCurrencyExchangeGainLoss,NetIncome,NetIncomeFromContinuingOperations,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherNonCashItems,RepaymentOfDebt,SaleOfPPE,StockBasedCompensation,TaxesRefundPaid
GEO.MI,2019-12-31,TTM,EUR,,,,-6480000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO.MI,2023-12-31,TTM,EUR,24303000.0,-18702000.0,-18702000.0,,46186000.0,20997000.0,17832000.0,-3005000.0,-62635000.0,6326000.0,-21111000.0,46186000.0,643000.0,73445000.0,73445000.0,-343000.0,70146000.0,2352000.0,45464000.0,-13866000.0,2553000.0,-20332000.0,104891000.0,104891000.0,-40357000.0,6021000.0,-6451000.0,-6451000.0,-1630000.0,51518000.0,64534000.0,0.0,-13016000.0,64166000.0,24998000.0,-40357000.0,0.0,-1049000.0,-1017000.0
