asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,Amortization,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CashFlowsfromusedinOperatingActivitiesDirect,ChangeInCashSupplementalAsReported,ChangesInCash,ClassesofCashPayments,ClassesofCashReceiptsfromOperatingActivities,CommonStock,CommonStockDividendPaid,CommonStockEquity,CostOfRevenue,CurrentAssets,CurrentLiabilities,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendsReceivedCFI,DividendsReceivedDirect,EBIT,EBITDA,EffectOfExchangeRateChanges,EndCashPosition,EnterpriseValue,EnterprisesValueEBITDARatio,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinancingCashFlow,FixedAssetsRevaluationReserve,FreeCashFlow,GeneralAndAdministrativeExpense,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidDirect,InterestReceivedDirect,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,MachineryFurnitureEquipment,MarketCap,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetNonOperatingInterestIncomeExpense,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCashPaymentsfromOperatingActivities,OtherCashReceiptsfromOperatingActivities,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherunderPreferredStockDividend,Payables,PaymentsonBehalfofEmployees,PrepaidAssets,PretaxIncome,Properties,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,ReceiptsfromCustomers,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaidDirect,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,,,,,,,-40377.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,85.573659,,545976.0,,,,,,,307379.0,,,,,,0.0,,,,,,,,,,0.0,545976.0,,,,,,,,,,0.0,,,,,,,,43439.0,,,,,,,,,,18931.0,21395.0,,,,,,,,,,,,,,,0.0,0.0,0.0,-40377.0,,,,,,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,
2020-12-31,12M,EUR,178210.0,,-252951.0,1215582.0,29149.0,2006240.0,-0.069523,1659097.0,595187.0,-192939.0,527028.0,2006240.0,345.0,345.0,,345.0,-735004.0,-927943.0,-927943.0,-4552287.0,3845098.0,2006240.0,,3254166.0,3358201.0,3633423.0,624191.0,282100.0,252951.0,2006240.0,-0.069523,-139479.0,,,-131688.0,150412.0,,731154.0,8997301.0,59.817707,,0.0,-40967.0,-927943.0,1343983.0,65413.0,842093.0,2170732.0,282100.0,27815.0,27815.0,0.0,0.0,-27815.0,,3763721.0,-192939.0,,0.0,527028.0,509555.0,1036583.0,77912.0,8185459.0,,0.0,509210.0,-139479.0,-139479.0,-139479.0,-139479.0,-139479.0,-139479.0,-59650.0,-27815.0,,-27815.0,589143.0,-133289.0,3188753.0,824418.0,2661.0,162612.0,31229.0,180584.0,-113094.791628,2300342.0,-129610.0,5528933.0,2006240.0,,-2870118.0,635827.0,,,65413.0,16241.0,48424.0,28093.0,230805.0,92626.0,168994.0,3170105.0,0.0,465702.0,-1682169.0,331304.0,-159503.0,0.0,,-59650.0,,-133289.0,3209271.0,3358201.0,282100.0,114887.0,114887.0,0.0,-139479.0,,,,0.0,1343983.0,2006240.0,-30172.0,3254166.0,3188753.0,-3787.791628,-20024.0,0.12554,131669.0,,5128637.0,3763721.0,1036583.0,3254166.0,5658543.0,1874471.0,1495215.0,1250280.0,5528933.0,194866.0,-30172.0,-30172.0,3009232.0,30172.0
2021-12-31,12M,EUR,123819.0,,-1116809.0,1076103.0,33145.0,2006240.0,-0.135178,731154.0,1551851.0,,1075748.0,2006240.0,121.0,121.0,,121.0,-229792.0,-132154.0,-132154.0,-4147876.0,3957113.0,2006240.0,,2969054.0,3646270.0,3071525.0,560113.0,321249.0,288104.0,2006240.0,-0.135178,-271199.0,,,-228114.0,93135.0,,599000.0,8642054.0,,,,-54880.0,-229792.0,1573231.0,123804.0,2233798.0,2694160.0,,39029.0,39029.0,0.0,0.0,-39029.0,,3328982.0,97638.0,,0.0,1075748.0,359928.0,1435676.0,290083.0,7904585.0,,,359807.0,-271199.0,-271199.0,-271199.0,-271199.0,-271199.0,-271199.0,91536.0,-39029.0,,-39029.0,1116989.0,6102.0,2845250.0,827323.0,2661.0,197649.0,,176219.0,-208055.16,2861792.0,-167632.0,6340430.0,2006240.0,,-2237042.0,62509.0,,,123804.0,54062.0,28550.0,22600.0,253745.0,130526.0,391864.0,2443791.0,0.0,375288.0,-1910834.0,507304.0,-267143.0,0.0,,,,,3894604.0,3646270.0,321249.0,127039.0,127039.0,0.0,-271199.0,,91536.0,,6102.0,1573231.0,2006240.0,-82932.0,2969054.0,2845250.0,-19940.16,4056.0,0.24,120309.0,,5193703.0,3328982.0,1435676.0,2969054.0,6508062.0,2224649.0,2122178.0,1664536.0,6340430.0,120943.0,-83084.0,-83084.0,2511412.0,82932.0
2022-12-31,12M,EUR,346996.0,2383387.0,-1395777.0,804904.0,52515.0,2006240.0,-0.396792,599000.0,1553607.0,-33418.0,877057.0,2006240.0,352172.0,352172.0,,352172.0,-213410.0,-246828.0,-246828.0,-4093648.0,3928232.0,2006240.0,,2213473.0,3654619.0,3385662.0,1272627.0,343177.0,290662.0,2006240.0,-0.396792,-796059.0,,,-754629.0,-411452.0,,352172.0,8358894.0,-20.315599,0.0,0.0,-14402.0,-246828.0,1905778.0,100163.0,2272913.0,2573237.0,,48288.0,48288.0,294.0,294.0,-47994.0,,2849587.0,-33418.0,0.0,0.0,877057.0,636114.0,1513171.0,273809.0,7021840.0,,,283942.0,-796059.0,-796059.0,-796059.0,-796059.0,-796059.0,-796059.0,-28875.0,-47994.0,,-47994.0,877136.0,-4543.0,2113310.0,814541.0,2661.0,170043.0,,-293795.0,-679406.950332,3232503.0,-659266.0,6227856.0,2006240.0,,-2288040.0,251272.0,,,100163.0,44635.0,50161.0,22000.0,256288.0,198902.0,445497.0,36969.0,0.0,1111370.0,-1805608.0,507925.0,-802917.0,0.0,,-28875.0,,-4543.0,3676960.0,3654619.0,343177.0,125094.0,125094.0,0.0,-796059.0,,,,,1905778.0,2006240.0,-116776.0,2213473.0,2113310.0,-1004.950332,-6858.0,0.008541,105209.0,,5222136.0,2849587.0,1513171.0,2213473.0,6887122.0,3008663.0,1836475.0,1736036.0,6227856.0,565472.0,-117657.0,-117657.0,2113035.0,116776.0
2023-12-31,12M,EUR,485505.0,3024692.0,-1669504.0,601707.0,41607.0,2234264.0,-0.116782,352172.0,1575750.0,-32790.0,651162.0,2234264.0,426448.0,426448.0,,426448.0,-713821.0,74276.0,74275.0,-4838425.0,4160417.0,2234264.0,,2776587.0,4835677.0,4241931.0,1307614.0,315334.0,273727.0,2234264.0,-0.116782,-260922.0,,,-223420.0,91914.0,,426448.0,7644966.0,,,820886.0,-11252.0,-746611.0,1850291.0,88557.0,2299070.0,2934424.0,,38336.0,38336.0,1690.0,1690.0,-38336.0,1690.0,3635012.0,-32790.0,,0.0,651162.0,858425.0,1509587.0,272772.0,7104959.0,,820886.0,431977.0,-260922.0,-260922.0,-260922.0,-260922.0,-260922.0,-260922.0,-30000.0,-36646.0,,-36646.0,629566.0,-2790.0,2688030.0,813546.0,2661.0,155580.0,,150864.0,-202159.824921,3132584.0,-198160.0,7770101.0,2234264.0,1.0,-3072805.0,135902.0,,,88557.0,32442.0,54012.0,32000.0,274563.0,217801.0,450548.0,54399.0,0.0,1146687.0,-1765620.0,657477.0,-261756.0,0.0,,-30000.0,,-2790.0,4024515.0,4835677.0,315334.0,120768.0,120768.0,,-260922.0,,,,,1850291.0,2234264.0,-58950.0,2776587.0,2688030.0,-187.824921,-834.0,0.003186,78915.0,834.0,5806041.0,3635012.0,1509587.0,2776587.0,7968261.0,3029454.0,1564111.0,1721840.0,7770101.0,443381.0,-58950.0,-58950.0,2934317.0,58950.0
