symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashFlowsfromusedinOperatingActivitiesDirect,ChangeInCashSupplementalAsReported,ChangesInCash,ClassesofCashPayments,ClassesofCashReceiptsfromOperatingActivities,CommonStockDividendPaid,DividendsReceivedCFI,DividendsReceivedDirect,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidDirect,InterestReceivedDirect,InvestingCashFlow,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetOtherFinancingCharges,NetPPEPurchaseAndSale,OtherCashAdjustmentOutsideChangeinCash,OtherCashPaymentsfromOperatingActivities,OtherCashReceiptsfromOperatingActivities,PaymentsonBehalfofEmployees,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,ReceiptsfromCustomers,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,TaxesRefundPaidDirect
SCM.MI,2019-12-31,12M,EUR,,-40377.0,,,,,,0.0,0.0,0.0,0.0,,545976.0,,,0.0,,0.0,545976.0,,,0.0,,,,,,,0.0,0.0,0.0,-40377.0,,0.0,0.0,0.0,1.0,0.0
SCM.MI,2020-12-31,12M,EUR,1659097.0,-192939.0,-735004.0,-927943.0,-927943.0,-4552287.0,3845098.0,,,,,731154.0,0.0,-927943.0,-27815.0,,-192939.0,,0.0,-139479.0,-59650.0,,,-133289.0,,-2870118.0,635827.0,-1682169.0,,-59650.0,,-133289.0,3209271.0,,,,0.0,
SCM.MI,2021-12-31,12M,EUR,731154.0,,-229792.0,-132154.0,-132154.0,-4147876.0,3957113.0,,,,,599000.0,,-229792.0,-39029.0,,97638.0,,,-271199.0,91536.0,,,6102.0,,-2237042.0,62509.0,-1910834.0,,,,,3894604.0,,91536.0,,6102.0,
SCM.MI,2022-12-31,12M,EUR,599000.0,-33418.0,-213410.0,-246828.0,-246828.0,-4093648.0,3928232.0,,,,,352172.0,0.0,-246828.0,-47994.0,,-33418.0,,,-796059.0,-28875.0,,,-4543.0,,-2288040.0,251272.0,-1805608.0,,-28875.0,,-4543.0,3676960.0,,,,,
SCM.MI,2023-12-31,12M,EUR,352172.0,-32790.0,-713821.0,74276.0,74275.0,-4838425.0,4160417.0,,,,,426448.0,820886.0,-746611.0,-38336.0,1690.0,-32790.0,,820886.0,-260922.0,-30000.0,,,-2790.0,1.0,-3072805.0,135902.0,-1765620.0,,-30000.0,,-2790.0,4024515.0,,,,,834.0
SCM.MI,2023-12-31,TTM,EUR,352172.0,-32790.0,-713821.0,74276.0,74275.0,-4838425.0,4160417.0,,,,,426448.0,820886.0,-746611.0,-38336.0,1690.0,-32790.0,,820886.0,-260922.0,-30000.0,,820886.0,-2790.0,1.0,-3072805.0,135902.0,-1765620.0,,-30000.0,,-2790.0,4024515.0,,,,,834.0
