asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,Amortization,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockIssuance,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendPaidCFO,DividendReceivedCFO,EBIT,EBITDA,EffectOfExchangeRateChanges,EndCashPosition,EnterpriseValue,EnterprisesValueEBITDARatio,FinancialAssets,FinancingCashFlow,FixedAssetsRevaluationReserve,FreeCashFlow,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,HedgingAssetsCurrent,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,InterestReceivedCFO,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,IssuanceOfCapitalStock,IssuanceOfDebt,LandAndImprovements,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,-7949.0,,,899.0,,-0.706713,,-480303.0,,,,,,,,,0.0,,,,,,,0.0,,2818756.0,0.0,0.0,,,,,0.0,,,,,,,,-0.706713,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,3361.0,3361.0,,,899.0,,,,2818756.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,2818756.0,,,,,,,,-478362.0,,-652110.0,12195.0,0.0,,,-1941.0,12195.0,,,,,,,,,,44608.0,,,2500.0,,,11260.0,,652110.0,,,,8406.0,95831.0,,,,0.0,-478362.0,-652110.0,-1941.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,-1044448.0,,,,,,,,0.0,,
2020-12-31,12M,EUR,291347.0,184005.0,-8917.0,3176749.0,226481.0,899.0,1474160.0,-0.50726,687450.0,-117832.0,62569.0,648985.0,648985.0,,648976.0,9.0,263069.0,-38465.0,0.0,-218714.0,-22704.0,-95195.0,-73544.0,-38465.0,62569.0,0.0,1310765.0,10561.0,0.0,0.0,1278499.0,1361143.0,4118.0,4118.0,0.0,714335.0,0.0,227449.0,227449.0,227449.0,968.0,1474160.0,-0.50726,-747783.0,,0.0,-731725.0,-504276.0,0.0,648985.0,5701922.0,-11.307145,,-4199.0,0.0,-670344.0,0.0,699026.0,11588.0,-311016.0,0.0,,16058.0,16058.0,28.0,28.0,,7825.0,1314883.0,518246.0,899.0,,,,10561.0,0.0,,0.0,0.0,0.0,0.0,899.0,0.0,6599891.0,,,0.0,10561.0,-747783.0,-747783.0,-747783.0,-747783.0,-747783.0,-747783.0,-747783.0,-117504.0,-8207.0,636078.0,-14760.0,0.0,-8207.0,2671.0,-328.0,-14760.0,611739.0,36189.0,-478894.0,-722401.0,-552512.0,403178.0,-714194.0,967483.0,1474160.0,56093.0,699026.0,8207.0,2500.0,79395.0,56093.0,11588.0,83540.0,,0.0,379241.0,,28770.0,0.0,-747783.0,0.0,25381.0,0.0,-117504.0,0.0,-328.0,1278499.0,227449.0,0.0,0.0,16882.0,-2184251.0,0.0,0.0,636078.0,0.0,,,1474160.0,-25382.0,1310765.0,611739.0,0.0,0.0,0.0,444613.0,0.0,2063789.0,1310765.0,4118.0,1310765.0,1681677.0,753024.0,702646.0,38689.0,,-7851.0,967483.0,31801.0,-25382.0,-25382.0,2500.0,,0.0,646808.0,8500.0
2021-12-31,12M,EUR,270118.0,134178.0,-10397.0,3186896.0,238141.0,899.0,1475010.0,-0.031189,648985.0,-76006.0,62605.0,991176.0,991176.0,,991167.0,9.0,-99658.0,342191.0,0.0,338293.0,-21229.0,28268.0,245674.0,342191.0,62605.0,,1274948.0,10183.0,0.0,0.0,1085143.0,1415677.0,6160.0,6160.0,0.0,674338.0,7098.0,239621.0,239621.0,239622.0,1481.0,1475010.0,-0.031189,-46004.0,,0.0,-38905.0,200717.0,0.0,991176.0,5355557.0,26.68213,0.0,12225.0,0.0,329966.0,0.0,532404.0,16073.0,355795.0,0.0,,1.0,1.0,97.0,97.0,,97.0,1281108.0,-76006.0,0.0,899.0,0.0,0.0,10183.0,0.0,,0.0,0.0,0.0,0.0,899.0,944.0,6136041.0,,,0.0,10183.0,-46004.0,-46004.0,-46004.0,-46004.0,-46004.0,-46004.0,-46004.0,-71520.0,96.0,0.0,2042.0,0.0,96.0,5676.0,-4486.0,2042.0,742544.0,2870.0,222669.0,-29320.48,405972.0,372845.0,-17050.0,1440938.0,1475010.0,,532404.0,-97.0,,43706.0,111448.0,15129.0,91178.0,,0.0,446048.0,,19582.0,43488.0,-38906.0,0.0,21952.0,0.0,-71520.0,0.0,-4486.0,1085143.0,239621.0,0.0,0.0,21952.0,-2230255.0,0.0,0.0,0.0,0.0,225205.0,225205.0,1475010.0,-21952.0,1274948.0,742544.0,-5268.48,7098.0,0.24,199145.0,-7098.0,1954656.0,1274948.0,6160.0,1274948.0,1457988.0,679708.0,538979.0,5370.0,,-97.0,1440938.0,64482.0,-21952.0,-21952.0,2500.0,,0.0,741339.0,0.0
2022-12-31,12M,EUR,416909.0,229737.0,-11828.0,6092808.0,298991.0,,1475010.0,-0.286188,1059398.0,-198818.0,72883.0,518678.0,547880.0,-1.0,518392.0,286.0,-5355.0,-540720.0,0.0,22126.0,16350.0,-11283.0,5488.0,-540720.0,72883.0,,3769006.0,2916189.0,0.0,0.0,1080964.0,997721.0,57374.0,57374.0,0.0,813855.0,0.0,413359.0,413359.0,300662.0,1671.0,1475010.0,-0.286188,-422130.0,,0.0,-422432.0,-9073.0,0.0,518678.0,4502263.0,,0.0,2590394.0,0.0,27526.0,2984507.0,3739501.0,15531.0,74078.0,0.0,0.0,193.0,193.0,1022.0,1022.0,,2608.0,3882097.0,-3158640.0,0.0,899.0,0.0,0.0,2916189.0,0.0,0.0,55717.0,55717.0,0.0,0.0,899.0,15531.0,5074034.0,83002.0,495.0,0.0,2916189.0,-422130.0,-422130.0,-422625.0,-422130.0,-422130.0,-399297.0,-422625.0,-198818.0,829.0,-2945391.0,3472.0,0.0,829.0,15531.0,0.0,3472.0,29505.0,14696.0,-896.0,-413953.0,27526.0,489355.0,-415277.0,1155042.0,1475010.0,161677.0,754994.0,-830.0,2498.0,63704.0,36384.0,15129.0,86977.0,29202.0,0.0,488862.0,,28736.0,,-422625.0,0.0,11221.0,0.0,-198818.0,-2945391.0,0.0,1080964.0,413359.0,0.0,0.0,6597.0,-2652385.0,0.0,0.0,0.0,0.0,,,1475010.0,-8177.0,3769006.0,29505.0,0.0,0.0,0.0,133127.0,0.0,4758201.0,3824723.0,113091.0,3852008.0,1570319.0,906193.0,3760481.0,92338.0,,-1022.0,1155042.0,35569.0,-8177.0,-8177.0,19427.0,,0.0,183866.0,1580.0
2023-12-31,12M,EUR,389536.0,175878.0,,6092808.0,679797.0,,,,518678.0,,72883.0,167396.0,167396.0,,167370.0,26.0,98305.0,-351282.0,,-103658.0,-27373.0,-53859.0,-86585.0,-351282.0,72883.0,,2866789.0,,,,1638696.0,463749.0,25982.0,25982.0,,647807.0,3946.0,724208.0,724208.0,684208.0,4411.0,,,-902217.0,,,-890542.0,-166334.0,,167396.0,3585277.0,-21.554685,,-46974.0,,-16529.0,2690330.0,3205402.0,11120.0,147330.0,,40000.0,4489.0,4489.0,4519.0,4519.0,,,2934572.0,-287779.0,,899.0,,0.0,,,0.0,41801.0,41801.0,,,899.0,11120.0,3805173.0,86242.0,-3240.0,,,-902217.0,-902217.0,-898977.0,-902217.0,-902217.0,-619044.0,-898977.0,,1655.0,,,,1655.0,11120.0,,,-338613.0,22820.0,-113004.0,-861686.2,-16529.0,990687.0,-843357.0,1786026.0,1714042.0,171553.0,515072.0,-51419.0,2500.0,164665.0,26618.0,,90334.0,,0.0,442636.0,8124.0,,,-895031.0,0.0,2586.0,,,,,1638696.0,724208.0,,,13330.0,-3554602.0,,,,,,,1714042.0,-53330.0,2866789.0,-338613.0,-12799.2,3946.0,0.24,30141.0,,3685720.0,2908590.0,67783.0,2953031.0,2629383.0,732689.0,3221971.0,84882.0,,-1625.0,1786026.0,26482.0,-53330.0,-53330.0,17761.0,0.0,,-184058.0,0.0
