symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,DeferredTax,Depreciation,DepreciationAndAmortization,DividendPaidCFO,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFO,InterestReceivedCFO,InvestingCashFlow,NetIncome,NetIncomeFromContinuingOperations,OperatingCashFlow,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets
CFM.MI,2019-12-31,TTM,EUR,,,,,,,,,,,,0.0,,,,3361.0,3361.0,,,,,,,
CFM.MI,2023-12-31,TTM,EUR,518678.0,98305.0,-351282.0,-103658.0,-27373.0,-53859.0,-86585.0,-351282.0,3946.0,724208.0,724208.0,,167396.0,-46974.0,-16529.0,,,-287779.0,-902217.0,-619044.0,-16529.0,-51419.0,8124.0,2586.0
