asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,Amortization,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EffectOfExchangeRateChanges,EndCashPosition,EnterpriseValue,EnterprisesValueEBITDARatio,FinancialAssets,FinancingCashFlow,FixedAssetsRevaluationReserve,FreeCashFlow,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,,,11656100.0,-0.24811,,,,,,0.0,,,,,,,,,,,,,,,,,497000.0,497000.0,,,,,,,,11656100.0,-0.24811,,,,,,,,,,,,,379000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,1000.0,1000.0,-10000.0,,,,,778000.0,,,,2920000.0,,,,,,,,,,314000.0,314000.0,,,,,,,,,379000.0,,,,,,,,,,,,,,,,,,29000.0,,,,,,,
2020-12-31,12M,EUR,967909.0,500997.0,,,,11656100.0,-0.209731,462448.0,-232637.0,9186040.0,728478.0,728478.0,0.0,729000.0,-65000.0,266030.0,0.0,1586961.0,-1797458.0,1443795.0,1233298.0,266030.0,9186040.0,4844700.0,250000.0,0.0,,4643273.0,5524840.0,23028.0,23028.0,482062.0,2098568.0,-482062.0,,0.0,0.0,0.0,11656100.0,-0.209731,-2444648.0,0.0,-4380004.0,-4380004.0,0.0,728478.0,,,,1948160.0,1585116.0,-1682130.0,420230.0,1449339.0,3929262.0,69000.0,875060.0,,,,-17008.0,,7192828.0,-232637.0,153447.0,,,,250000.0,1698160.0,2325100.0,2325100.0,1698160.0,0.0,,,4000.0,,,162.0,0.0,250000.0,1619650.0,-2444648.0,-2444648.0,-2444810.0,-2444648.0,-2444648.0,-2444810.0,-2444810.0,-215107.0,-39866.0,0.0,0.0,0.0,-39866.0,1698160.0,68875.0,-17530.0,0.0,915438.0,408000.0,-5883535.0,-3700544.268819,-1449493.0,5255064.0,-4380004.0,5518333.0,11656100.0,,750100.0,518926.0,168.0,2479923.0,202391.0,1000.0,408056.0,-10533.0,2980535.0,160937.0,65000.0,1883384.0,-1503531.0,0.0,1293679.0,215638.0,195000.0,-2926872.0,0.0,0.0,-215107.0,0.0,-17530.0,,4643273.0,0.0,223992.0,223992.0,0.0,0.0,,-13835086.0,0.0,0.0,0.0,0.0,420230.0,11656100.0,1503531.0,4844700.0,915438.0,247634.731181,-482062.0,0.164702,1179819.0,0.0,9676424.0,7169800.0,2348128.0,4844700.0,9898337.0,4831724.0,4151584.0,2733156.0,21775.0,5518333.0,164833.0,1503531.0,1503531.0,,3426272.0,
2021-12-31,12M,EUR,1382740.0,974470.0,-44950.0,9249266.0,0.0,12128600.0,-0.162715,728476.0,-1355025.0,10275040.0,5200914.0,5200914.0,,5200914.0,,4472436.0,0.0,783447.0,378874.0,-416165.0,746156.0,4472436.0,10275040.0,6030917.0,4198575.0,0.0,0.0,7760747.0,9451735.0,21866.0,21866.0,750734.0,3069250.0,-268672.0,,0.0,0.0,0.0,12128600.0,-0.162715,-1973504.0,0.0,-2174823.0,-2174823.0,0.0,5200914.0,17370038.0,-7.986874,,6737330.0,1585116.0,-2308794.0,530984.0,1449339.0,5267956.0,130155.0,118065.0,0.0,67353.0,67353.0,-67353.0,,10894786.0,-1311125.0,109447.0,,,,4198575.0,2538769.0,4863869.0,4863869.0,2538769.0,0.0,,517189.0,5164.0,16131038.0,,0.0,0.0,4198575.0,,-1973504.0,-1973504.0,-1973504.0,-1973504.0,-1973504.0,-1973504.0,-1973504.0,-1338695.0,-67353.0,43900.0,-14.0,0.0,-67353.0,2538769.0,85205.0,-16330.0,-14.0,762961.0,433118.0,-1930323.0,-1758301.568077,-953769.0,2047456.0,-1929391.0,7878812.0,12128600.0,2.0,,482969.0,,3818617.0,255410.0,,950307.0,-2173.0,695177.0,245451.0,124991.0,1176280.0,-23196.0,0.0,1711738.0,119244.0,,-2242176.0,517189.0,0.0,-1338695.0,-100.0,-16330.0,,7760747.0,0.0,44519.0,44519.0,0.0,0.0,188057.0,-16097430.0,0.0,0.0,44000.0,0.0,530984.0,12128600.0,-244500.0,6030917.0,762961.0,-29297.568077,-268672.0,0.119826,1349337.0,0.0,14914343.0,10894786.0,4863869.0,6030917.0,9808203.0,8883426.0,5462608.0,5814176.0,39964.0,7878812.0,83547.0,-244500.0,-244500.0,,6382485.0,56443.0
2022-12-31,12M,EUR,1809895.0,1338647.0,-44950.0,8516177.0,0.0,12130100.0,-0.07842,5200914.0,-693303.0,10275490.0,3542899.0,3542899.0,,3542899.0,,-1658015.0,,466357.0,427155.0,225801.0,1119313.0,-1658015.0,10275490.0,5081243.0,1568.0,,0.0,26508961.0,8064749.0,,,1101081.0,4105873.0,-353719.0,,,0.0,0.0,12130100.0,-0.07842,-951242.0,,-1021240.0,-1021240.0,,3542899.0,12239070.0,-10.164412,200000.0,104068.0,1585116.0,-1486893.0,,1449339.0,5941346.0,150068.0,1546586.0,0.0,100851.0,100851.0,-101190.0,0.0,10047612.0,-968493.0,90164.0,7100.0,87373.0,,1568.0,,4966369.0,4966369.0,,-10000.0,94473.0,57491.0,5164.0,13098888.0,,0.0,,1568.0,1423470.0,-951242.0,-951242.0,-951242.0,-951242.0,-951242.0,-951242.0,-951242.0,-673390.0,-100851.0,-275190.0,-10000.0,-10000.0,-100851.0,112500.0,105118.0,-19913.0,,-860103.0,284874.0,-838709.0,-818187.331315,-793590.0,2567826.0,-1021240.0,28055547.0,12130100.0,,423000.0,713708.0,,4492007.0,101190.0,,1000.0,,127747.0,284420.0,144904.0,883505.0,,0.0,2180090.0,195379.0,,-1304961.0,182531.0,,-673390.0,-275190.0,-19913.0,,26508961.0,0.0,55422.0,55422.0,-10000.0,,182531.0,-17048672.0,,,,,,12130100.0,-182531.0,5081243.0,-860103.0,-49476.331315,-353719.0,0.271057,1198617.0,,14495850.0,10047612.0,4966369.0,5081243.0,29076787.0,9414607.0,6431101.0,5308734.0,,28055547.0,85775.0,-182531.0,-182531.0,,3958876.0,0.0
2023-12-31,12M,EUR,12304122.0,11661739.0,-265235.0,8427038.0,1684777.0,,,3542899.0,-12294410.0,11115091.0,2345018.0,2345018.0,,2345018.0,,-1197881.0,-775.0,783791.0,10494227.0,-10682396.0,594847.0,-1197881.0,11115091.0,5339460.0,839601.0,,,48217521.0,18248790.0,,,1928784.0,15016258.0,-246315.0,1761222.0,1761222.0,1761222.0,76445.0,,,-2353293.0,,-1607595.0,153627.0,,2345018.0,22174992.0,,225175.0,10020178.0,1585116.0,-10956427.0,,2169034.0,16354893.0,489996.0,4428807.0,0.0,,,-530491.0,775.0,19436406.0,-12556042.0,320701.0,7100.0,89150.0,4143.0,839601.0,,14096946.0,14096946.0,,-10000.0,100393.0,95750.0,23551.0,15201992.0,229891.0,-100170.0,,839601.0,11751928.0,-2353293.0,-2353293.0,-2253123.0,-2353293.0,-2353293.0,-2253126.0,-2253123.0,-12098323.0,-530491.0,-261632.0,3240577.0,-10000.0,-530491.0,5940000.0,224761.0,-196087.0,3250577.0,-11015433.0,645798.0,512624.0,-2029674.491507,1337983.0,6036402.0,-1607595.0,52646328.0,17859478.0,,,906416.0,,14185859.0,1552091.0,,,,390547.0,754263.0,466445.0,1251819.0,,0.0,13300172.0,241208.0,,-2499438.0,517244.0,,-12098323.0,-261632.0,-196087.0,775.0,48217521.0,1761222.0,,,-10000.0,,298427.0,-18932025.0,,,,,,17859478.0,-358997.0,5339460.0,-11015433.0,-35378.491507,-246315.0,0.098548,1060655.0,,35474713.0,19436406.0,14096946.0,5569351.0,54253923.0,29905362.0,17225923.0,14889104.0,,52646328.0,241787.0,-358997.0,-358997.0,50610.0,3232532.0,60570.0
