asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,AmortizationCashFlow,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInPrepaidAssets,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockIssuance,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnSaleOfPPE,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,InterestReceivedCFO,InventoriesAdjustmentsAllowances,Inventory,InvestedCapital,InvestingCashFlow,InvestmentsinAssociatesatCost,IssuanceOfCapitalStock,IssuanceOfDebt,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RepurchaseOfCapitalStock,RetainedEarnings,SaleOfBusiness,SaleOfInvestment,SaleOfPPE,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TreasurySharesNumber,WorkInProcess,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,4629000.0,,,,,,,4065000.0,,,,,,-5492000.0,,,,,,,-41000.0,,,,,-5492000.0,,,-262000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1249000.0,-1000.0,,,,,,,,,,,,,,,-1.0,,-1.0,,,,,1.0,,,,,,,,,,,59000.0,,,,,,,,,,,-262000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,-93141.0,,,,,,,,
2020-12-31,12M,EUR,2956786.0,7084606.0,-16170090.0,,-446126.0,194094.0,,10647494.0,0.18,4963105.0,3046000.0,-462800.0,3210563.0,1088495.0,13415179.0,21459525.0,,13406787.0,8392.0,8452074.0,1238789.0,-34000.0,-1274361.0,-148556.0,4900623.0,4716495.0,8452074.0,1088495.0,,26210723.0,,,164995.0,20396953.0,42995944.0,943509.0,6904309.0,7847818.0,12755477.0,367380.0,2183381.0,2183381.0,2183381.0,1989287.0,10647494.0,0.18,1916549.0,2479929.0,4663310.0,13415179.0,121951670.0,1722591.0,2402868.0,6719059.0,0.0,2136160.0,2318181.0,2621634.0,7530732.0,22049822.0,12119359.0,196000.0,196000.0,377869.0,377869.0,-770183.0,233231.0,-630841.0,12253639.0,43870000.0,-452376.0,50000.0,,7500000.0,4809.0,2267054.0,10754968.0,13022022.0,7500000.0,-3484107.0,50000.0,39271.0,8442267.0,112660288.0,0.0,0.0,0.0,-1049302.0,4244098.0,1916549.0,1916549.0,1916549.0,1916549.0,1916549.0,1647257.0,1916549.0,-145965.0,103758.0,10424.0,4015893.0,4015893.0,103758.0,,,5879732.0,-316835.0,23589089.0,760716.0,935531.0,66378.0,4713969.0,1959059.277592,7181859.0,9179529.0,2939830.0,32516312.0,10885052.0,,1.0,377635.0,,303453.0,1.0,605242.0,588620.0,,1248199.0,721714.0,13437751.0,458199.0,8044346.0,0.0,4045311.0,-5583.0,2283929.0,0.0,50182.0,,-145965.0,0.0,-316835.0,3594687.0,20396953.0,2183381.0,89557.0,89557.0,-3484107.0,,20080251.0,0.0,10424.0,,579475.0,2715635.0,11000000.0,-50659.0,26210723.0,23589089.0,-8148.722408,367380.0,0.160854,1739974.0,-1845543.0,52963024.0,36965691.0,20869840.0,26210723.0,29576482.0,26752301.0,9967080.0,13996824.0,78111.0,32516312.0,366811.0,-50659.0,-50659.0,114948.0,6886924.0,30240467.0,50659.0
2021-12-31,12M,EUR,9020141.0,12995603.0,-16897866.0,,-486187.0,139054.0,139054.0,10814711.0,0.46,13415179.0,4866000.0,-598799.0,5013511.0,1087901.0,8075158.0,18900195.0,-2842007.0,8069404.0,5754.0,-5340021.0,-5071899.0,-109183.0,5946552.0,-109183.0,-6667964.0,-5902494.0,-5340022.0,1087901.0,-2842007.0,28376029.0,,-109620.0,246437.0,29157064.0,52343914.0,1092438.0,9183071.0,10275509.0,22027767.0,1707944.0,1870784.0,2009838.0,2009839.0,1870785.0,10814711.0,0.46,4974767.0,6910712.0,8920551.0,8075158.0,163416427.0,-4062823.0,2605966.0,1269557.0,0.0,2584456.0,2318181.0,2632340.0,13481790.0,24316621.0,16886690.0,228000.0,228000.0,,,-381053.0,447118.0,-756448.0,17325538.0,46180001.0,-3145555.0,0.0,,7163848.0,5210.0,3921073.0,8620901.0,12541974.0,7163848.0,-7019223.0,0.0,40291.0,8562691.0,150134478.0,0.0,0.0,50000.0,-109620.0,9728814.0,4974767.0,4974767.0,4974768.0,4974767.0,4974767.0,5116935.0,4974767.0,-149760.0,-144867.0,-2596755.0,144625.0,144625.0,-144867.0,,-1.0,7418755.0,-449039.0,25743689.0,869899.0,775447.0,59678.0,8890990.53,4952761.490826,1868356.0,10284675.0,6602015.0,46043754.0,10879310.0,1.0,-1.0,595626.0,1.0,314159.0,,-129951.0,430222.0,,1281859.0,1032279.0,15502283.0,890863.0,10825037.0,0.0,10518879.0,-159065.0,6682712.0,0.0,-151177.0,,-149760.0,-6569016.0,-449039.0,4315532.0,29157064.0,2009838.0,274895.0,274895.0,-7019223.0,-109620.0,22885798.0,50000.0,3972261.0,0.0,632630.0,3217086.0,11000000.0,-68439.53,28376029.0,25743689.0,7554.960826,1707944.0,0.255576,2231716.0,-840916.0,63761508.0,36996930.0,22817483.0,28376029.0,39441739.0,35385479.0,11417594.0,13357712.0,-83133.0,46043754.0,466459.0,29560.47,29560.47,120690.0,11160488.0,30316147.0,68439.53
2022-12-31,12M,EUR,13487204.0,21592254.0,-17602495.0,,-524671.0,123338.0,123338.0,10834736.0,1.13,8075158.0,4866000.0,-888318.0,4809769.0,1083955.0,5825350.0,14398874.0,-3478304.0,5819137.0,6213.0,-2725532.0,-9094794.0,113421.0,2459277.0,,-9739871.0,-16261967.0,-2725531.0,1083955.0,-3478304.0,36693185.0,,-470930.0,273582.0,52232941.0,68826097.0,1174874.0,10819475.0,11994349.0,30683626.0,4564615.0,1885826.0,2009164.0,2009163.0,1885825.0,10834736.0,1.13,12243252.0,17089867.0,19099031.0,5349626.0,156408973.0,-4490464.0,4104124.0,894093.0,0.0,3324648.0,2318181.0,2719137.0,22116925.0,24773456.0,30175446.0,282000.0,282000.0,,,-1320667.0,1081487.0,-976831.0,26420332.0,55695969.0,-17478.0,0.0,,10101587.0,5532.0,3634895.0,8183309.0,11818204.0,10101587.0,-9378426.0,0.0,41487.0,8854150.0,136920331.0,0.0,0.0,0.0,-470930.0,13177434.0,12243252.0,12243252.0,12243252.0,12243252.0,12243252.0,12266390.0,12243252.0,-210135.0,-282000.0,870840.0,723161.0,723161.0,-282000.0,,,7170961.0,-678183.0,33974048.0,756478.0,772315.0,59678.0,20454264.0,13230436.104784,1782411.0,11934983.0,18240463.0,82408387.0,10839837.0,-1.0,,734934.0,,400956.0,1.0,1330358.0,469766.0,,1588036.0,1017758.0,15640192.0,1603045.0,8573524.0,0.0,17223726.0,-1935.0,16807867.0,0.0,,0.0,-210135.0,-39544.0,-678183.0,7566081.0,52232941.0,2009164.0,310875.0,310875.0,-9378426.0,-470930.0,31676850.0,0.0,910384.0,0.0,556843.0,3881491.0,11000000.0,-102233.0,36693185.0,33974048.0,-368048.895216,4564615.0,0.271576,4811592.0,-1885035.0,80008817.0,44876494.0,23812553.0,36693185.0,64167924.0,43315632.0,11182720.0,12632006.0,120358.0,82408387.0,2718764.0,-1355233.0,-1355233.0,160163.0,15726957.0,38142471.0,102233.0
2023-12-31,12M,EUR,10823737.0,18149825.0,-24371036.0,,-575748.0,151179.0,151179.0,10996432.0,1.28,5349626.0,,-1303949.0,6644602.0,1099613.0,14612848.0,21591489.0,-6502736.0,14608347.0,4501.0,6554772.0,729571.0,-150491.0,-5474276.0,,6243205.0,1348009.0,6554772.0,1099613.0,-6502736.0,46210334.0,2115035.0,,315526.0,59286903.0,71745597.0,1416216.0,10147066.0,11563282.0,26875964.0,5052737.0,2024992.0,2176171.0,2176170.0,2024991.0,10996432.0,1.28,13993764.0,20721047.0,22897218.0,11904398.0,210392851.0,-11353755.0,5396333.0,17038617.0,0.0,5030139.0,2318181.0,2766024.0,18725573.0,34721122.0,35232521.0,1674546.0,1674546.0,,,-1386374.0,709000.0,-2815929.0,27623705.0,61809843.0,-434039.0,0.0,2115035.0,4777000.0,2500748.0,5228386.0,5452443.0,10680829.0,4777000.0,-10413001.0,0.0,43012.0,13865652.0,198848839.0,0.0,0.0,-1112471.0,2115035.0,986661.0,13993764.0,13993764.0,13993764.0,13993764.0,13993764.0,13904850.0,13993764.0,-198066.0,-1674546.0,1982382.0,-5636001.0,-5636001.0,-1674546.0,1.0,-1.0,10350086.0,-1105883.0,43444310.0,906969.0,2537875.0,59678.0,22362618.97,13600985.680221,18342566.0,15607469.0,19625052.0,94519424.0,10996432.0,,,922614.0,-1.0,447843.0,,484951.0,512960.0,,1956428.0,1319275.0,18039196.0,1377345.0,6978641.0,0.0,13434201.0,-177505.0,19046501.0,0.0,,-1112471.0,-198066.0,-1486965.0,-1105883.0,8752207.0,59286903.0,2176171.0,428600.0,428600.0,-10413001.0,,39156125.0,,3469347.0,0.0,711138.0,5741277.0,11000000.0,93599.03,46210334.0,43444310.0,141820.710221,5052737.0,0.265284,3003233.0,-3769272.0,86348014.0,51662777.0,22244111.0,46210334.0,74894372.0,40137680.0,14602417.0,13261716.0,,94519424.0,1291189.0,534599.03,534599.03,3568.0,16291094.0,44869633.0,-93599.03
