symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,InventoriesAdjustmentsAllowances,Inventory,InvestedCapital,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkInProcess,WorkingCapital
BEC.MI,2019-12-31,12M,EUR,,,,4629000.0,,4065000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,-1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
BEC.MI,2020-12-31,12M,EUR,2956786.0,7084606.0,-16170090.0,,-446126.0,3046000.0,3210563.0,1088495.0,13415179.0,21459525.0,13406787.0,8392.0,1088495.0,26210723.0,164995.0,42995944.0,943509.0,6904309.0,7847818.0,12755477.0,2402868.0,2318181.0,2621634.0,7530732.0,22049822.0,-630841.0,12253639.0,43870000.0,50000.0,4809.0,2267054.0,10754968.0,13022022.0,50000.0,39271.0,8442267.0,0.0,4244098.0,5879732.0,23589089.0,760716.0,935531.0,66378.0,10885052.0,1.0,377635.0,,303453.0,1.0,588620.0,,721714.0,13437751.0,458199.0,8044346.0,4045311.0,0.0,3594687.0,20080251.0,11000000.0,26210723.0,23589089.0,1739974.0,52963024.0,36965691.0,20869840.0,26210723.0,26752301.0,9967080.0,13996824.0,366811.0,114948.0,6886924.0,30240467.0
BEC.MI,2021-12-31,12M,EUR,9020141.0,12995603.0,-16897866.0,,-486187.0,4866000.0,5013511.0,1087901.0,8075158.0,18900195.0,8069404.0,5754.0,1087901.0,28376029.0,246437.0,52343914.0,1092438.0,9183071.0,10275509.0,22027767.0,2605966.0,2318181.0,2632340.0,13481790.0,24316621.0,-756448.0,17325538.0,46180001.0,0.0,5210.0,3921073.0,8620901.0,12541974.0,0.0,40291.0,8562691.0,0.0,9728814.0,7418755.0,25743689.0,869899.0,775447.0,59678.0,10879310.0,-1.0,595626.0,1.0,314159.0,,430222.0,,1032279.0,15502283.0,890863.0,10825037.0,10518879.0,0.0,4315532.0,22885798.0,11000000.0,28376029.0,25743689.0,2231716.0,63761508.0,36996930.0,22817483.0,28376029.0,35385479.0,11417594.0,13357712.0,466459.0,120690.0,11160488.0,30316147.0
BEC.MI,2022-12-31,12M,EUR,13487204.0,21592254.0,-17602495.0,,-524671.0,4866000.0,4809769.0,1083955.0,5825350.0,14398874.0,5819137.0,6213.0,1083955.0,36693185.0,273582.0,68826097.0,1174874.0,10819475.0,11994349.0,30683626.0,4104124.0,2318181.0,2719137.0,22116925.0,24773456.0,-976831.0,26420332.0,55695969.0,0.0,5532.0,3634895.0,8183309.0,11818204.0,0.0,41487.0,8854150.0,0.0,13177434.0,7170961.0,33974048.0,756478.0,772315.0,59678.0,10839837.0,,734934.0,,400956.0,1.0,469766.0,,1017758.0,15640192.0,1603045.0,8573524.0,17223726.0,0.0,7566081.0,31676850.0,11000000.0,36693185.0,33974048.0,4811592.0,80008817.0,44876494.0,23812553.0,36693185.0,43315632.0,11182720.0,12632006.0,2718764.0,160163.0,15726957.0,38142471.0
BEC.MI,2023-12-31,12M,EUR,10823737.0,18149825.0,-24371036.0,,-575748.0,,6644602.0,1099613.0,14612848.0,21591489.0,14608347.0,4501.0,1099613.0,46210334.0,315526.0,71745597.0,1416216.0,10147066.0,11563282.0,26875964.0,5396333.0,2318181.0,2766024.0,18725573.0,34721122.0,-2815929.0,27623705.0,61809843.0,0.0,2500748.0,5228386.0,5452443.0,10680829.0,0.0,43012.0,13865652.0,0.0,986661.0,10350086.0,43444310.0,906969.0,2537875.0,59678.0,10996432.0,,922614.0,-1.0,447843.0,,512960.0,,1319275.0,18039196.0,1377345.0,6978641.0,13434201.0,0.0,8752207.0,39156125.0,11000000.0,46210334.0,43444310.0,3003233.0,86348014.0,51662777.0,22244111.0,46210334.0,40137680.0,14602417.0,13261716.0,1291189.0,3568.0,16291094.0,44869633.0
