symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,CapitalExpenditure,CommonStockDividendPaid,GainLossOnInvestmentSecurities,IssuanceOfDebt,LongTermDebtIssuance,NetIncome,NetInvestmentPropertiesPurchaseAndSale,PurchaseOfInvestment
ABC.MI,2019-06-30,TTM,EUR,74752.0,-109705.0,0.0,-8867265.0,6474732.0,6474732.0,,-16482891.0,-5204814.0
ABC.MI,2021-06-30,TTM,EUR,,,,,,,-62568.0,,
