symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,CommonStockPayments,DeferredTax,Depreciation,DepreciationAndAmortization,DividendReceivedCFO,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InterestPaidCFO,InterestReceivedCFO,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPropertiesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,RepaymentOfDebt,RepurchaseOfCapitalStock,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,TaxesRefundPaid
ABC.MI,2019-06-30,TTM,EUR,74752.0,,-109705.0,,,,,,,,0.0,,,,,,,,,,,-8867265.0,,,,,6474732.0,6474732.0,,,,,,,-16482891.0,,,,,,,,,,,,,-5204814.0,,,,,,,
ABC.MI,2019-12-31,12M,EUR,,0.0,,-1236417.0,0.0,0.0,-496395.0,0.0,0.0,-1236417.0,0.0,0.0,0.0,-49184.0,12670.0,0.0,0.0,0.0,200000.0,0.0,-1236417.0,,-367753.0,0.0,0.0,0.0,,,0.0,0.0,0.0,-1187233.0,-1187233.0,0.0,,0.0,0.0,0.0,-40719523.0,0.0,0.0,-1236417.0,1436417.0,367753.0,0.0,0.0,0.0,,0.0,0.0,0.0,354461.0,38233717.0,164.0,0.0
ABC.MI,2020-12-31,12M,EUR,,200000.0,,-72381.0,0.0,-17910.0,51623.0,-480.0,33233.0,-72381.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,127619.0,0.0,-72381.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,-105614.0,-105614.0,0.0,,0.0,0.0,0.0,,0.0,0.0,-72381.0,,-2.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0
ABC.MI,2021-06-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-62568.0,,,,,,,,,,,,,,,,,,,,,,,
