symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
ABC.MI,2019-06-30,TTM,EUR,,,,,,,,,,,,1851347.0,,,,,,38450.0,,,,,,,,,,,,,,,703578.0,,,,,1851347.0,,,,,,4513819.0,,,,,
ABC.MI,2019-12-31,12M,EUR,12608.0,,-34.926836,897699.0,12670.0,62.0,,-34.926836,-1187233.0,-1232117.0,-1219447.0,,-50938.0,4300.0,4300.0,0.0,0.0,,-1187233.0,-1187233.0,-1187233.0,-1187233.0,-1187233.0,-1187233.0,-1328954.0,-1328954.0,-477076.0,-474393.117143,12670.0,-63608.0,846761.0,-62685.0,,0.0,-1236417.0,897699.0,0.0,,-126055.0,-29531.117143,-49184.0,0.039779,910369.0,,1324654.0,846761.0,-742371.0,-742371.0,126055.0
ABC.MI,2020-12-31,12M,EUR,0.0,33992.0,-3.107025,111939.0,0.0,0.0,33992.0,-3.107025,-105614.0,-105614.0,-105614.0,,-103546.0,0.0,0.0,,,,-105614.0,-105614.0,-105614.0,-105614.0,-105614.0,-105614.0,2.0,2.0,-105614.0,-105614.0,0.0,-103546.0,8393.0,-2070.0,,0.0,-105614.0,111939.0,0.0,,0.0,0.0,0.0,0.0,111939.0,,-2.0,8393.0,0.0,0.0,0.0
ABC.MI,2021-06-30,TTM,EUR,,,-1.840668,66685.0,0.0,0.0,,-1.840668,-62568.0,-62568.0,-62568.0,,-60444.0,0.0,0.0,,,,-62568.0,-62568.0,-62568.0,-62568.0,-62568.0,-62568.0,2.0,2.0,-62568.0,-62568.0,56.0,-60500.0,6241.0,,,0.0,-62568.0,66685.0,0.0,,0.0,0.0,0.0,0.0,66741.0,,,6241.0,0.0,0.0,0.0
