symbol,asOfDate,periodType,currencyCode,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
ABC.MI,2019-06-30,TTM,EUR,,,,,,,,,1851347.0,,,,38450.0,,,,,,,,,,,,,,703578.0,,,,,1851347.0,,,,,,4513819.0,,,,
ABC.MI,2021-06-30,TTM,EUR,-1.840668,66685.0,0.0,0.0,-1.840668,-62568.0,-62568.0,-62568.0,,-60444.0,0.0,0.0,,-62568.0,-62568.0,-62568.0,-62568.0,-62568.0,-62568.0,2.0,2.0,-62568.0,-62568.0,56.0,-60500.0,6241.0,,0.0,-62568.0,66685.0,0.0,,0.0,0.0,0.0,0.0,66741.0,,6241.0,0.0,0.0,0.0
