symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RestructuringAndMergernAcquisition,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
AMP.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,,,,,,,,,-1374000.0,,,,,,,,,,,2970000.0
AMP.MI,2020-09-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2631000.0
AMP.MI,2020-12-31,12M,EUR,61455000.0,223797671.0,0.45132,652965000.0,198940000.0,137485000.0,226690896.0,0.44556,101004000.0,162381000.0,364848000.0,850293000.0,3491000.0,28470000.0,28470000.0,182000.0,182000.0,-58000.0,101004000.0,101004000.0,96672000.0,4390000.0,101004000.0,96614000.0,101062000.0,-29778000.0,-29778000.0,368445000.0,99221825.0,683400000.0,166893000.0,1503258000.0,2000.0,296293000.0,,0.0,133911000.0,652965000.0,202467000.0,1959000.0,8688000.0,,-3491000.0,-989175.0,37239000.0,0.275,1336365000.0,163402000.0,1490000.0,1503258000.0,-3597000.0,-3597000.0,3491000.0
AMP.MI,2021-12-31,12M,EUR,74706000.0,224823927.0,0.70182,854223000.0,219499000.0,144793000.0,227326771.0,0.69409,157785000.0,251037000.0,478447000.0,1093852000.0,2827000.0,27677000.0,27677000.0,198000.0,198000.0,-58000.0,157785000.0,157785000.0,163598000.0,-5755000.0,157785000.0,163540000.0,157843000.0,-29245000.0,-29245000.0,476513000.0,162124312.0,849987000.0,243865000.0,1948075000.0,4512000.0,388026000.0,-450000.0,0.0,223360000.0,854223000.0,227410000.0,1780000.0,10800000.0,,-2377000.0,518312.0,59762000.0,0.268,1704210000.0,246000000.0,1766000.0,1948075000.0,1934000.0,1934000.0,2827000.0
AMP.MI,2022-12-31,12M,EUR,80085000.0,224363318.0,0.7957,943777000.0,239707000.0,159622000.0,226845503.0,0.78699,178525000.0,274424000.0,514465000.0,1175349000.0,333000.0,30688000.0,30688000.0,598000.0,598000.0,-255000.0,178525000.0,178525000.0,178780000.0,0.0,178525000.0,178525000.0,178780000.0,-32480000.0,-32480000.0,503004000.0,170124087.0,908186000.0,267163000.0,2119126000.0,9826000.0,430648000.0,,0.0,243736000.0,943777000.0,240041000.0,1738000.0,12490000.0,-11839000.0,11506000.0,3060087.0,64956000.0,0.267,1851963000.0,278669000.0,2390000.0,2119126000.0,11461000.0,11461000.0,333000.0
AMP.MI,2023-09-30,TTM,EUR,,224183508.0,0.74248,,,,226068402.0,0.73959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMP.MI,2023-12-31,12M,EUR,93448000.0,223912788.0,0.69285,990216000.0,267131000.0,173683000.0,225462658.0,0.68809,155139000.0,254369000.0,522006000.0,1269868000.0,506000.0,44622000.0,44622000.0,2077000.0,2077000.0,114000.0,155139000.0,155139000.0,155025000.0,,155139000.0,155139000.0,155025000.0,-48511000.0,-48511000.0,511772000.0,147576074.0,1019227000.0,250641000.0,2260084000.0,,451462000.0,,0.0,209747000.0,990216000.0,267637000.0,2747000.0,15936000.0,-9077000.0,8571000.0,2671074.0,54722000.0,0.261,2009443000.0,259212000.0,5966000.0,2260084000.0,10234000.0,10234000.0,
AMP.MI,2023-12-31,TTM,EUR,,225510487.0,0.687946,,,,225510487.0,0.687946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMP.MI,2024-03-31,TTM,EUR,96761000.0,224221845.0,0.71678,1002820000.0,275619000.0,178858000.0,225711444.0,0.71201,160704000.0,266850000.0,543474000.0,1290122000.0,1005000.0,48543000.0,48543000.0,,,-390000.0,160704000.0,160704000.0,161094000.0,,160704000.0,160704000.0,161094000.0,-51805000.0,-51805000.0,534397000.0,154005862.798719,1027715000.0,262407000.0,2292942000.0,,,,0.0,218307000.0,1002820000.0,276624000.0,,,,8072000.0,2378862.798719,57213000.0,0.262076,2030535000.0,270279000.0,5339000.0,2292942000.0,9077000.0,9077000.0,
