asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,Amortization,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EffectOfExchangeRateChanges,EndCashPosition,EnterpriseValue,EnterprisesValueEBITDARatio,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinancingCashFlow,FixedAssetsRevaluationReserve,FreeCashFlow,GainLossOnInvestmentSecurities,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,HeldToMaturitySecurities,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfInvestment,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradingSecurities,TreasurySharesNumber,TreasuryStock,WorkingCapital
2019-12-31,12M,EUR,116419.0,-208263.0,,3433.0,2595424.0,4.84897,,,,291537.0,,,,-1712818.0,,,,,,,,,-1712818.0,,,,,,,,,94285.0,90852.0,2595424.0,4.84897,,,,0.0,,,,,,,,,,,,532702.0,,,,,,,,,,,0.0,,291537.0,,,,1497000.0,110258.0,,,,,,,,,,,,,,,,,,,,,26328.0,1867.0,,,,,,,,,,,-1.0,427394.0,,,506723.0,,,168379.0,422444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15173827.0,,,,,,165439.0,,,
2020-12-31,12M,EUR,69087.0,-298293.0,1159542.0,6352.0,2587674.0,3.066883,25738159.0,,-18081.0,211980.0,5312630.0,1471.0,11555876.0,-1018174.0,,,-6808818.0,-1328497.0,2245371.0,916874.0,-6808819.0,5312630.0,-1018174.0,55583527.0,297617.0,30826978.0,,,776409.0,97568.0,97568.0,97568.0,91216.0,2587674.0,3.066883,7936094.0,10658834.0,10756402.0,0.0,18929341.0,53531021.0,4.976666,47496711.0,474660.0,1282756.0,1510146.0,-9459734.0,544498.0,,13889.0,533028.0,3004093.0,40270.0,97568.0,1185802.0,1185802.0,138953.0,138953.0,83468493.0,-8811706.0,47536981.0,8793625.0,8793625.0,211980.0,27884966.0,28096946.0,8793625.0,500487.0,110582.0,40571223.0,1241434.0,-3488.0,1492834.0,27883495.0,7936094.0,7936094.0,7939582.0,7936094.0,7936094.0,7939582.0,7939582.0,-16570.0,-1102262.0,-8793625.0,-1102262.0,,234734.0,-1511.0,55569638.0,25235.0,1942.0,799044.0,1926333.0,75806.0,10853970.0,8017868.149668,1528227.0,-7668770.0,10672863.0,3301710.0,2587674.0,1.0,275467.0,13889.0,,,4310.0,500487.0,108568.0,422446.0,257442.0,11554405.0,0.0,149806.0,18953105.0,9473032.0,,500487.0,-16570.0,-8793625.0,-1511.0,297617.0,97568.0,10408.0,10408.0,,7936094.0,,544498.0,2623072.0,-97568.0,55583527.0,55569638.0,-15793.850332,1533450.0,0.161875,60555.0,1533450.0,88205252.0,83468493.0,28096946.0,56824961.0,-7371153.0,31380291.0,57378273.0,30603882.0,10351731.0,55413.0,3301710.0,41238.0,-97568.0,-97568.0,155614.0,35398.0,413208.0,30050569.0
2021-12-31,12M,EUR,158919.0,-390828.0,6134213.0,4436.0,2778102.0,9.434633,18929341.0,,-7299.0,131226.0,5889959.0,14001331.0,25927294.0,,14000880.0,451.0,-4928010.0,-11513903.0,5365917.0,-6147986.0,-4928010.0,5889959.0,,85653656.0,217080.0,26276537.0,0.0,0.0,1435961.0,95889.0,95889.0,95889.0,91453.0,2778102.0,9.434633,26210374.0,29231554.0,29327443.0,0.0,14001331.0,81034639.0,,87775038.0,4613786.0,1174100.0,-7269525.0,-29753321.0,582640.0,,9454.0,541408.0,2844795.0,40270.0,95889.0,2226355.0,2226355.0,60192.0,60192.0,119095958.0,-2279570.0,87815308.0,11065896.0,11065896.0,131226.0,33442302.0,33573528.0,11065896.0,2038480.0,110584.0,62234979.0,2358346.0,-471537.0,3903015.0,19440971.0,26210374.0,26210374.0,26681911.0,26210374.0,26210374.0,26681911.0,26681911.0,0.0,-2244191.0,-2272271.0,-2244191.0,710771.0,150580.0,-7299.0,85644202.0,44271.0,,1306559.0,1457585.0,104043.0,29423332.0,26305115.081666,-7262226.0,-26500484.0,29345279.0,3061875.0,2778102.0,,742702.0,9454.0,,,2735.0,1537993.0,205650.0,430824.0,250143.0,11925963.0,0.0,224211.0,44271.0,27005199.0,,1537993.0,0.0,-2272271.0,-7299.0,217080.0,95889.0,9640.0,9640.0,,26210374.0,,582640.0,2908125.0,-95889.0,85653656.0,85644202.0,-1147.918334,323288.0,0.011971,54829.0,323288.0,126624334.0,119095958.0,33573528.0,88012002.0,-26283404.0,38612332.0,100347797.0,37176371.0,30198196.0,78028.0,3061875.0,18561.0,-95889.0,-95889.0,,130023.0,2707568.0,24840576.0
2022-12-31,12M,EUR,213500.0,-482844.0,7152086.0,4168.0,2813743.0,-3.165556,14001331.0,45868.0,-12621.0,47972.0,6008087.0,4465916.0,13080144.0,,4464959.0,957.0,-9535415.0,-9321640.0,-1563167.0,-10884807.0,-9535415.0,6008087.0,,77720574.0,277124.0,13370976.0,8998359.0,8998359.0,891133.0,97850.0,97850.0,97850.0,93682.0,2813743.0,-3.165556,-8907062.0,-6733424.0,-6635574.0,0.0,4465916.0,76861164.0,-11.560476,90144147.0,2706744.0,465310.0,-10960988.0,9437516.0,770888.0,2227.0,11996.0,62810.0,-6228828.0,1.0,97850.0,2444619.0,2444619.0,272701.0,272701.0,111152756.0,-1293792.0,90144148.0,12347067.0,12347067.0,47972.0,33432182.0,33432182.0,12347067.0,1572524.0,8326.0,52530539.0,3044010.0,338310.0,1480446.0,28966266.0,-8907062.0,-8907062.0,-9245372.0,-8907062.0,-8907062.0,-9245372.0,-9245372.0,-6710.0,-2250235.0,-1281171.0,-2250235.0,1226298.0,62809.0,-5911.0,77708578.0,,,1491000.0,661242.0,103710.0,-6525164.0,-8823150.4,-10948367.0,588572.0,-6817400.0,-5951704.0,2813743.0,,75626.0,9769.0,45074.0,236103.0,2621.0,45074.0,248516.0,8616.0,223123.0,8614228.0,0.0,275665.0,34462.0,-9178043.0,0.0,-465957.0,-6710.0,-1281171.0,-5911.0,277124.0,97850.0,9126.0,9126.0,12560.0,-8907062.0,0.0,770888.0,2927417.0,-110410.0,77720574.0,77708578.0,-26498.4,67329.0,0.24,33247.0,67329.0,117427996.0,111152756.0,33432182.0,80764584.0,865696.0,36663412.0,104057020.0,35772279.0,,78317.0,-5951704.0,27149.0,-110410.0,-110410.0,,113674.0,2363123.0,12479843.0
2023-12-31,12M,EUR,,,7153878.0,,,,4465916.0,,-466397.0,,6008295.0,16279492.0,19249836.0,-3248715.0,16279373.0,119.0,11813576.0,21016899.0,-4609167.0,16407732.0,11813576.0,6008295.0,,78739578.0,353053.0,19653013.0,,,240613.0,119018.0,119018.0,,,,,2647370.0,6276119.0,6395137.0,,16279492.0,66433865.0,,80981550.0,-2695687.0,202113.0,14593131.0,-5802150.0,873430.0,152675.0,199571.0,,7656081.0,1.0,119018.0,1672975.0,1672975.0,320259.0,320259.0,109482873.0,-550265.0,80981551.0,,12430935.0,,30743295.0,30743295.0,12430935.0,,,51171428.0,2500106.0,-786614.0,1883545.0,14463803.0,2647370.0,2647370.0,3433984.0,2647370.0,2647370.0,3433984.0,3433984.0,-193935.0,-1436066.0,-83868.0,-1436066.0,-1330517.0,222613.0,-272462.0,78540007.0,,,872582.0,852170.0,126832.0,6535695.0,2752227.445927,15059528.0,1476312.0,6179769.0,8009134.0,2858739.0,,,46896.0,,,1157671.0,-83371.0,,,211707.0,2970344.0,0.0,240613.0,63842.0,4603144.0,,-94340.0,-193935.0,-83868.0,-272462.0,353053.0,119018.0,20526.0,20526.0,21540.0,2647370.0,0.0,873430.0,2889000.0,-140558.0,78739578.0,78540007.0,-35700.554073,1169160.0,0.253992,127628.0,1169160.0,114360265.0,109482873.0,30743295.0,81239684.0,1829365.0,33120581.0,94707252.0,32879968.0,,83350.0,8009134.0,240613.0,-140558.0,-140558.0,,30261.0,481578.0,19412400.0
