symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RestructuringAndMergernAcquisition,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
RDF.MI,2021-12-31,12M,EUR,107419.0,8080080.0,0.431279,680306.0,168312.0,60893.0,8080080.0,0.431279,3484768.0,3835613.0,4094966.0,36039.0,345239.0,345239.0,251.0,251.0,10814.0,3484768.0,3484768.0,3473954.0,3484768.0,3484768.0,3473954.0,-344988.0,-344988.0,4274229.0,3663187.681072,1065206.0,-1029167.0,716345.0,234837.0,0.0,3490374.0,680306.0,259353.0,35575.0,-192061.0,-843.318928,16420.0,0.004704,1745512.0,-251.0,716345.0,-179263.0,-179263.0,156486.0
RDF.MI,2022-12-31,12M,EUR,385971.0,,0.031116,796614.0,457985.0,72014.0,,0.031116,262624.0,1144166.0,1602151.0,2798999.0,768728.0,768728.0,651.0,651.0,-9078.0,262624.0,262624.0,271702.0,262624.0,262624.0,271702.0,-768077.0,-768077.0,1777904.0,389814.816734,1534821.0,1264178.0,3595613.0,124953.0,0.0,375438.0,796614.0,457985.0,37753.0,-175753.0,-48562.183266,103737.0,0.276309,2331435.0,,3595613.0,-175753.0,-175753.0,138000.0
RDF.MI,2023-06-30,TTM,EUR,,8440080.0,0.298733,,,,8440080.0,0.298733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDF.MI,2023-12-31,12M,EUR,414024.0,8461080.0,0.264954,-3826942.0,487814.0,73790.0,8461080.0,0.264954,2241794.0,4597344.0,5085158.0,6853050.0,272157.0,272157.0,65.0,65.0,-787341.0,2241794.0,2241794.0,3029135.0,2241794.0,2241794.0,3029135.0,-272092.0,-272092.0,5042566.0,2211964.788472,2231393.0,4621657.0,3026108.0,351122.0,0.0,4325187.0,-3826942.0,487814.0,54967.0,-54967.0,12762.788472,1296052.0,0.299652,-1595549.0,,3026108.0,42592.0,42592.0,0.0
RDF.MI,2023-12-31,TTM,EUR,414024.0,,,-3826942.0,487814.0,73790.0,,,2241794.0,4597344.0,5085158.0,6853050.0,272157.0,272157.0,65.0,65.0,-787341.0,2241794.0,2241794.0,3029135.0,2241794.0,2241794.0,3029135.0,-272092.0,-272092.0,5042566.0,2211964.788472,2231393.0,4621657.0,3026108.0,351122.0,0.0,4325187.0,-3826942.0,487814.0,54967.0,-54967.0,12762.788472,1296052.0,0.299652,-1595549.0,,3026108.0,42592.0,42592.0,0.0
