asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,Amortization,AmortizationCashFlow,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,CommonStockPayments,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherEquityInterest,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasuryStock,WorkingCapital,WriteOff
2021-12-31,12M,EUR,229738.0,355954.0,-249921.0,1173104.0,107419.0,,,8080080.0,0.431279,147763.0,-398149.0,284004.0,1122748.0,1432407.0,1122646.0,102.0,-348.0,974985.0,0.0,-259369.0,8157.0,143123.0,-108436.0,974985.0,284004.0,5321123.0,0.0,0.0,680306.0,3124899.0,143116.0,143116.0,25479.0,1121001.0,24178.0,259353.0,259353.0,168312.0,60893.0,8080080.0,0.431279,3484768.0,0.0,3835613.0,4094966.0,1122748.0,,-656844.0,-1401963.0,-5040489.0,1203434.0,1604018.0,1565458.0,36039.0,345239.0,345239.0,251.0,251.0,-317709.0,,6365018.0,2635643.0,0.0,354952.0,2000.0,1.0,0.0,821939.0,900779.0,900779.0,821939.0,-851973.0,356953.0,,1092802.0,,315352.0,10814.0,0.0,0.0,801432.0,3484768.0,3484768.0,3473954.0,3484768.0,3484768.0,3473954.0,3473954.0,-363157.0,-344988.0,3033791.0,-2583722.0,-851973.0,-344988.0,1926878.0,1.0,1315537.0,-34992.0,-1731749.0,3717105.0,,270378.0,4274229.0,3663187.681072,-1003814.0,1065206.0,-1029167.0,716345.0,8080080.0,,-1.0,400584.0,583697.0,1.0,234837.0,466887.0,137808.0,1209294.0,309659.0,0.0,977185.0,15000.0,3490374.0,334848.0,0.0,0.0,-363157.0,-428693.0,-34992.0,680306.0,259353.0,-851973.0,0.0,35575.0,3606183.0,0.0,0.0,3462484.0,0.0,8080080.0,-192061.0,5321123.0,3717105.0,-843.318928,16420.0,0.004704,86765.0,-4975.0,8659550.0,6221902.0,1043895.0,5636475.0,1745512.0,3023075.0,5534653.0,1902074.0,-251.0,716345.0,280560.0,-179263.0,-179263.0,730917.0,0.0,2003898.0,156486.0
2022-12-31,12M,EUR,472318.0,2450888.0,-297266.0,4485104.0,385971.0,385971.0,335.0,,0.031116,1122748.0,-1759138.0,422004.0,1243622.0,1481188.0,1242911.0,711.0,569.0,120874.0,0.0,115595.0,242580.0,-2083322.0,-1724579.0,120875.0,422004.0,8847346.0,,,796614.0,5355350.0,292668.0,292668.0,17003.0,1904585.0,103737.0,72014.0,457985.0,457985.0,72014.0,,0.031116,262624.0,54456.0,1144166.0,1602151.0,1243622.0,6646289.0,3904242.0,-2468274.0,-54456.0,1078693.0,2921554.0,1556420.0,2798999.0,768728.0,768728.0,651.0,651.0,-768076.0,0.0,10489606.0,-3074231.0,335.0,425552.0,32000.0,3201226.0,,,1349592.0,1349592.0,,-7455.0,3658778.0,,1099538.0,8440080.0,374209.0,-9078.0,,,398638.0,262624.0,262624.0,271702.0,262624.0,262624.0,271702.0,271702.0,-1703509.0,-768077.0,-1355094.0,-73796.0,-7455.0,-768077.0,3978038.0,1.0,1259154.0,-15629.0,-66341.0,5925792.0,569.0,314397.0,1777904.0,389814.816734,-709136.0,1534821.0,1264178.0,3595613.0,8440080.0,-1.0,,1842861.0,979829.0,2.0,124953.0,431334.0,121615.0,803227.0,237566.0,0.0,1611217.0,22500.0,375438.0,335267.0,,,-1743509.0,-1355094.0,-15629.0,796614.0,457985.0,-7455.0,,37753.0,3835084.0,,40000.0,,,8440080.0,-175753.0,8847346.0,5925792.0,-48562.183266,103737.0,0.276309,580544.0,,13481913.0,10196938.0,1642260.0,9221555.0,2331435.0,4260358.0,8126563.0,2355773.0,,3595613.0,707565.0,-175753.0,-175753.0,691215.0,212317.0,3450765.0,138000.0
2023-12-31,12M,EUR,876615.0,454737.0,-364510.0,4512929.0,414024.0,414024.0,,8461080.0,0.264954,1243622.0,-2910468.0,423054.0,3495958.0,3704680.0,3495275.0,683.0,11849.0,2252336.0,-7288500.0,1068273.0,404297.0,1726103.0,-4077978.0,2252336.0,423054.0,11137732.0,,,-3826942.0,12584694.0,1982827.0,1982827.0,17003.0,5014872.0,1296052.0,73790.0,487814.0,487814.0,73790.0,8461080.0,0.264954,2241794.0,0.0,4597344.0,5085158.0,3495958.0,69783607.0,6626343.0,-2138869.0,,2038089.0,5369908.0,1597966.0,6853050.0,272157.0,272157.0,65.0,65.0,-174533.0,7288500.0,19331725.0,-5145606.0,,293584.0,42250.0,4866252.0,,,6211166.0,6211166.0,,-472343.0,5202086.0,999684.0,1114852.0,68365526.0,1165069.0,-787341.0,,-184983.0,4698035.0,2241794.0,2241794.0,3029135.0,2241794.0,2241794.0,3029135.0,3029135.0,-48092.0,-272092.0,-2235138.0,-472343.0,-472343.0,-272092.0,7283669.0,,1233456.0,-2862376.0,,5767824.0,0.0,350973.0,5042566.0,2211964.788472,771599.0,2231393.0,4621657.0,3026108.0,8461080.0,,,3331819.0,217500.0,,351122.0,899817.0,146746.0,617988.0,208722.0,0.0,3018927.0,0.0,4325187.0,336368.0,,,-48092.0,-2263982.0,-2862376.0,-3826942.0,487814.0,-472343.0,,54967.0,6363814.0,,,28844.0,,8461080.0,-54967.0,11137732.0,5767824.0,12762.788472,1296052.0,0.299652,501786.0,,25397893.0,17348898.0,8193993.0,12302801.0,-1595549.0,13095092.0,12813199.0,8080220.0,,3026108.0,1242495.0,42592.0,42592.0,518397.0,397300.0,7569822.0,0.0
