symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasuryStock,WorkingCapital
RDF.MI,2021-12-31,12M,EUR,229738.0,355954.0,-249921.0,1173104.0,,284004.0,1122748.0,1432407.0,1122646.0,102.0,284004.0,5321123.0,3124899.0,143116.0,143116.0,25479.0,1121001.0,1203434.0,1604018.0,1565458.0,,6365018.0,0.0,354952.0,2000.0,1.0,900779.0,900779.0,356953.0,,1092802.0,315352.0,801432.0,1315537.0,3717105.0,,270378.0,8080080.0,-1.0,400584.0,1.0,466887.0,137808.0,1209294.0,309659.0,977185.0,15000.0,334848.0,3606183.0,8080080.0,5321123.0,3717105.0,86765.0,8659550.0,6221902.0,1043895.0,5636475.0,3023075.0,5534653.0,1902074.0,280560.0,730917.0,0.0,2003898.0
RDF.MI,2022-12-31,12M,EUR,472318.0,2450888.0,-297266.0,4485104.0,335.0,422004.0,1243622.0,1481188.0,1242911.0,711.0,422004.0,8847346.0,5355350.0,292668.0,292668.0,17003.0,1904585.0,1078693.0,2921554.0,1556420.0,0.0,10489606.0,335.0,425552.0,32000.0,3201226.0,1349592.0,1349592.0,3658778.0,,1099538.0,374209.0,398638.0,1259154.0,5925792.0,569.0,314397.0,8440080.0,,1842861.0,2.0,431334.0,121615.0,803227.0,237566.0,1611217.0,22500.0,335267.0,3835084.0,8440080.0,8847346.0,5925792.0,580544.0,13481913.0,10196938.0,1642260.0,9221555.0,4260358.0,8126563.0,2355773.0,707565.0,691215.0,212317.0,3450765.0
RDF.MI,2023-12-31,12M,EUR,876615.0,454737.0,-364510.0,4512929.0,,423054.0,3495958.0,3704680.0,3495275.0,683.0,423054.0,11137732.0,12584694.0,1982827.0,1982827.0,17003.0,5014872.0,2038089.0,5369908.0,1597966.0,7288500.0,19331725.0,,293584.0,42250.0,4866252.0,6211166.0,6211166.0,5202086.0,999684.0,1114852.0,1165069.0,4698035.0,1233456.0,5767824.0,0.0,350973.0,8461080.0,,3331819.0,,899817.0,146746.0,617988.0,208722.0,3018927.0,0.0,336368.0,6363814.0,8461080.0,11137732.0,5767824.0,501786.0,25397893.0,17348898.0,8193993.0,12302801.0,13095092.0,12813199.0,8080220.0,1242495.0,518397.0,397300.0,7569822.0
