symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfPPE,InterestPaidCFO,InvestingCashFlow,NetIncome,NetIncomeFromContinuingOperations,NetInvestmentPropertiesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PensionAndEmployeeBenefitExpense,PurchaseOfInvestment,PurchaseOfInvestmentProperties,PurchaseOfPPE,SaleOfInvestment,SaleOfPPE,TaxesRefundPaid
CAI.MI,2019-12-31,12M,EUR,,,-28600000.0,-31200000.0,,,2000000.0,,,,,-31200000.0,,,,,,,1400000.0,300000.0,,,,,-28600000.0,,-51400000.0,-44500000.0,,,,-6900000.0,,,,,,-28600000.0,,,,
CAI.MI,2020-12-31,12M,EUR,41300000.0,-25100000.0,,,45500000.0,6100000.0,,-14000000.0,16600000.0,8700000.0,45600000.0,,-5300000.0,70100000.0,70100000.0,86800000.0,-50200000.0,78900000.0,2900000.0,-8700000.0,-8500000.0,-8200000.0,16500000.0,29000000.0,-25100000.0,3500000.0,,,-26600000.0,13300000.0,-25000000.0,,104000000.0,-100000.0,1500000.0,-2600000.0,-500000.0,-25100000.0,-25100000.0,4000000.0,100000.0,8200000.0
CAI.MI,2021-12-31,12M,EUR,87400000.0,-31100000.0,,-11600000.0,26200000.0,300000.0,,-12700000.0,19600000.0,7200000.0,26200000.0,,16800000.0,67700000.0,67700000.0,113000000.0,-118600000.0,129400000.0,2100000.0,,-8800000.0,-15700000.0,51000000.0,79900000.0,,5500000.0,,,-80900000.0,-800000.0,-20400000.0,,160500000.0,-600000.0,2400000.0,-2500000.0,-1500000.0,,-31100000.0,7000000.0,10700000.0,-4300000.0
CAI.MI,2022-12-31,12M,EUR,113000000.0,-91900000.0,,-36300000.0,-58700000.0,-15900000.0,,4700000.0,-100000.0,-11300000.0,-58800000.0,,4700000.0,71900000.0,71900000.0,54300000.0,-68300000.0,11200000.0,4100000.0,,-9100000.0,-93600000.0,32100000.0,51700000.0,,-2500000.0,,,-5100000.0,100000.0,-91200000.0,,103100000.0,100000.0,12700000.0,-2800000.0,-3000000.0,,-91900000.0,500000.0,700000.0,-14700000.0
CAI.MI,2023-12-31,12M,EUR,54300000.0,-38600000.0,,-31200000.0,-2300000.0,14100000.0,,-44500000.0,3700000.0,-26700000.0,-2300000.0,,14300000.0,74900000.0,74900000.0,51800000.0,-72100000.0,68100000.0,,,-10000000.0,-36900000.0,38400000.0,61100000.0,,2200000.0,,,-14600000.0,-700000.0,-38400000.0,,106700000.0,-200000.0,11300000.0,-14600000.0,0.0,,-38600000.0,2200000.0,200000.0,-3800000.0
CAI.MI,2024-03-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,39400000.0,,,,,,,,,,,,,,,,,,,
