symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,Payables,PrepaidAssets,Properties,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
RN.MI,2022-12-31,3M,EUR,,,,-1401000.0,,,,,,3049000.0,,,,,,,,,,,7026000.0,,,,,36659000.0,,0.0,,562802000.0,,,,,,,,135000.0,,866000.0,,,1906000.0,,,,6200000.0,,,,,6015000.0,,,,,,,,,,
RN.MI,2023-03-31,3M,EUR,29118000.0,3973000.0,-34786000.0,-1401000.0,3000000.0,359000.0,197952000.0,3154000.0,3154000.0,,197952000.0,34451000.0,3780000.0,671327000.0,302000.0,532235000.0,532537000.0,564633000.0,15851000.0,119000.0,5374000.0,67555000.0,647229000.0,603345000.0,57000.0,36659000.0,36716000.0,,53142000.0,565740000.0,32769000.0,34332000.0,0.0,13149000.0,2055000.0,1800844234.0,627000.0,,355000.0,424000.0,257000.0,3550000.0,1542000.0,31469000.0,51000.0,60225000.0,6200000.0,-163501000.0,1800844234.0,34451000.0,34332000.0,6178000.0,704570000.0,71110000.0,569253000.0,34451000.0,670119000.0,33243000.0,105486000.0,2094000.0,631378000.0,106694000.0
RN.MI,2023-06-30,3M,EUR,24780000.0,9187000.0,-56869000.0,-421000.0,1900000.0,224000.0,107690000.0,130867000.0,130867000.0,,107690000.0,60701000.0,3780000.0,260618000.0,174000.0,0.0,174000.0,154341000.0,15824000.0,102000.0,9608000.0,67561000.0,111038000.0,60701000.0,50000.0,0.0,50000.0,100000.0,51257000.0,,10692000.0,60599000.0,0.0,3226000.0,2095000.0,1800844234.0,1093000.0,102000.0,157000.0,-1000.0,317000.0,3556000.0,1299000.0,153074000.0,99000.0,60225000.0,6200000.0,-46989000.0,1800844234.0,60701000.0,60599000.0,28000.0,271669000.0,60701000.0,224000.0,60701000.0,210968000.0,11051000.0,56627000.0,127977000.0,95214000.0,106277000.0
RN.MI,2023-09-30,3M,EUR,60942000.0,1552000.0,-38596000.0,,1900000.0,85000.0,107690000.0,49651000.0,49651000.0,,107690000.0,58632000.0,3780000.0,170431000.0,44000.0,309000.0,353000.0,67319000.0,15824000.0,85000.0,,47671000.0,111128000.0,58941000.0,41000.0,0.0,41000.0,100000.0,47888000.0,,9075000.0,58547000.0,0.0,3825000.0,2146000.0,1800844234.0,905000.0,85000.0,160000.0,,262000.0,2975000.0,,66061000.0,0.0,40916000.0,6200000.0,-49058000.0,1800844234.0,58632000.0,58547000.0,,179851000.0,58632000.0,394000.0,58632000.0,121219000.0,9420000.0,53900000.0,4857000.0,95304000.0,103112000.0
RN.MI,2023-12-31,3M,EUR,64203000.0,7658000.0,-38569000.0,-421000.0,1900000.0,111000.0,107690000.0,50352000.0,50352000.0,,107690000.0,52622000.0,3780000.0,163672000.0,46000.0,0.0,46000.0,69779000.0,15304000.0,69000.0,8079000.0,47668000.0,102345000.0,52622000.0,65000.0,0.0,65000.0,100000.0,47571000.0,,9099000.0,52553000.0,0.0,3012000.0,2265000.0,1800844234.0,1057000.0,69000.0,2374000.0,,317000.0,2972000.0,934000.0,68676000.0,0.0,40916000.0,,-55068000.0,1800844234.0,52622000.0,52553000.0,483000.0,175314000.0,52622000.0,111000.0,52622000.0,122692000.0,11642000.0,52913000.0,4156000.0,87041000.0,93893000.0
RN.MI,2024-03-31,3M,EUR,61261000.0,5835000.0,-38487000.0,,1900000.0,102000.0,107690000.0,42645000.0,42645000.0,,107690000.0,50236000.0,3780000.0,154941000.0,44000.0,304000.0,348000.0,67188000.0,15304000.0,57000.0,5835000.0,47567000.0,102706000.0,50540000.0,58000.0,,58000.0,100000.0,44933000.0,,9080000.0,50179000.0,0.0,3009000.0,1694000.0,1800844234.0,1565000.0,,2939000.0,-1000.0,251000.0,2871000.0,913000.0,65275000.0,0.0,40916000.0,,-57454000.0,1800844234.0,50236000.0,50179000.0,942000.0,167117000.0,50236000.0,406000.0,50236000.0,116881000.0,12176000.0,49693000.0,3763000.0,87402000.0,87753000.0
