asOfDate,periodType,currencyCode,AccountsPayable,AdditionalPaidInCapital,Amortization,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BuildingsAndImprovements,CapitalStock,CashAndCashEquivalents,CashFinancial,CommonStock,CommonStockEquity,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FixedAssetsRevaluationReserve,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,InterestExpense,InterestIncome,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,LandAndImprovements,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,MarketCap,MinorityInterest,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetPPE,NetTangibleAssets,NormalizedIncome,OperatingExpense,OperatingRevenue,OrdinarySharesNumber,OtherEquityInterest,OtherIntangibleAssets,OtherOperatingExpenses,OtherPayable,OtherProperties,Payables,PretaxIncome,Receivables,ReconciledDepreciation,RestructuringAndMergernAcquisition,RetainedEarnings,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradingSecurities,TreasurySharesNumber,TreasuryStock
2022-12-31,3M,EUR,11155000.0,,,,,,29246000.0,,,,,,,,,,,,,6852891.0,,,,,54349000.0,,,988359280.0,,,22575000.0,242773066.0,,199000.0,,,,,,,,,,,,,,,,,,,,1091465000.0,2329000.0,,,290019000.0,,-5621000.0,,,,113482000.0,,,,,,,,988359280.0,242773066.0,,,,,113482000.0,113482000.0,,570728.0,
2023-03-31,3M,EUR,,66277204.0,1908368.0,129429148.0,184804207.0,0.261889,,142929818.0,334232697.0,150389902.0,142929818.0,800197316.0,3039389.0,1131021.0,0.0,184804207.0,0.261889,48398109.0,128767822.0,,-1006922.0,19712969.0,30956911.0,69891359.0,,62810633.0,125138085.0,839340493.0,258574674.0,272230779.0,,39143177.0,13656105.0,,1690958494.0,,48398109.0,48398109.0,48398109.0,0.0,48398109.0,48398109.0,48398109.0,62327452.0,56785354.0,730305957.0,48398109.0,44759891.0,111835472.0,184804207.0,150000000.0,38934448.0,-123838.0,,,42584545.0,66548341.0,,3039389.0,3200000.0,-20151785.0,19712969.0,185623140.0,-3200000.0,800197316.0,730305957.0,0.0,18150232.0,0.272738,1808673.0,11639871140.0,839340493.0,39143177.0,800197316.0,10839673824.0,111835472.0,42584545.0,-3200000.0,-3200000.0,377704.0,818933.0,6324382.0
2023-06-30,3M,EUR,6369000.0,66277204.0,2019167.0,5338417000.0,,,37006000.0,143604966.0,557509000.0,213000.0,143604966.0,750865468.0,3219797.0,1200630.0,1077773.0,,,27748219.0,128961903.0,,456457.0,21878031.0,30957000.0,69448231.0,61689000.0,82875367.0,146172915.0,967765468.0,5469001903.0,5482130136.0,22575000.0,228612000.0,13128233.0,199000.0,1864825402.0,,27748219.0,27748219.0,27748219.0,,27748219.0,27748219.0,27748219.0,63297412.0,61690208.0,681417237.0,26108053.713883,54128915.0,91129736.0,185924766.0,150000000.0,38491231.0,11560458.0,1065212000.0,1909000.0,1120011462.0,37354813.0,308503000.0,3219797.0,-2208000.0,345671328.0,21878031.0,186499956.0,2208000.0,750865468.0,681417237.0,567834.713883,9606594.0,0.257172,2450872.0,12008479580.0,967765468.0,228612000.0,750865468.0,11257614112.0,91129736.0,48430462.0,2208000.0,2208000.0,8000.0,575190.0,4392046.0
2023-09-30,3M,EUR,,66277204.0,2185211.0,130652998.0,,,,143798131.0,998922370.0,420689807.0,143798131.0,699066158.0,3475515.0,1290304.0,19664.0,,,38879822.0,148673003.0,,447773.0,31042135.0,30956911.0,69146753.0,,93593412.0,162512302.0,699069250.0,281443693.0,294598250.0,,3092.0,13154557.0,,1762034962.0,10000.0,38879822.0,38879822.0,38879822.0,,38879822.0,38879822.0,38879822.0,68919026.0,65244314.0,629919405.0,41148660.589466,40896374.0,96141156.0,186163229.0,150000000.0,38189842.0,-12745000.0,,,2899316.0,51546419.0,,3475515.0,3008000.0,60575125.0,31042135.0,186738419.0,-3008000.0,699066158.0,629919405.0,-739161.410534,12666597.0,0.245732,46605592.0,12458652598.0,699069250.0,3092.0,699076158.0,11759576440.0,96141156.0,2899316.0,-3008000.0,-3008000.0,2117692.0,575190.0,4474347.0
2023-12-31,3M,EUR,9654000.0,66277204.0,2138254.0,5094701601.0,,,38674000.0,143946902.0,593891000.0,205000.0,143946902.0,758811616.0,3320299.0,1182045.0,1215000.0,,,56635607.0,164856452.0,,1800121.0,14648865.0,30957000.0,74742079.0,60689000.0,105975588.0,195584698.0,986042271.0,5260725053.0,5273885375.0,18890000.0,242466655.0,13160322.0,332000.0,1922773617.0,0.0,56635607.0,56635607.0,56635607.0,0.0,56635607.0,56635607.0,56635607.0,89607860.0,60689761.0,684069537.0,58409811.562907,55562955.0,138696393.0,186395609.0,150000000.0,43785079.0,22533515.0,1294742000.0,2793000.0,1322980113.0,79548850.0,511011000.0,3320299.0,1192000.0,355459732.0,14648865.0,186890463.0,-2492000.0,758811616.0,684069537.0,-717795.437093,22913243.0,0.28804,57413940.0,12292265929.0,986042271.0,242466655.0,758811616.0,11533454313.0,138696393.0,18584113.0,-2492000.0,-2492000.0,6000.0,494854.0,4377295.0
2024-03-31,3M,EUR,,66277204.0,2538460.0,138742563.0,186723190.0,0.210516,,144157894.0,702438519.0,116065484.0,144157894.0,794950956.0,3661775.0,1123315.0,209992.0,186723190.0,0.210516,39308287.0,169148592.0,,397251.0,22565009.0,30956911.0,72379626.0,,100948076.0,162072332.0,,309770831.0,324181975.0,,,14411144.0,,2315367556.0,0.0,39308287.0,39308287.0,39308287.0,0.0,39308287.0,39308287.0,39308287.0,61124255.0,55777086.0,722571330.0,39308287.0,47234673.0,98751324.0,186723190.0,150000000.0,41422715.0,-36218.0,,,3866219.0,52517621.0,,3661775.0,,-15142737.0,22565009.0,186723190.0,,794950956.0,722571330.0,0.0,13209333.0,0.251522,55248001.0,12224610488.0,,,794950956.0,11429659532.0,98751324.0,3866219.0,,,1879676.0,,4358019.0
