symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,DeferredTax,DividendsReceivedCFI,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InvestingCashFlow,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetOtherFinancingCharges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE,SaleOfBusiness,SaleOfIntangibles,SaleOfPPE
UCG.MI,2019-12-31,12M,EUR,,,,,2027000000.0,-4514000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCG.MI,2020-12-31,12M,EUR,30345000000.0,-1430000000.0,-579000000.0,86808000000.0,1507000000.0,-3031000000.0,77093000000.0,86808000000.0,-579000000.0,118000000.0,61000000.0,-150000000.0,117003000000.0,660000000.0,84149000000.0,-399000000.0,569000000.0,521000000.0,1239000000.0,-2785000000.0,-2778000000.0,-700000000.0,,687000000.0,85579000000.0,1904000000.0,9641000000.0,-26000000.0,-700000000.0,-730000000.0,547000000.0,0.0,1417000000.0
UCG.MI,2021-12-31,12M,EUR,117003000000.0,-1237000000.0,-774000000.0,-9628000000.0,-5744000000.0,305000000.0,-14942000000.0,-9628000000.0,-774000000.0,-440000000.0,150000000.0,32000000.0,107407000000.0,-1408000000.0,-8758000000.0,-2867000000.0,-699000000.0,-4000000.0,-634000000.0,2096000000.0,2126000000.0,-715000000.0,,-130000000.0,-7521000000.0,1921000000.0,6681000000.0,-100000000.0,-715000000.0,-522000000.0,96000000.0,0.0,392000000.0
UCG.MI,2022-12-31,12M,EUR,107407000000.0,-1170000000.0,-1702000000.0,4476000000.0,-17799000000.0,-1966000000.0,1484000000.0,4476000000.0,-1702000000.0,587000000.0,136000000.0,-107000000.0,111776000000.0,-5551000000.0,9094000000.0,-4889000000.0,-237000000.0,404000000.0,-3543000000.0,6458000000.0,6473000000.0,-653000000.0,-306000000.0,-124000000.0,10264000000.0,1166000000.0,5443000000.0,-124000000.0,-653000000.0,-517000000.0,528000000.0,0.0,393000000.0
UCG.MI,2023-12-31,12M,EUR,111776000000.0,-1152000000.0,-2440000000.0,-50368000000.0,,,-59297000000.0,-50368000000.0,-2440000000.0,1595000000.0,106000000.0,-408000000.0,61000000000.0,-8453000000.0,-42280000000.0,907000000.0,-787000000.0,-15000000.0,-6013000000.0,9507000000.0,9534000000.0,-561000000.0,,-317000000.0,-41128000000.0,1764000000.0,4369000000.0,-107000000.0,-563000000.0,-589000000.0,92000000.0,2000000.0,272000000.0
UCG.MI,2024-03-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,10001000000.0,,,,,,,,,,,,,
