symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,CashDividendsPaid,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInPrepaidAssets,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,CommonStockPayments,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InterestPaidCFO,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,RepurchaseOfCapitalStock,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,TaxesRefundPaid
S3D.MI,2020-12-31,12M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-412000.0,,,,,,,,,,,,,,,,,,,,,,
S3D.MI,2021-12-31,12M,EUR,,2772377.0,-3131973.0,,-5814.0,-1416577.0,216248.0,103422.0,4094363.0,,1674457.0,,-820301.0,3635364.0,216248.0,-5814.0,0.0,,784739.0,1786720.0,1786720.0,2988625.0,379365.0,4343616.0,-168.0,-418216.0,-7638706.0,0.0,,,-183519.0,0.0,-342166.0,-159106.0,-2872522.0,-4506733.0,385179.0,-183519.0,,-1000.0,-259451.0,568698.0,7475589.0,1000.0,418384.0,1300039.0,-2872522.0,,-259451.0,-183519.0,,0.0,,0.0,499062.0
S3D.MI,2022-12-31,12M,EUR,,2988625.0,-5075528.0,,,-952009.0,301416.0,105844.0,-4349645.0,,776143.0,316557.0,-460451.0,-4563561.0,301416.0,0.0,6074400.0,,462077.0,2080903.0,2080903.0,3290041.0,7440331.0,-6941692.0,184476.0,-941803.0,-5272751.0,6074400.0,,,-3260894.0,6074400.0,104396.0,114614.0,-4360662.0,-320283.0,1365931.0,-3260894.0,,,-591806.0,4626825.0,-1866164.0,,941803.0,1230619.0,-4430565.0,-320283.0,-644963.0,-3260894.0,,69903.0,,53157.0,-485541.0
S3D.MI,2023-12-31,12M,EUR,3238437.0,3290041.0,-9987361.0,,,-282377.0,-543990.0,-1600277.0,677570.0,,5523208.0,-188515.0,-5235691.0,-1106082.0,-543990.0,,5293995.0,-309949.0,437105.0,376577.0,3615014.0,2746051.0,7619107.0,-8573336.0,-22316.0,-857393.0,-9577122.0,5293995.0,1725189.0,1725189.0,-1306524.0,4984046.0,-1630022.0,-1876208.0,-8005888.0,72911.0,2635061.0,418665.0,,,-1644145.0,2216396.0,1414025.0,,1548212.0,960402.0,-8005888.0,-74575.0,-1981473.0,-1306524.0,-309949.0,,147486.0,337328.0,-428863.0
S3D.MI,2023-12-31,TTM,EUR,3238437.0,3290041.0,-9987361.0,-9702694.0,,-282377.0,-543990.0,-1600277.0,677570.0,2101723.0,5523208.0,-188515.0,-5235691.0,-1106082.0,-543990.0,,5293995.0,-309949.0,437105.0,376577.0,3615014.0,2746051.0,7619107.0,-8573336.0,-22316.0,-857393.0,-9577122.0,5293995.0,1725189.0,1725189.0,-1306524.0,4984046.0,-1630022.0,-1876208.0,-8005888.0,72911.0,2635061.0,418665.0,575092.0,-437105.0,-1644145.0,2216396.0,1414025.0,3290041.0,1548212.0,960402.0,-8005888.0,-74575.0,-1981473.0,-1306524.0,-309949.0,,147486.0,337328.0,-428863.0
