symbol,asOfDate,periodType,currencyCode,CapitalExpenditure,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,DeferredTax,Depreciation,DepreciationAndAmortization,FinancingCashFlow,FreeCashFlow,InterestPaidCFF,InvestingCashFlow,NetIncome,NetIncomeFromContinuingOperations,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,PurchaseOfPPE
XHS.MI,2021-12-31,12M,EUR,-4345000.0,1074000.0,846000.0,1816000.0,2662000.0,380000.0,14000.0,1031000.0,1031000.0,1996000.0,-1616000.0,-349000.0,-4345000.0,-322000.0,13000.0,2345000.0,2345000.0,,-4345000.0,2729000.0,-991000.0,-4345000.0
XHS.MI,2022-12-31,12M,EUR,-1512000.0,1135000.0,298000.0,2318000.0,2616000.0,782000.0,-396000.0,1929000.0,1929000.0,-3540000.0,4322000.0,-437000.0,-1512000.0,851000.0,1685000.0,-1213000.0,-1213000.0,-1890000.0,-1512000.0,5834000.0,,-1512000.0
XHS.MI,2023-06-30,TTM,EUR,-1288000.0,2796000.0,178000.0,1019000.0,1197000.0,2442000.0,-577000.0,2140000.0,2140000.0,-1170000.0,3612000.0,-436000.0,-1288000.0,1115000.0,2140000.0,-1751000.0,-1751000.0,,-1288000.0,4900000.0,,-1288000.0
