asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,Amortization,AssetsHeldForSaleCurrent,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,CommonStockPayments,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EndCashPosition,EnterpriseValue,EnterprisesValueEBITDARatio,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,InterestReceivedCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentsinAssociatesatCost,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetForeignCurrencyExchangeGainLoss,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInvestments,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PensionandOtherPostRetirementBenefitPlansCurrent,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RepurchaseOfCapitalStock,ResearchAndDevelopment,RetainedEarnings,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,,,,,,,-3082362.0,,,,,,,,,,,,,,,997.0,-95553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74831.0,74831.0,61837.0,61837.0,,33085.0,5221.0,,,,997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,-4.0,297834.0,,,2859321.0,490998.0,,,,424941.0,,,,,-2050412.0,,-1031950.0,,,175082.0,191898.0,,-95553.0,,,,,11.0,,,,,0.0,,,,,,1383144.0,-968337.0,,,,,,,,,,,0.0,0.0,3000000.0,,,,0.0
2020-12-31,12M,EUR,11795918.0,10354302.0,12753906.0,2024675.0,,14866500.0,0.038,8946689.0,3374570.0,-3038369.0,3725618.0,374276.0,9866364.0,9866559.0,,9866364.0,337683.0,919675.0,-2082381.0,414997.0,-1329701.0,919675.0,374276.0,17282809.0,,,43975096.0,25363482.0,1029099.0,985500.0,2014599.0,25615877.0,636218.0,3412025.0,3412025.0,3554240.0,1529565.0,15351277.0,0.0368,564927.0,,1287230.0,4841470.0,9866364.0,61610263.0,,-221863.0,1144982.0,,4313697.0,16556177.0,21665322.0,5401898.0,21258492.0,86084.0,86084.0,43539.0,43539.0,,3237.0,38137.0,21651523.0,-3041813.0,,,2112521.0,2696519.0,3383214.0,6079733.0,2112521.0,-1979326.0,122976.0,88667.0,399166.0,64964449.0,0.0,0.0,,-323585.0,136264.0,564927.0,564927.0,564928.0,,564927.0,564927.0,564927.0,564927.0,-2663740.0,-42545.0,-3444.0,101722.0,133195.0,-42545.0,,,5401898.0,-374629.0,-31473.0,-4382513.0,1191131.0,542303.0,1983682.0,4995980.0,682354.6,4183351.0,19724029.0,1534463.0,65233588.0,14832066.0,,,11774140.0,70468.0,5109145.0,,189029.0,2.0,1.0,330681.0,31220.0,1628162.0,2355669.0,195.0,0.0,11827138.0,456157.0,453294.0,1201146.0,0.0,221754.0,,-2663740.0,-3444.0,-374629.0,43975096.0,3412025.0,116840.0,128720.0,-1979326.0,,2881405.0,-267080.0,,,,,1886687.0,6200384.0,14971046.0,-154510.0,17282809.0,-4382513.0,-37082.4,636218.0,0.24,2748815.0,-70247.0,54593071.0,20666023.0,8094332.0,17282809.0,63699125.0,37310262.0,29229588.0,11694385.0,65233588.0,1071560.0,-154510.0,-154510.0,3000000.0,138980.0,,-252395.0,154510.0
2021-12-31,12M,EUR,14188380.0,12465270.0,12753906.0,2385842.0,,14831341.0,0.0261,9866364.0,2728086.0,-4078770.0,3298778.0,374276.0,13324983.0,13324983.0,,13324983.0,1009805.0,3458619.0,2945899.0,195856.0,4151560.0,3458618.0,374276.0,17536691.0,,,47546465.0,28259173.0,998388.0,1234623.0,2233011.0,29565848.0,713768.0,3770938.0,3770938.0,3918648.0,1532806.0,15735691.0,0.0246,387098.0,,1187946.0,5106594.0,13324983.0,73493523.0,,-1336407.0,4805220.0,,5291309.0,15405497.0,22260602.0,4619673.0,23690497.0,105569.0,105569.0,1696.0,1696.0,-8579.0,,26856.0,22249246.0,-4088965.0,90003.0,,698084.0,2300390.0,3477932.0,5778322.0,698084.0,-1998757.0,90003.0,221667.0,481566.0,74336129.0,-6086.0,18489.0,,-132116.0,-54219.0,387098.0,387098.0,368609.0,,387098.0,387098.0,368608.0,368608.0,-3889778.0,-103873.0,-10195.0,-1204291.0,-1300673.0,-103873.0,,,4619673.0,-188992.0,96382.0,-4723911.0,1524097.0,715135.0,2265831.0,5257260.0,501604.16,8883990.0,22407800.0,1282697.0,71236962.0,14807994.0,1.0,,13142457.0,184368.0,6855105.0,9106.0,-397780.0,2.0,-1.0,317434.0,2000.0,1410021.0,2271952.0,,0.0,14190380.0,573742.0,474731.0,1082377.0,0.0,280709.0,,-3889778.0,-10195.0,-188992.0,47546465.0,3770938.0,141235.0,152640.0,-1998757.0,,3175065.0,-1586535.0,,,0.0,,2049016.0,7340325.0,14971046.0,-150666.0,17536691.0,-4723911.0,-36159.84,713768.0,0.24,170112.0,-442429.0,58077407.0,21014623.0,8011333.0,17530605.0,69954265.0,40546802.0,29818234.0,10980954.0,71236962.0,934406.0,-150666.0,-150666.0,2000000.0,163052.0,714724.0,-1306675.0,150666.0
2022-12-31,12M,EUR,14871582.0,16721062.0,13743348.0,2324697.0,0.0,15331510.0,-0.0868,13324983.0,1787301.0,-5027972.0,2338301.0,384834.0,7153665.0,7153665.0,,7153664.0,-529919.0,-7663290.0,-1173181.0,25942.0,-1677158.0,-7663289.0,384834.0,17148307.0,,,64490272.0,25909110.0,817672.0,1880773.0,2698445.0,33153506.0,-556313.0,5305453.0,5305453.0,2784471.0,459774.0,15331510.0,-0.0868,-2516005.0,,-1354608.0,3950845.0,7153665.0,64194699.0,,-1479706.0,-2394195.0,,6107619.0,17400305.0,28342463.0,3486705.0,12489376.0,297212.0,297212.0,13112.0,13112.0,-73140.0,,15714.0,23157672.0,-8817360.0,204547.0,,1342674.0,1520629.0,4128592.0,5649221.0,1342674.0,-2419916.0,261003.0,354667.0,495108.0,64005997.0,-59974.0,47998.0,-3750000.0,-423620.0,-11307.0,-2516005.0,-2516005.0,-1044488.0,-1519515.0,-2516005.0,-996490.0,-2564003.0,-2564003.0,-4948238.0,-253445.0,-39387.0,-984087.0,-1077242.0,-253445.0,-71999.0,-1.0,3486705.0,-79734.0,93155.0,-11194156.0,1832486.0,915844.0,3976471.0,3950845.0,-996490.0,2633777.0,13843984.0,-1354608.0,76979648.0,15331510.0,1491971.0,2034383.0,15583479.0,,10942158.0,56455.0,1045914.0,1.0,2.0,298302.0,5310687.0,1204296.0,1907786.0,,0.0,14871582.0,625628.0,,-1608053.0,0.0,1772698.0,-3750000.0,-4948238.0,-39387.0,-79734.0,64490272.0,5305453.0,391729.0,442839.0,-2419916.0,,2126679.0,-4348312.0,,,0.0,,2825215.0,8932834.0,15393343.0,-1542000.0,17148307.0,-11194156.0,0.0,-563565.0,0.350464,110883.0,-892147.0,61138044.0,21276899.0,8347666.0,17088333.0,78334256.0,44049711.0,35228934.0,10896205.0,76979648.0,538769.0,-1542000.0,-1542000.0,,61833.0,277675.0,-7244396.0,1542000.0
2023-12-31,12M,EUR,12730699.0,8747887.0,13743348.0,2654232.0,,14007606.0,4.155848,7153665.0,973727.0,,1273699.0,384834.0,40100000.0,40100000.0,20000000.0,20100000.0,-8595535.0,33334425.0,-5980620.0,10229461.0,-4346694.0,33334425.0,384834.0,56986659.0,,,60244752.0,58469243.0,354384.0,1198294.0,1552678.0,20749589.0,353617.0,4002155.0,4002155.0,3129362.0,475130.0,14474410.0,4.021821,58213479.0,376842.0,-3688074.0,314081.0,40488090.0,51262914.0,163.215585,-26065065.0,-5674460.0,-376842.0,9018389.0,8498292.0,13933083.0,1544559.0,14815705.0,,,,,,42959.0,,60259188.0,65073950.0,,,379200.0,919315.0,2074235.0,2993550.0,379200.0,-3403281.0,420701.0,133333.0,284281.0,67477294.0,-117825.0,81746.0,58060395.0,-18003263.0,11801.0,58213479.0,58213479.0,-3025338.0,61157070.0,58213479.0,-2943591.0,58131733.0,58131733.0,2337427.0,1025461.0,3973742.0,-3170181.0,-3024081.0,1025461.0,-4891621.0,,1544559.0,702386.0,-146100.0,43053576.0,1369823.0,358397.0,1097245.0,314081.0,-2943591.0,-5674460.0,18503779.0,-3688074.0,75060457.0,12683702.0,,9621356.0,4891.0,,5434791.0,,-64514970.0,1.0,,,3846782.0,286551.0,,,0.0,16907972.0,548702.0,,-2662612.0,0.0,187034.0,,,-4646000.0,,60244752.0,4002155.0,,,-3403281.0,,1941566.0,53475836.0,58060395.0,2337427.0,8619742.0,702386.0,4414462.0,13432851.0,15393343.0,,56986659.0,43053576.0,0.0,362726.0,0.24,,,82200948.0,59060894.0,4546228.0,56868834.0,78748531.0,25332114.0,23343615.0,4582525.0,75060457.0,330491.0,,,,2709641.0,18280939.0,37719654.0,
