symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,ResearchAndDevelopment,SellingAndMarketingExpense,SellingGeneralAndAdministration,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue
GROW.MI,2022-12-31,3M,EUR,,,,,,,,,-1791515.0,,,,,,-1791515.0,-1791515.0,-1457572.0,,-1791515.0,-1409574.0,-1839513.0,,,,-1409574.0,,,45651778.0,0.0,-2013885.0,,,,,,0.0,,0.0,,45651778.0
GROW.MI,2023-09-30,3M,EUR,,12683702.0,4.210554,,,,12683702.0,4.210554,64550994.0,,,,,,64550994.0,64550994.0,-1411791.0,65962785.0,64550994.0,-1411791.0,64550994.0,,,,-1411791.0,,,20001430.0,0.0,-1411791.0,,,,,,0.0,,0.0,,20001430.0
GROW.MI,2023-09-30,TTM,EUR,,12683702.0,3.906435,,,,12683702.0,3.906435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROW.MI,2023-12-31,3M,EUR,,,,,,,,,-3490931.0,,,,,,-3490931.0,-3490931.0,-534475.0,-3038203.0,-3490931.0,-452728.0,-3572677.0,,,,-452728.0,,,20436191.0,0.0,-171749.0,,,,,,0.0,,0.0,,20436191.0
GROW.MI,2023-12-31,TTM,EUR,2654232.0,14007606.0,4.155848,60244752.0,3129362.0,475130.0,14474410.0,4.021821,58213479.0,-3688074.0,314081.0,9018389.0,14815705.0,81746.0,58213479.0,58213479.0,-3025338.0,61157070.0,58213479.0,-2943591.0,58131733.0,1025461.0,1025461.0,314081.0,-2943591.0,18503779.0,-3688074.0,75060457.0,0.0,-2662612.0,60244752.0,4002155.0,1941566.0,4414462.0,13432851.0,0.0,362726.0,0.24,78748531.0,75060457.0
