asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AmortizationCashFlow,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalExpenditureReported,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EffectOfExchangeRateChanges,EndCashPosition,EnterpriseValue,FinancingCashFlow,FinishedGoods,FreeCashFlow,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,HedgingAssetsCurrent,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,InterestReceivedCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,IssuanceOfDebt,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherInventories,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,RepaymentOfDebt,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfIntangibles,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital,WriteOff
2020-03-31,12M,EUR,,,,,,,,50000000.0,-0.15428,,,,-2968000.0,,,,,-4000000.0,,,,,,,,,,,-4000000.0,,,,,,,,,,,,,,598000.0,50000000.0,-0.15428,,,,,,,,,,,,,,,,4061000.0,,,,,-160000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26000.0,,,,,0.0,,4591000.0,,,,,,,,,,,,,,,4003000.0,,,,,,,,,,1743000.0,,,,,,,,,,9748000.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969000.0
2021-03-31,12M,EUR,33704000.0,23166000.0,-26454000.0,1000000.0,-3621000.0,,27000.0,49285000.0,-0.124074,57550000.0,53101000.0,-2985000.0,,53490000.0,1000000.0,57154000.0,57154000.0,,57154000.0,-396000.0,1693000.0,148000.0,1400000.0,-4977000.0,2648000.0,-180000.0,-514000.0,1000000.0,,54988000.0,20000.0,74920000.0,126222000.0,17202000.0,9874000.0,27076000.0,70199000.0,,15108000.0,15108000.0,15107000.0,15107000.0,598000.0,49285000.0,-0.124074,-6115000.0,-5505000.0,9603000.0,118000.0,57154000.0,138924850.0,-8489000.0,30825000.0,7721000.0,4658000.0,7064000.0,26788000.0,87522000.0,38557000.0,47000.0,54000.0,1361000.0,1361000.0,788000.0,788000.0,-2207000.0,,36206000.0,95073000.0,-2731000.0,27000.0,16600000.0,878000.0,36288000.0,30211000.0,66499000.0,16600000.0,-12449000.0,2905000.0,5792000.0,96794850.0,0.0,-323000.0,-26000.0,-967000.0,-6115000.0,-6115000.0,-5792000.0,-6115000.0,-6115000.0,-6866000.0,-5792000.0,-514000.0,-1115000.0,4151000.0,4151000.0,-1115000.0,,61068000.0,-2191000.0,47924000.0,6064000.0,0.0,3839000.0,6064000.0,9425000.0,-6265232.0,10706000.0,45803000.0,-7246000.0,113477000.0,49385128.0,,2575000.0,-1000.0,2406000.0,,2207000.0,1000.0,,2410000.0,1420000.0,7945000.0,27731000.0,3978000.0,-232000.0,0.0,42514000.0,,1433000.0,-6866000.0,0.0,2457000.0,-26000.0,-645000.0,-2340000.0,4659000.0,74920000.0,15108000.0,5156000.0,-12449000.0,,51864000.0,131000.0,149000.0,50000000.0,178000.0,54988000.0,47924000.0,27768.0,-1074000.0,0.156,3096000.0,0.0,203029000.0,85199000.0,93575000.0,54988000.0,120723000.0,148041000.0,76807000.0,77842000.0,-4659000.0,542000.0,113477000.0,865000.0,178000.0,178000.0,4001000.0,614872.0,722000.0,56023000.0,657000.0
2022-03-31,12M,EUR,41401000.0,27933000.0,-28359000.0,1000000.0,-3812000.0,,2000.0,48455000.0,0.089,57154000.0,53761000.0,-7059000.0,,53131000.0,1000000.0,61442000.0,61442000.0,,61442000.0,4289000.0,-3603000.0,2078000.0,347000.0,7131000.0,-5585000.0,-2502000.0,3218000.0,1000000.0,,59057000.0,191000.0,88841000.0,138195000.0,16798000.0,11839000.0,28637000.0,82751000.0,2902000.0,15423000.0,15423000.0,15423000.0,15423000.0,,48455000.0,0.089,4444000.0,8702000.0,24125000.0,1071000.0,61443000.0,130616163.0,-16160000.0,32244000.0,18894000.0,4658000.0,7141000.0,31745000.0,91390000.0,60579000.0,421000.0,715000.0,1356000.0,1356000.0,901000.0,901000.0,-325000.0,,39047000.0,96736000.0,-6575000.0,2000.0,7000000.0,878000.0,36333000.0,25840000.0,62173000.0,7000000.0,-9406000.0,2468000.0,6084000.0,89901163.0,0.0,0.0,0.0,-1815000.0,4444000.0,4444000.0,4444000.0,4444000.0,4444000.0,4444000.0,4444000.0,-789000.0,-457000.0,-2406000.0,-2406000.0,-457000.0,,63031000.0,-5786000.0,51916000.0,4003000.0,0.0,3879000.0,,22938000.0,3725865.0,25953000.0,56112000.0,4467000.0,149420000.0,48464239.0,,1847000.0,268000.0,2483000.0,,1359000.0,2000.0,,3544000.0,1889000.0,9992000.0,30476000.0,4153000.0,-1902000.0,0.0,53732000.0,,848000.0,7346000.0,0.0,4029000.0,0.0,-949000.0,-6110000.0,6056000.0,88841000.0,15423000.0,8126000.0,-9406000.0,,56308000.0,160000.0,324000.0,50000000.0,1187000.0,59057000.0,51916000.0,468865.0,2902000.0,0.395,3352000.0,-92000.0,214205000.0,84897000.0,90810000.0,59057000.0,144953000.0,155148000.0,76010000.0,72397000.0,9197000.0,2000.0,149420000.0,2339000.0,1187000.0,1187000.0,3877000.0,1535761.0,747000.0,55444000.0,818000.0
2023-03-31,12M,EUR,36233000.0,28251000.0,-31213000.0,1000000.0,-4344000.0,793000.0,2000.0,50000000.0,0.13,61443000.0,44452000.0,-3331000.0,,41093000.0,1000000.0,52935000.0,52935000.0,-4000000.0,52935000.0,-8507000.0,1487000.0,233000.0,-186000.0,-4515000.0,-993000.0,-5473000.0,-8412000.0,1000000.0,,61059000.0,64000.0,105612000.0,127538000.0,17225000.0,12921000.0,30146000.0,80189000.0,4843000.0,15166000.0,15959000.0,16559000.0,16559000.0,,50000000.0,0.13,6502000.0,12901000.0,29460000.0,-96000.0,52936000.0,123471853.0,-28922000.0,31820000.0,20510000.0,4658000.0,7143000.0,32596000.0,83430000.0,69983000.0,808000.0,,1556000.0,1556000.0,1978000.0,1978000.0,-1400000.0,,37428000.0,88379000.0,-3331000.0,2000.0,0.0,878000.0,23868000.0,14399000.0,38267000.0,0.0,-10359000.0,2841000.0,6417000.0,85870853.0,0.0,0.0,0.0,-678000.0,6502000.0,6502000.0,6502000.0,6502000.0,6502000.0,6502000.0,6502000.0,-851000.0,323000.0,-10359000.0,-10359000.0,323000.0,,52217000.0,-2480000.0,53916000.0,3260000.0,,3764000.0,,29269000.0,6356840.0,23841000.0,60121000.0,9862000.0,175595000.0,48106921.0,1000.0,1818000.0,,2485000.0,,239000.0,1000.0,,1813000.0,905000.0,9478000.0,31619000.0,4997000.0,-191000.0,0.0,49691000.0,2267000.0,757000.0,11345000.0,0.0,927000.0,0.0,-851000.0,-2480000.0,4994000.0,105612000.0,15959000.0,,-10359000.0,,58810000.0,0.0,0.0,50000000.0,191000.0,61059000.0,53916000.0,45840.0,4843000.0,0.24,1301000.0,52000.0,192064000.0,75458000.0,68413000.0,61059000.0,165733000.0,131005000.0,64526000.0,50816000.0,11867000.0,99000.0,175595000.0,3980000.0,191000.0,191000.0,5944000.0,1893079.0,614000.0,47349000.0,
2024-03-31,12M,EUR,35534000.0,36108000.0,-33699000.0,1000000.0,-4357000.0,1655000.0,2000.0,,,52936000.0,44366000.0,-3398000.0,,40591000.0,1000000.0,35093000.0,35093000.0,-5000000.0,35093000.0,-17844000.0,-207000.0,-274000.0,-1163000.0,-2402000.0,-8704000.0,-15699000.0,-17306000.0,1000000.0,,64715000.0,100000.0,109166000.0,117740000.0,20983000.0,9708000.0,30691000.0,78343000.0,4031000.0,14502000.0,16157000.0,18001000.0,18001000.0,,,,10528000.0,15998000.0,33999000.0,-538000.0,35092000.0,116991528.0,-29438000.0,32099000.0,12132000.0,4658000.0,6351000.0,40465000.0,84141000.0,71103000.0,392000.0,,1439000.0,1439000.0,763000.0,763000.0,,260000.0,37255000.0,80152000.0,-3398000.0,2000.0,0.0,878000.0,19608000.0,5729000.0,25337000.0,0.0,-11883000.0,2816000.0,7027000.0,90404528.0,0.0,0.0,0.0,-1096000.0,10528000.0,10528000.0,10528000.0,10528000.0,10528000.0,10528000.0,10528000.0,-632000.0,-765000.0,-11883000.0,-11883000.0,-765000.0,,50442000.0,-2766000.0,58364000.0,3637000.0,,3251000.0,,33530000.0,10188913.0,15530000.0,61546000.0,9557000.0,180269000.0,47581331.0,,2727000.0,1000.0,1693000.0,1000.0,1211000.0,1000.0,,5212000.0,991000.0,8780000.0,31770000.0,5267000.0,-469000.0,0.0,47379000.0,2135000.0,,14559000.0,0.0,1227000.0,0.0,-632000.0,-2766000.0,4509000.0,109166000.0,16157000.0,,-11883000.0,,64338000.0,0.0,0.0,50000000.0,469000.0,64715000.0,58364000.0,129913.0,4031000.0,0.277,898000.0,-5317000.0,179943000.0,70444000.0,56028000.0,64715000.0,170712000.0,115228000.0,62203000.0,36885000.0,14833000.0,89000.0,180269000.0,3065000.0,469000.0,469000.0,5481000.0,2418669.0,646000.0,39397000.0,
