symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,DepreciationAndAmortization,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EffectOfExchangeRateChanges,EndCashPosition,EnterpriseValue,FinancingCashFlow,FinishedGoods,FreeCashFlow,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,InventoriesAdjustmentsAllowances,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,PurchaseOfBusiness,ReconciledCostOfRevenue,ReconciledDepreciation,RetainedEarnings,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TreasurySharesNumber,WorkingCapital
CELL.MI,2022-12-31,3M,EUR,23580000.0,53291000.0,-3437000.0,,,,7410000.0,-1697000.0,21343000.0,9916000.0,9991000.0,0.0,9916000.0,1700000.0,4720000.0,-1666000.0,-3082000.0,2279000.0,2357000.0,1169000.0,21343000.0,130468000.0,106000.0,23974000.0,109023000.0,23788000.0,23788000.0,55152000.0,308000.0,38920000.0,,,-35107000.0,-35124000.0,3796000.0,1337000.0,9916000.0,89659144.0,-2294000.0,42008000.0,4249000.0,-52470000.0,34272000.0,89098000.0,56728000.0,12114000.0,18345000.0,-326000.0,-326000.0,-1225000.0,-1225000.0,-738000.0,-2214000.0,39794000.0,169965000.0,-2483000.0,0.0,15709000.0,15709000.0,71000.0,1356000.0,2680000.0,61865144.0,0.0,,-786000.0,29581000.0,-35107000.0,-35107000.0,-35107000.0,-35107000.0,-35107000.0,-35107000.0,-35107000.0,-333000.0,-1829000.0,-1829000.0,-333000.0,-491000.0,12114000.0,-1697000.0,41370000.0,5122000.0,2762000.0,524000.0,3834000.0,22244880.0,5946000.0,-21634000.0,39979000.0,42319000.0,20830015.0,3371000.0,1283000.0,54826000.0,342000.0,-2000.0,,616000.0,2801000.0,4388000.0,480000.0,75000.0,0.0,28660000.0,,4497000.0,-34798000.0,4940000.0,-786000.0,23974000.0,38920000.0,-59612000.0,-209000.0,-52679000.0,21868189.0,130468000.0,41370000.0,-18111120.0,308000.0,0.24,970000.0,-290000.0,215428000.0,146177000.0,39497000.0,130468000.0,2340000.0,84960000.0,106405000.0,29808000.0,-34833000.0,42319000.0,2279000.0,-38000.0,-75463000.0,1038174.0,53871000.0
CELL.MI,2023-06-30,3M,EUR,26993000.0,48229000.0,-3643000.0,,,,,,21343000.0,12366000.0,12366000.0,,12366000.0,,,,,,,,21343000.0,126225000.0,170000.0,,118818000.0,30390000.0,30390000.0,66492000.0,,,,,,,,,,,,,,,37792000.0,91653000.0,51872000.0,12257000.0,,,,,,,,49182000.0,172621000.0,,,16006000.0,16006000.0,71000.0,2493000.0,2631000.0,,0.0,,,34030000.0,,,,,,,,,,,,,12257000.0,,34572000.0,5409000.0,3349000.0,518000.0,,,,,,,21469744.0,,1384000.0,53861000.0,,,1000.0,,2672000.0,4573000.0,3789000.0,,,32294000.0,867000.0,4498000.0,,4883000.0,,,,-1306000.0,,,21868189.0,126225000.0,34572000.0,,,,754000.0,,228209000.0,142231000.0,46396000.0,126225000.0,,101984000.0,109390000.0,35492000.0,,,2629000.0,,,398445.0,52326000.0
CELL.MI,2023-09-30,3M,EUR,29798000.0,57384000.0,,53000.0,,,12366000.0,-972000.0,21343000.0,10924000.0,11161000.0,,,-1358000.0,-2438000.0,4751000.0,2805000.0,-8496000.0,-3341000.0,-1656000.0,21343000.0,130074000.0,,25320000.0,122736000.0,27098000.0,27098000.0,66048000.0,195000.0,3425000.0,,,3706000.0,5374000.0,8799000.0,215000.0,10924000.0,82960152.0,-4399000.0,,2743000.0,17131000.0,37946000.0,90075000.0,,12021000.0,18926000.0,1473000.0,1473000.0,140000.0,140000.0,-512000.0,,51609000.0,172456000.0,-972000.0,53000.0,15284000.0,15284000.0,71000.0,2437000.0,,48930152.0,0.0,0.0,0.0,31458000.0,3706000.0,3706000.0,3706000.0,3706000.0,3706000.0,3706000.0,3706000.0,-714000.0,-4006000.0,-4006000.0,-714000.0,-411000.0,12021000.0,-972000.0,39999000.0,5616000.0,3328000.0,481000.0,8532000.0,3452346.577801,3715000.0,14734000.0,4192000.0,44246000.0,21366879.0,1738000.0,7027000.0,52129000.0,770000.0,,,269000.0,,12021000.0,,237000.0,0.0,30422000.0,,,3901000.0,,0.0,25320000.0,3425000.0,2496000.0,14469000.0,31600000.0,21868189.0,130074000.0,39999000.0,13346.577801,195000.0,0.049987,844000.0,176000.0,230572000.0,145358000.0,42382000.0,130074000.0,40054000.0,100498000.0,107836000.0,34450000.0,4787000.0,44246000.0,624000.0,267000.0,267000.0,501310.0,56688000.0
CELL.MI,2023-12-31,3M,EUR,32330000.0,51460000.0,-3946000.0,,,,10924000.0,-1688000.0,21343000.0,14041000.0,14379000.0,,14041000.0,2029000.0,4388000.0,-8945000.0,2532000.0,4970000.0,2902000.0,2328000.0,21343000.0,134659000.0,129000.0,28672000.0,126309000.0,29170000.0,29170000.0,75057000.0,755000.0,3517000.0,,,3925000.0,4683000.0,8200000.0,788000.0,14041000.0,81158897.0,-4173000.0,48429000.0,6501000.0,-13906000.0,38505000.0,89099000.0,55406000.0,11810000.0,17910000.0,3000.0,3000.0,-138000.0,-138000.0,-1523000.0,-2505000.0,45924000.0,172429000.0,-1688000.0,,8600000.0,8600000.0,331000.0,1939000.0,2824000.0,49937897.0,0.0,,0.0,23729000.0,3925000.0,3925000.0,3925000.0,3925000.0,3925000.0,3925000.0,3925000.0,1028000.0,-4612000.0,-4612000.0,1028000.0,502000.0,11810000.0,-1688000.0,45560000.0,5805000.0,3547000.0,544000.0,8200000.0,3925000.0,8189000.0,14925000.0,2985000.0,46582000.0,21340982.0,,3091000.0,50594000.0,-2370000.0,,,-223000.0,2994000.0,3994000.0,2023000.0,338000.0,0.0,39864000.0,,12050000.0,4680000.0,4863000.0,0.0,28672000.0,3517000.0,6260000.0,-5626000.0,-19532000.0,21868189.0,134659000.0,45560000.0,0.0,755000.0,0.161325,473000.0,-533000.0,233407000.0,143259000.0,37770000.0,134659000.0,43597000.0,98748000.0,107099000.0,23691000.0,2763000.0,46582000.0,4540000.0,0.0,0.0,527207.0,51252000.0
CELL.MI,2024-03-31,3M,EUR,,,,,21022625.0,-0.121964,,,,,,,,,,,,,,,,,,,,,,,,,21022625.0,-0.121964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
