symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,CommonStockPayments,DeferredTax,Depreciation,DepreciationAndAmortization,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnSaleOfBusiness,InterestPaidCFO,InvestingCashFlow,IssuanceOfCapitalStock,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetIncome,NetIncomeFromContinuingOperations,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,PurchaseOfBusiness,RepaymentOfDebt,RepurchaseOfCapitalStock,TaxesRefundPaid
CELL.MI,2019-06-30,TTM,EUR,,,81070000.0,,,,,,,,,0.0,-1439000.0,,,,,,,,,,,0.0,-14060000.0,,,,,,,,,,,-14060000.0,-1439000.0,
CELL.MI,2022-12-31,3M,EUR,7410000.0,-1697000.0,,0.0,1700000.0,4720000.0,-1666000.0,-3082000.0,2279000.0,2357000.0,1169000.0,,,308000.0,,38920000.0,1337000.0,9916000.0,-2294000.0,4249000.0,,-738000.0,-2483000.0,,,-786000.0,-35107000.0,-35107000.0,-1829000.0,-1829000.0,-491000.0,-1697000.0,5946000.0,342000.0,-786000.0,,,-290000.0
CELL.MI,2023-09-30,3M,EUR,12366000.0,-972000.0,,,-1358000.0,-2438000.0,4751000.0,2805000.0,-8496000.0,-3341000.0,-1656000.0,,,195000.0,,3425000.0,215000.0,10924000.0,-4399000.0,2743000.0,,-512000.0,-972000.0,,,0.0,3706000.0,3706000.0,-4006000.0,-4006000.0,-411000.0,-972000.0,3715000.0,770000.0,0.0,,,176000.0
CELL.MI,2023-12-31,3M,EUR,10924000.0,-1688000.0,,,2029000.0,4388000.0,-8945000.0,2532000.0,4970000.0,2902000.0,2328000.0,,,755000.0,,3517000.0,788000.0,14041000.0,-4173000.0,6501000.0,,-1523000.0,-1688000.0,,,0.0,3925000.0,3925000.0,-4612000.0,-4612000.0,502000.0,-1688000.0,8189000.0,-2370000.0,0.0,,,-533000.0
CELL.MI,2023-12-31,TTM,EUR,9916000.0,-4893000.0,,,3038000.0,-4587000.0,-7159000.0,8595000.0,2498000.0,-653000.0,3038000.0,,,655000.0,13405000.0,13405000.0,1087000.0,14041000.0,-2564000.0,8154000.0,-260000.0,-3703000.0,-7445000.0,,,-2552000.0,3595000.0,3595000.0,-1727000.0,-1727000.0,-837000.0,-4893000.0,13047000.0,169000.0,-2552000.0,,,-1432000.0
