symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,CommonStockPayments,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InterestPaidCFF,InterestPaidCFO,InterestReceivedCFO,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,PensionAndEmployeeBenefitExpense,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,RepurchaseOfCapitalStock,SaleOfBusiness,SaleOfInvestment,StockBasedCompensation,TaxesRefundPaid
MOL.MI,2019-12-31,12M,EUR,,,,,,,-15145000.0,,,-11292000.0,0.0,-5192000.0,,,,,,,,-2217000.0,231000.0,,0.0,,,,,,,,,,,,,,,0.0,,,-38116000.0,,,-5192000.0,,946000.0,,
MOL.MI,2020-12-31,12M,EUR,,33065000.0,-3337000.0,-4510000.0,87794000.0,-30071000.0,,-28428000.0,87794000.0,-4510000.0,,-2871000.0,13473000.0,13473000.0,120859000.0,16472000.0,103650000.0,1191000.0,-963000.0,-3619000.0,131000.0,-35665000.0,,50000000.0,50000000.0,-23384000.0,-24411000.0,-2871000.0,128454000.0,130682000.0,-1932000.0,-7917000.0,26616000.0,26616000.0,-1405000.0,106987000.0,-3619000.0,,-24411000.0,-1932000.0,-8508000.0,-1405000.0,-23384000.0,-2871000.0,,591000.0,1259000.0,-7513000.0
MOL.MI,2021-12-31,12M,EUR,,120859000.0,-2394000.0,-15500000.0,38985000.0,-14399000.0,,-12779000.0,38985000.0,,,,20787000.0,20787000.0,159844000.0,26454000.0,-1002000.0,1709000.0,-1559000.0,,0.0,11139000.0,,58193000.0,58193000.0,-21004000.0,-27770000.0,6789000.0,16347000.0,17839000.0,-608000.0,41303000.0,37189000.0,37189000.0,-1786000.0,1392000.0,-4853000.0,,-27770000.0,-608000.0,,-1786000.0,-21004000.0,,0.0,41303000.0,479000.0,-24743000.0
MOL.MI,2022-09-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22347000.0,,,,,,,,,,,,,,,,,,,
MOL.MI,2022-12-31,12M,EUR,,159844000.0,-3758000.0,-15239000.0,101803000.0,9070000.0,,9740000.0,101803000.0,,,,22026000.0,22026000.0,261647000.0,199113000.0,58233000.0,-3690000.0,-3838000.0,,,-159301000.0,,272439000.0,272439000.0,-25433000.0,-87620000.0,-25025000.0,46875000.0,47529000.0,-560000.0,-67769000.0,247006000.0,247006000.0,-3198000.0,61991000.0,-7514000.0,,-87621000.0,-560000.0,-67769000.0,-3198000.0,-25433000.0,,1000.0,,797000.0,-6851000.0
MOL.MI,2023-12-31,12M,EUR,37698000.0,261647000.0,-6519000.0,-4486000.0,-111550000.0,26250000.0,,26776000.0,-111550000.0,,,,7405000.0,45103000.0,150097000.0,-56943000.0,86982000.0,4400000.0,-14184000.0,,,-148108000.0,,35046000.0,35046000.0,-62714000.0,-142058000.0,-10073000.0,34691000.0,35361000.0,-1491000.0,338000.0,-27668000.0,-27668000.0,-5028000.0,93501000.0,-12686000.0,,-142058000.0,-1491000.0,,-5028000.0,-62714000.0,,,338000.0,1416000.0,-6740000.0
MOL.MI,2024-03-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36062000.0,,,,,,,,,,,,,,,,,,,
