symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InvestingCashFlow,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPropertiesPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfInvestmentProperties,PurchaseOfPPE,RepaymentOfDebt
BO.MI,2019-06-30,TTM,EUR,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BO.MI,2019-12-31,TTM,EUR,,,,,,-22047000.0,,,,,0.0,,,,,,,,,27665000.0,27665000.0,,,,,,,,,,,,,-1000.0,409000.0,,-952000.0,-1116000.0,-2566000.0,-28000.0,
BO.MI,2023-12-31,TTM,EUR,7666000.0,-944000.0,-1145000.0,-868000.0,,-15326000.0,-4222000.0,9362000.0,-10186000.0,-868000.0,-1145000.0,451000.0,783000.0,783000.0,6798000.0,23727000.0,-13623000.0,-7683000.0,-11916000.0,29198000.0,29198000.0,0.0,-557000.0,4926000.0,5638000.0,-9000.0,-9257000.0,29198000.0,29198000.0,-4326000.0,-1158000.0,-935000.0,-12679000.0,-1000.0,-1952000.0,-557000.0,-9000.0,,-9257000.0,-935000.0,0.0
