symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,DeferredTax,Depreciation,DepreciationAndAmortization,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnSaleOfPPE,InterestPaidCFO,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE,RepaymentOfDebt,SaleOfInvestment,SaleOfPPE,TaxesRefundPaid
CLABO.MI,2019-12-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,-1065211.0,,,,,,,,,0.0,,,,,,
CLABO.MI,2023-12-31,TTM,EUR,3401117.0,1174972.0,-3591371.0,3809887.0,716473.0,3675297.0,-1188792.0,-589497.0,2613481.0,3809887.0,0.0,-230577.0,2063076.0,5464193.0,-96774.0,4888085.0,-1857120.0,5622464.0,0.0,-3240358.0,-3546828.0,0.0,56250.0,56250.0,-3756003.0,,0.0,-5696.0,1245725.0,-2652865.0,346656.0,-1782522.0,-3699753.0,,-302113.0,-938506.0,1917231.0,9213835.0,2000.0,3656429.0,342252.0,342000.0,,-2652865.0,-938506.0,-3756003.0,346656.0,0.0,-168383.0
