symbol,asOfDate,periodType,currencyCode,NetIncome
CLE.MI,2023-03-31,3M,EUR,-614000.0
CLE.MI,2023-06-30,3M,EUR,237000.0
CLE.MI,2023-09-30,3M,EUR,740000.0
CLE.MI,2023-12-31,3M,EUR,665000.0
CLE.MI,2024-03-31,3M,EUR,-722000.0
CLE.MI,2024-03-31,TTM,EUR,920000.0
