symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,InvestingCashFlow,NetBusinessPurchaseAndSale,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetPPEPurchaseAndSale,OperatingCashFlow
CLE.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,,,,4073000.0,,,,4073000.0,,,,,
CLE.MI,2020-12-31,12M,EUR,2130000.0,-6521000.0,2764000.0,561000.0,,-7994000.0,25678000.0,18245000.0,2764000.0,8473000.0,8473000.0,4894000.0,2551000.0,-105000.0,-6203000.0,318000.0,-20302000.0,-20302000.0,-5081000.0,318000.0,3868000.0,3868000.0,-1317000.0,-1440000.0,6416000.0
CLE.MI,2021-12-31,12M,EUR,4894000.0,-3896000.0,-98000.0,168000.0,2207000.0,2147000.0,861000.0,5383000.0,-98000.0,4917000.0,4917000.0,4796000.0,5534000.0,-6604000.0,-2924000.0,-567000.0,-13008000.0,-13008000.0,-3896000.0,,2738000.0,2738000.0,2796000.0,1539000.0,-2708000.0
CLE.MI,2022-12-31,12M,EUR,4796000.0,-3901000.0,-1005000.0,-92000.0,4398000.0,-1519000.0,4447000.0,7234000.0,-1005000.0,7409000.0,7409000.0,3791000.0,-29740000.0,28077000.0,-3243000.0,658000.0,17335000.0,17335000.0,-2460000.0,658000.0,-63988000.0,-63988000.0,34248000.0,-1441000.0,31978000.0
CLE.MI,2023-12-31,12M,EUR,3791000.0,-5338000.0,3116000.0,213000.0,55000.0,-10367000.0,5218000.0,-4881000.0,3116000.0,7100000.0,7100000.0,6907000.0,5046000.0,-2091000.0,-5177000.0,,1028000.0,1028000.0,-4001000.0,161000.0,-1059000.0,-1059000.0,6105000.0,-1337000.0,3247000.0
CLE.MI,2024-03-31,TTM,EUR,,,,,,,,,,,,,,,,,920000.0,,,,,,,,
