asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,BasicAverageShares,BasicEPS,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendsPayable,EBIT,EBITDA,EnterpriseValue,EnterprisesValueEBITDARatio,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,RawMaterials,ReconciledDepreciation,RetainedEarnings,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxRateForCalcs,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,36111000.0,29674000.0,83555000.0,,,12026000.0,13497000.0,43100000.0,3791000.0,3791000.0,3754000.0,37000.0,43100000.0,10917000.0,61000.0,72716000.0,2788000.0,6901000.0,9689000.0,98602000.0,,,,,,97000.0,,,,,1037000.0,17286000.0,72112000.0,29674000.0,14812000.0,1831000.0,40232000.0,2748000.0,,132000.0,275000.0,10709000.0,22414000.0,33123000.0,2880000.0,13560000.0,1354000.0,,12445000.0,,25524000.0,,,,,,,,,14812000.0,-61195000.0,1410000.0,6496000.0,,,,,,171586284.0,,3253000.0,54826000.0,3579000.0,,14674000.0,13122000.0,33274000.0,-48951000.0,,69047000.0,1496000.0,524000.0,,0.0,752000.0,,17335000.0,171586284.0,47139000.0,10917000.0,-61195000.0,,,3622000.0,180132000.0,33331000.0,42812000.0,23362000.0,,156770000.0,107416000.0,58168000.0,,,18165000.0,47086000.0,47086000.0,3579000.0,42000.0,-25886000.0
2023-03-31,3M,EUR,,,,276524556.0,-0.00222,,,,,,,,,,,,,,,,1973000.0,1973000.0,276524556.0,-0.00222,-614000.0,,253000.0,2226000.0,127562318.0,55.486002,,,,,,,,,,,,,,,,,,22730318.0,,-337000.0,,-614000.0,-614000.0,-277000.0,-614000.0,-614000.0,-277000.0,-530000.0,-530000.0,,,,,2226000.0,-614000.0,18205000.0,253000.0,18458000.0,,,,,,17800000.0,,,,73000.0,0.0,,,,-277000.0,,,1973000.0,,,-73000.0,,,0.0,0.0,,,,,,18205000.0,,,,253000.0,18458000.0,,-73000.0,-73000.0,,,
2023-06-30,3M,EUR,34808000.0,28465000.0,83337000.0,,,11592000.0,11170000.0,43100000.0,6300000.0,6300000.0,6219000.0,81000.0,43100000.0,10296000.0,61000.0,72698000.0,1842000.0,9058000.0,10900000.0,94712000.0,1404000.0,-208000.0,,,237000.0,97000.0,734000.0,2138000.0,58322414.0,,1092000.0,17286000.0,72287000.0,28465000.0,13973000.0,1809000.0,43864000.0,173000.0,2542000.0,132000.0,273000.0,9328000.0,24510000.0,33838000.0,2847000.0,13576000.0,1083000.0,19301414.0,12839000.0,-76000.0,27268000.0,237000.0,237000.0,313000.0,237000.0,237000.0,313000.0,-631000.0,-631000.0,13973000.0,-61991000.0,1401000.0,6182000.0,2098000.0,206600.0,-2184000.0,-1143000.0,20569000.0,276524556.0,,,55001000.0,,-14104000.0,11902000.0,964000.0,32180000.0,-2382000.0,0.0,65028000.0,1863000.0,583000.0,575000.0,0.0,717000.0,1404000.0,-377000.0,276524556.0,73000.0,10296000.0,-61991000.0,9600.0,0.24,3361000.0,179577000.0,34806000.0,44738000.0,23135000.0,21712000.0,156442000.0,106879000.0,61730000.0,1239000.0,20569000.0,18221000.0,40000.0,40000.0,6733000.0,0.0,-22014000.0
2023-09-30,3M,EUR,,,,,,,,,,,,,,,,,,,,,3312000.0,4924000.0,,,740000.0,,1402000.0,4714000.0,55859047.0,,,,,,,,,,,,,,,,,,,17421047.0,,261000.0,,740000.0,740000.0,479000.0,740000.0,740000.0,479000.0,-786000.0,-786000.0,,,,,4714000.0,740000.0,40936000.0,3279000.0,20319000.0,,,,,,48140000.0,,,,,0.0,,,,217000.0,,,3312000.0,,,,,,0.0,0.24,,,,,,17040000.0,,,,970000.0,20319000.0,,,,,,
2023-12-31,3M,EUR,33195000.0,25144000.0,83337000.0,,,10556000.0,10524000.0,43100000.0,6907000.0,6907000.0,6849000.0,58000.0,43100000.0,11221000.0,24000.0,65803000.0,1979000.0,9402000.0,11381000.0,86862000.0,411000.0,-3122000.0,,,665000.0,97000.0,1910000.0,2321000.0,55361302.0,,,17268000.0,72580000.0,25144000.0,12582000.0,1618000.0,45310000.0,2576000.0,,143000.0,39000.0,8545000.0,24687000.0,33232000.0,2719000.0,8334000.0,1220000.0,16923302.0,13226000.0,-680000.0,27182000.0,665000.0,665000.0,1345000.0,665000.0,665000.0,1345000.0,-806000.0,-806000.0,12582000.0,-61359000.0,1407000.0,6482000.0,2321000.0,665000.0,-36623000.0,1207000.0,12600000.0,276524556.0,3000.0,,55312000.0,,-51047000.0,10265000.0,743000.0,28226000.0,,0.0,61517000.0,1329000.0,543000.0,2171000.0,0.0,,411000.0,1028000.0,276524556.0,,11221000.0,-61359000.0,0.0,0.24,3362000.0,170600000.0,35908000.0,44613000.0,24447000.0,11393000.0,146153000.0,104797000.0,59291000.0,3050000.0,12600000.0,17960000.0,,,9836000.0,,-21059000.0
2024-03-31,3M,EUR,,,,276524556.0,-0.002611,,,,,,,,,,,,,,,,2008000.0,2008000.0,276524556.0,-0.002611,-722000.0,,321000.0,2329000.0,66643504.0,,,,,,,,,,,,,,,,,,,28205504.0,,3000.0,,-722000.0,-722000.0,-725000.0,-722000.0,-722000.0,-725000.0,-1046000.0,-1046000.0,,,,,2329000.0,-722000.0,17978000.0,321000.0,18299000.0,,,,,,17654000.0,,,,,0.0,,,,-725000.0,,,2008000.0,,,,,,0.0,0.0,,,,,,17978000.0,,,,321000.0,18299000.0,,,,,,
