symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,InvestingCashFlow,IssuanceOfCapitalStock,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,SaleOfInvestment
DIB.MI,2020-06-30,12M,EUR,11400000.0,4767000.0,-34522000.0,,3760000.0,5920000.0,-4768000.0,506000.0,20844000.0,4966000.0,26612000.0,3760000.0,,0.0,-737000.0,1866000.0,13266000.0,8527000.0,-15075000.0,22617000.0,-38304000.0,0.0,0.0,14970000.0,14949000.0,-27403000.0,-3782000.0,-2043000.0,-2043000.0,-15075000.0,,-7119000.0,57139000.0,,757000.0,86000.0,0.0,-27403000.0,-3782000.0,-7119000.0,
DIB.MI,2021-06-30,12M,EUR,22829000.0,8527000.0,-59344000.0,-2139000.0,26982000.0,2281000.0,12775000.0,10157000.0,11362000.0,13158000.0,49733000.0,26982000.0,-2139000.0,0.0,-8162000.0,1771000.0,24600000.0,35509000.0,-10801000.0,43486000.0,-65047000.0,0.0,0.0,32025000.0,31936000.0,-58212000.0,-5702000.0,-7073000.0,-7073000.0,-8662000.0,-1000.0,-1132000.0,102830000.0,,2063000.0,60000.0,2600000.0,-58212000.0,-5702000.0,-1132000.0,
DIB.MI,2022-06-30,12M,EUR,16872000.0,35509000.0,-59597000.0,-2567000.0,-24548000.0,1535000.0,5719000.0,-8736000.0,-2275000.0,-19971000.0,-23728000.0,-24548000.0,-2567000.0,1000.0,-1185000.0,2158000.0,19030000.0,10961000.0,7425000.0,-35652000.0,-55918000.0,1000.0,1000.0,28546000.0,28656000.0,-55284000.0,3679000.0,9737000.0,9737000.0,9991000.0,,-4313000.0,23945000.0,217000.0,-564000.0,42000.0,1694000.0,-55284000.0,,-4313000.0,3679000.0
DIB.MI,2023-06-30,12M,EUR,15990000.0,10961000.0,-74436000.0,-2568000.0,-1554000.0,818000.0,-10760000.0,3848000.0,-6081000.0,18464000.0,6289000.0,-1554000.0,-2568000.0,1000.0,-4258000.0,2697000.0,18687000.0,9407000.0,39236000.0,-36901000.0,-78325000.0,1000.0,1000.0,9683000.0,9635000.0,-72479000.0,-3889000.0,34561000.0,34561000.0,41803000.0,,-1957000.0,37535000.0,,-668000.0,150000.0,7700000.0,-72479000.0,-3889000.0,-1957000.0,
DIB.MI,2024-03-31,TTM,EUR,26731000.0,8117000.0,-28300000.0,,-4107000.0,557000.0,-5750000.0,-3304000.0,-11014000.0,12454000.0,-7057000.0,-4107000.0,,0.0,-5070000.0,2679000.0,29410000.0,4010000.0,9354000.0,-32231000.0,-9530000.0,0.0,0.0,-8124000.0,-12756000.0,-27692000.0,18770000.0,,,9354000.0,,-608000.0,-3931000.0,,-17918000.0,78000.0,9382000.0,-27692000.0,,-608000.0,
