symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,CommonStockPayments,DeferredTax,DividendsReceivedCFI,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InvestingCashFlow,IssuanceOfCapitalStock,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetOtherFinancingCharges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE,RepurchaseOfCapitalStock,SaleOfBusiness,SaleOfIntangibles,SaleOfPPE
BPE.MI,2019-12-31,12M,EUR,,,,,-98158000.0,-89912000.0,,,,180000000.0,,,0.0,,,,,,,180000000.0,,,,,,180000000.0,,,,,,,,,,0.0,
BPE.MI,2020-12-31,12M,EUR,939746000.0,-235792000.0,-3223000.0,-91063000.0,,,-1686951000.0,-91063000.0,-3223000.0,776188000.0,,-52653000.0,,419000.0,849102000.0,772965000.0,-876688000.0,-32435000.0,-223132000.0,776188000.0,-7960000.0,776188000.0,236925000.0,236925000.0,-92581000.0,,-122591000.0,-640896000.0,3797000.0,890421000.0,-8250000.0,-92581000.0,-143211000.0,,290000.0,,20620000.0
BPE.MI,2021-12-31,12M,EUR,849102000.0,-246234000.0,-61072000.0,457643000.0,,,-35344000.0,457643000.0,-61072000.0,,-3062000.0,174349000.0,,-463000.0,1306282000.0,-64134000.0,1018668000.0,-63922000.0,-743125000.0,,-521941000.0,-3062000.0,525123000.0,525123000.0,-97389000.0,,-123795000.0,1264902000.0,-1138672000.0,1803368000.0,-522016000.0,-97389000.0,-148845000.0,-3062000.0,75000.0,,25050000.0
BPE.MI,2022-12-31,12M,EUR,1306282000.0,-334586000.0,-91273000.0,12691424000.0,,,10927603000.0,12691424000.0,-91273000.0,5771000.0,,36011000.0,,-265000.0,13997441000.0,-85502000.0,12459409000.0,16913000.0,-17069000.0,5771000.0,275957000.0,5771000.0,1448975000.0,1448975000.0,-170529000.0,,-122497000.0,12793995000.0,-960809000.0,1325302000.0,-3276000.0,-170529000.0,-164057000.0,,279233000.0,,41560000.0
BPE.MI,2023-12-31,12M,EUR,13997441000.0,-381516000.0,-181050000.0,-3911995000.0,,,-6521654000.0,-3911995000.0,-181050000.0,,,466577000.0,,149000.0,10085595000.0,-178373000.0,-3801060000.0,-161483000.0,-314078000.0,,-3845000.0,2677000.0,1519496000.0,1519496000.0,-225718000.0,,-84515000.0,-3419544000.0,-16720000.0,1294240000.0,-3850000.0,-225718000.0,-155798000.0,,5000.0,,71283000.0
BPE.MI,2024-03-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,1686097000.0,,,,,,,,,,,,,,
