symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue
BFG.MI,2023-06-30,TTM,EUR,187059565.0,0.042551,,,,187059565.0,0.042551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFG.MI,2023-12-31,TTM,EUR,261883029.0,0.004486,1231534000.0,41974000.0,41974000.0,261883029.0,0.004486,1175000.0,33651000.0,75625000.0,94887000.0,28844000.0,28844000.0,3739000.0,3739000.0,-3023000.0,1175000.0,1175000.0,4198000.0,1175000.0,1175000.0,4198000.0,-25105000.0,-25105000.0,75625000.0,1175000.0,128002000.0,-33115000.0,1326421000.0,60182000.0,28064000.0,0.0,4807000.0,1231534000.0,41974000.0,0.0,609000.0,0.12669,1359536000.0,29911000.0,1326421000.0
