asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DerivativeProductLiabilities,FinishedGoods,FixedAssetsRevaluationReserve,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,12754000.0,25411000.0,-35591000.0,-526000.0,144000.0,4000.0,26070000.0,6385000.0,14878000.0,5647000.0,5647000.0,5647000.0,14878000.0,45185000.0,60000.0,58186000.0,491000.0,35918000.0,35918000.0,58716000.0,0.0,0.0,0.0,0.0,36590000.0,25814000.0,12762000.0,0.0,138000.0,86235000.0,0.0,1720000.0,0.0,11688000.0,5894000.0,5132000.0,5132000.0,1720000.0,152000.0,931000.0,172000.0,35403000.0,12762000.0,8595000.0,106000.0,894000.0,91000.0,0.0,384000.0,14855440.0,932000.0,36590000.0,4000.0,20000.0,2843000.0,83000.0,7846000.0,15749000.0,1772000.0,655000.0,0.0,138000.0,16663000.0,14877840.0,45185000.0,8595000.0,18489000.0,109468000.0,50317000.0,41050000.0,45357000.0,64111000.0,51282000.0,5395000.0,2995000.0,22400.0,39000.0,0.0,-530000.0
2023-06-30,3M,EUR,11813000.0,27180000.0,-36217000.0,,144000.0,,26070000.0,6130000.0,14878000.0,5615000.0,5615000.0,5615000.0,14878000.0,45273000.0,61000.0,58609000.0,380000.0,2434000.0,2814000.0,28157000.0,,,,1051000.0,38160000.0,,52312000.0,,68000.0,82049000.0,,1720000.0,,13865000.0,5750000.0,34342000.0,40092000.0,1720000.0,,4913000.0,256000.0,31161000.0,16095000.0,7113000.0,,733000.0,121000.0,1589000.0,,14855440.0,20000.0,37109000.0,349000.0,178000.0,4198000.0,7403000.0,6618000.0,18012000.0,1130000.0,,0.0,,17056000.0,14877840.0,45273000.0,7113000.0,18984000.0,115666000.0,79615000.0,42906000.0,45529000.0,70137000.0,57057000.0,41980000.0,2001000.0,22400.0,,,30452000.0
2023-12-31,3M,EUR,12544000.0,26484000.0,,,,,,,14878000.0,7658000.0,7658000.0,7658000.0,14878000.0,49471000.0,60000.0,63157000.0,,33340000.0,33340000.0,50524000.0,0.0,0.0,0.0,0.0,29281000.0,,11954000.0,0.0,156000.0,88666000.0,0.0,1785000.0,0.0,11093000.0,,5855000.0,5855000.0,1785000.0,251000.0,732000.0,139000.0,31537000.0,11954000.0,20190000.0,,,86000.0,0.0,,14855440.0,206000.0,29281000.0,4000.0,28000.0,,69000.0,6438000.0,14690000.0,1502000.0,476000.0,0.0,156000.0,20499000.0,14877840.0,49471000.0,20190000.0,21945000.0,106354000.0,55326000.0,39195000.0,49610000.0,56744000.0,43197000.0,6220000.0,2146000.0,22400.0,39000.0,0.0,12633000.0
