asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentDeferredTaxesAssets,CurrentDeferredTaxesLiabilities,CurrentLiabilities,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermProvisions,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,7109208.0,14883089.0,,,64216849.0,915042.0,620896.0,10693726.0,10743151.0,10692272.02,1453.0,620896.0,68722002.0,0.0,31521988.0,,727155.0,26021728.0,,14856762.0,14883089.0,2172249.0,0.0,68722002.0,64216849.0,307300.0,19342.0,44771.0,2172249.0,53865240.0,2343450.0,,383941.0,3794957.0,62089562.0,904747.0,-2601089.0,14856762.0,6720099.0,,13143380.0,905136.0,2351924.0,49425.0,20897575.0,840443.0,0.0,-17048407.0,62089562.0,68722002.0,53865240.0,3543824.0,119728225.0,68722002.0,68722002.0,51006223.0,88206238.0,24984495.0,644987.0,18442805.0,,5500260.0
2023-06-30,3M,EUR,5299476.0,16500496.0,-6648325.0,-276572.0,586095.0,5141478.0,639099.0,4208602.0,4225332.0,4207230.0,1372.0,639099.0,10303148.0,,26884423.0,1091940.0,1049506.0,26926865.0,3421599.0,20869672.0,16777068.0,8836344.0,0.0,10303148.0,586095.0,456980.0,109342.0,275937.0,2188019.0,-10566524.0,3345074.0,2893505.0,1399040.0,3897763.0,63909882.0,904747.0,,17448073.0,7099645.0,,13894463.0,2961949.0,1536645.0,16730.0,20398724.0,,0.0,-77651940.0,63909882.0,10303148.0,-10566524.0,3530010.0,60521359.0,10303148.0,10303148.0,50218211.0,33636936.0,23291346.0,1204785.0,14540127.0,0.0,-42442.0
2023-12-31,3M,EUR,7181158.0,21615329.0,,,46784801.0,590234.0,689246.0,994950.0,1062019.0,993398.0,1552.0,689246.0,50123173.0,0.0,26463478.0,604578.0,826734.0,28124626.0,,14766624.0,21615329.0,1670812.0,0.0,50123173.0,46784801.0,296213.0,19341.0,33241.0,1670812.0,35356549.0,2909321.0,,379002.0,4065062.0,68924558.0,578180.0,-19632432.0,14766624.0,6319566.0,450152.0,16188113.0,751124.0,1871903.0,67069.0,24158535.0,,0.0,-23262877.0,68924558.0,50123173.0,35356549.0,1309649.0,96244111.0,50123173.0,50123173.0,46120938.0,69780633.0,17996312.0,789264.0,10173434.0,,-1661148.0
