symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,CommonStockPayments,DeferredTax,Depreciation,DepreciationAndAmortization,DividendReceivedCFO,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InterestPaidCFF,InterestPaidCFO,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,RepurchaseOfCapitalStock,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,TaxesRefundPaid
EXAI.MI,2019-12-31,12M,EUR,,,-47210.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,-2252850.0,,-557549.0,,,13417793.0,13417793.0,-9382062.0,,,,,,4011309.0,4035731.0,,,-188675.0,-24422.0,,1.0,,642178.0,,-106826.0,-188675.0,-9382062.0,0.0,0.0,7495613.0,0.0,
EXAI.MI,2020-12-31,12M,EUR,21647441.0,-7482079.0,-1411490.0,32330950.0,47908.0,-88750.0,163533.0,-761535.0,2030839.0,1391995.0,32330950.0,,31005493.0,,-841785.0,7023930.0,7023930.0,,53978391.0,43300323.0,-11659962.0,-5248454.0,,-455891.0,-6791490.0,31005493.0,10368493.0,10368493.0,-1693901.0,31005493.0,-7661696.0,-7661696.0,-6941411.0,675089.0,8358822.0,8358822.0,3936008.0,,-525168.0,-12524.0,-4177883.0,,-3103530.0,604332.0,-6941411.0,-3572.0,-540668.0,-1693901.0,,,5889234.0,15500.0,-1337101.0
EXAI.MI,2021-12-31,12M,EUR,50741045.0,-8958810.0,,-23996382.0,0.0,63185.0,-89305.0,2396981.0,9068258.0,11439119.0,-23996381.0,,2658643.0,,479440.0,5473312.0,5473312.0,,26744664.0,-346184.0,5312256.0,,,,-37921263.0,2658643.0,,,,2658643.0,-2938453.0,-2938453.0,-8012288.0,-29248960.0,-3975655.0,-3975655.0,970828.0,,-660015.0,,14271066.0,,-673161.0,,-8263507.0,,-695303.0,,,251219.0,,35288.0,-309799.0
EXAI.MI,2022-12-31,12M,EUR,26744664.0,-9249481.0,,-16050941.0,0.0,-560868.0,2158078.0,2518897.0,932037.0,4674298.0,-16050938.0,,5916281.0,,-285282.0,6708742.0,6708742.0,,10693726.0,6342329.0,-8399184.0,,-8030613.0,,-23243564.0,5916281.0,,,,5916281.0,-17048407.0,-17048407.0,-9249481.0,-13994083.0,-1299899.0,-1299899.0,426048.0,,-22749.0,,850297.0,,8030613.0,,-9249481.0,-14015846.0,-44512.0,,,0.0,21763.0,21763.0,-1229669.0
EXAI.MI,2023-12-31,12M,EUR,10693726.0,-7120279.0,,-9698777.0,0.0,283214.0,-831495.0,92849.0,-6538924.0,-6724252.0,-9698775.0,,4051034.0,,-54541.0,7359282.0,7359282.0,,994950.0,-834675.0,-8166709.0,,,,-7817670.0,4051034.0,,,,4051034.0,-23262877.0,-23262877.0,-7120279.0,-697390.0,,,-4885709.0,-1.0,,,-1046430.0,-1.0,19807542.0,,-7120279.0,-1049963.0,,,,0.0,352573.0,,1828416.0
EXAI.MI,2023-12-31,TTM,EUR,10693726.0,-7120279.0,,-9698777.0,0.0,283214.0,-831495.0,92849.0,-6538924.0,-6724252.0,-9698775.0,,4051034.0,,-54541.0,7359282.0,7359282.0,,994950.0,-834675.0,-8166709.0,,,,-7817670.0,4051034.0,,,,4051034.0,-23262877.0,-23262877.0,-7120279.0,-697390.0,,,-4885709.0,-1.0,,,-1046430.0,-1.0,19807542.0,,-7120279.0,-1049963.0,,,,0.0,352573.0,,1828416.0
