symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,ChangeInCashSupplementalAsReported,ChangesInCash,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,InvestingCashFlow,NetIncome,OperatingCashFlow
ETH.MI,2023-03-31,3M,EUR,18110000.0,-2057000.0,-1648000.0,-409000.0,16053000.0,-201000.0,-363000.0,-1084000.0,143000.0,-363000.0
ETH.MI,2023-06-30,3M,EUR,16053000.0,-4283000.0,-3985000.0,-298000.0,11770000.0,-2945000.0,-2250000.0,-682000.0,-1082000.0,-358000.0
ETH.MI,2023-09-30,3M,EUR,11770000.0,646000.0,-725000.0,1371000.0,12416000.0,-318000.0,4076000.0,-2591000.0,-292000.0,2184000.0
ETH.MI,2023-12-31,3M,EUR,12416000.0,-988000.0,2968000.0,-3956000.0,11428000.0,1278000.0,-2706000.0,1245000.0,-1887000.0,445000.0
ETH.MI,2024-03-31,3M,EUR,11428000.0,-2104000.0,-1792000.0,-312000.0,9324000.0,-3702000.0,2957000.0,-1047000.0,-4202000.0,2957000.0
ETH.MI,2024-03-31,TTM,EUR,16053000.0,-6729000.0,-3534000.0,-3195000.0,12519000.0,-5687000.0,2077000.0,-3075000.0,-7463000.0,5228000.0
