asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinSubsidiariesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,352104000.0,248147000.0,-1424096000.0,5044000.0,-28896000.0,36082000.0,1375080000.0,882700000.0,420000000.0,219676000.0,477849000.0,420000000.0,743359000.0,105746000.0,1040225000.0,67639000.0,77064000.0,144703000.0,767570000.0,51627000.0,72215000.0,38252000.0,492080000.0,591775000.0,277043000.0,2909807000.0,67202000.0,134952000.0,1363363000.0,2554000.0,72215000.0,1871000.0,631000.0,37163000.0,815061000.0,542940000.0,1358001000.0,2502000.0,10812000.0,799681000.0,260818000.0,400328000.0,1485711000.0,151584000.0,73423000.0,48326000.0,51581000.0,1082726514.0,84530000.0,3730000.0,99695000.0,66694000.0,592137000.0,38847000.0,258173000.0,445830000.0,28270000.0,295000.0,0.0,77722000.0,16804000.0,1107207314.0,743359000.0,151584000.0,36851000.0,3306067000.0,1286299000.0,1502704000.0,1004177000.0,2301890000.0,2265842000.0,1534320000.0,27032000.0,65600000.0,24480800.0,18978000.0,272655000.0
2023-06-30,3M,EUR,398832000.0,306582000.0,-1486653000.0,5044000.0,,17676000.0,1410675000.0,890503000.0,420000000.0,233033000.0,463530000.0,420000000.0,747318000.0,79331000.0,1085703000.0,70891000.0,71523000.0,142414000.0,820597000.0,48548000.0,125320000.0,47716000.0,493925000.0,587529000.0,,2944737000.0,61060000.0,145702000.0,1363193000.0,2495000.0,125320000.0,1872000.0,631000.0,35410000.0,819612000.0,544352000.0,1363964000.0,2503000.0,11905000.0,813455000.0,268686000.0,382842000.0,1458084000.0,159789000.0,71885000.0,46342000.0,51169000.0,1063621864.0,78599000.0,3834000.0,93604000.0,80397000.0,605866000.0,52664000.0,230497000.0,511649000.0,28887000.0,474000.0,0.0,76771000.0,20454000.0,1107207314.0,747318000.0,159789000.0,38015000.0,3371893000.0,1291670000.0,1506378000.0,1016004000.0,2355889000.0,2286190000.0,1535292000.0,32420000.0,61912000.0,43585450.0,21215000.0,265106000.0
