symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinSubsidiariesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital
CIR.MI,2019-12-31,12M,EUR,396391000.0,260813000.0,-1187054000.0,5044000.0,-32829000.0,722587000.0,69729000.0,1210093000.0,859045000.0,345998000.0,309336000.0,569265000.0,345998000.0,432431000.0,136231000.0,1796645000.0,72065000.0,111295000.0,183360000.0,1313774000.0,58051000.0,67866000.0,46276000.0,518859000.0,670368000.0,293642000.0,2754230000.0,49878000.0,119815000.0,1324744000.0,16481000.0,67866000.0,1863000.0,851000.0,46434000.0,786980000.0,781018000.0,1567998000.0,2714000.0,28787000.0,812868000.0,684540000.0,582977000.0,1567176000.0,-237937000.0,65498000.0,56852000.0,85906000.0,691995019.0,,,151509000.0,,120109000.0,548604000.0,37696000.0,259929000.0,545837000.0,29883000.0,170000.0,0.0,58624000.0,43078000.0,719209918.0,432431000.0,-237937000.0,36421000.0,4232730000.0,1213449000.0,1751358000.0,1116971000.0,3115759000.0,2436085000.0,1801985000.0,29337000.0,60112000.0,27214899.0,14915000.0,482871000.0
CIR.MI,2020-12-31,12M,EUR,341218000.0,196928000.0,-1187902000.0,5044000.0,-40168000.0,6548000.0,,1246004000.0,834851000.0,638604000.0,424546000.0,714704000.0,638604000.0,770977000.0,126318000.0,1157358000.0,71126000.0,185181000.0,256307000.0,847761000.0,72465000.0,75846000.0,35211000.0,491990000.0,625128000.0,237096000.0,2664237000.0,60468000.0,107066000.0,1612858000.0,15770000.0,75846000.0,1872000.0,596000.0,42406000.0,763725000.0,656700000.0,1420425000.0,2468000.0,12707000.0,721620000.0,216843000.0,417335000.0,1476335000.0,145849000.0,69742000.0,56699000.0,93812000.0,1250249921.0,62354000.0,1481000.0,133138000.0,-10723000.0,56623000.0,527889000.0,40059000.0,290158000.0,424605000.0,26778000.0,0.0,0.0,58038000.0,54627000.0,1277207314.0,770977000.0,145849000.0,31585000.0,3467931000.0,1427677000.0,1676732000.0,987820000.0,2480111000.0,2310573000.0,1632350000.0,26764000.0,59430000.0,26957393.0,13817000.0,309597000.0
CIR.MI,2021-12-31,12M,EUR,320345000.0,215793000.0,-1321131000.0,5044000.0,-37739000.0,,,1302573000.0,861080000.0,638604000.0,306489000.0,559103000.0,638604000.0,740389000.0,110165000.0,1030359000.0,67849000.0,98778000.0,166627000.0,738802000.0,56482000.0,77759000.0,35503000.0,492951000.0,607405000.0,253532000.0,2799456000.0,72391000.0,117401000.0,1446120000.0,14231000.0,77759000.0,1871000.0,622000.0,38864000.0,793231000.0,606953000.0,1400184000.0,2493000.0,14994000.0,764621000.0,242335000.0,399242000.0,1478325000.0,132984000.0,73701000.0,51894000.0,73745000.0,1097750822.0,69785000.0,2711000.0,114454000.0,,66035000.0,583233000.0,31739000.0,252614000.0,417368000.0,28540000.0,406000.0,0.0,65930000.0,25185000.0,1277207314.0,740389000.0,132984000.0,33526000.0,3328792000.0,1347342000.0,1566811000.0,982724000.0,2346068000.0,2298433000.0,1607266000.0,30988000.0,66449000.0,179456492.0,15968000.0,291557000.0
CIR.MI,2022-12-31,12M,EUR,352104000.0,248147000.0,-1424096000.0,5044000.0,-28896000.0,36082000.0,,1375080000.0,882700000.0,420000000.0,219676000.0,477849000.0,420000000.0,743359000.0,105746000.0,1040225000.0,67639000.0,77064000.0,144703000.0,767570000.0,51627000.0,72215000.0,38252000.0,492080000.0,591775000.0,277043000.0,2909807000.0,67202000.0,134952000.0,1363363000.0,2554000.0,72215000.0,1871000.0,631000.0,37163000.0,815061000.0,542940000.0,1358001000.0,2502000.0,10812000.0,799681000.0,260818000.0,400328000.0,1485711000.0,151584000.0,73423000.0,48326000.0,51581000.0,1082726514.0,84530000.0,3730000.0,99695000.0,,66694000.0,592137000.0,38847000.0,258173000.0,445830000.0,28270000.0,295000.0,0.0,77722000.0,16804000.0,1107207314.0,743359000.0,151584000.0,36851000.0,3306067000.0,1286299000.0,1502704000.0,1004177000.0,2301890000.0,2265842000.0,1534320000.0,27032000.0,65600000.0,24480800.0,18978000.0,272655000.0
