asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,FinancialAssets,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,51378000.0,70529000.0,,209562000.0,-5149000.0,0.0,6020000.0,17471000.0,15843000.0,13890000.0,177054000.0,180917000.0,177054000.0,13890000.0,248511000.0,4398000.0,443766000.0,4812000.0,55164000.0,59976000.0,194867000.0,805000.0,87000.0,5560000.0,9938000.0,99883000.0,221268000.0,75678000.0,34485000.0,87000.0,11733000.0,495114000.0,6020000.0,2662000.0,11031000.0,191439000.0,202470000.0,111000.0,509000.0,3581000.0,39000.0,69549000.0,34485000.0,27243000.0,9140000.0,20134000.0,5837000.0,128000.0,28810524.0,1000.0,1000.0,121385000.0,415000.0,664000.0,29841000.0,6373000.0,171310000.0,3863000.0,91140000.0,2421000.0,2040000.0,0.0,1787000.0,28906881.0,248511000.0,27243000.0,7150000.0,722501000.0,439950000.0,262446000.0,248550000.0,473951000.0,278739000.0,279084000.0,9921000.0,663000.0,96357.0,8000.0,248899000.0
2023-06-30,3M,EUR,49848000.0,77494000.0,-44681000.0,209562000.0,-7182000.0,,5679000.0,33554000.0,14872000.0,13890000.0,132788000.0,135667000.0,132789000.0,13890000.0,235276000.0,5494000.0,428069000.0,5218000.0,62107000.0,67325000.0,202720000.0,823000.0,87000.0,5722000.0,11734000.0,124947000.0,214772000.0,84676000.0,85385000.0,87000.0,13616000.0,495781000.0,5679000.0,6998000.0,9654000.0,198398000.0,208052000.0,308000.0,796000.0,19913000.0,-236000.0,127717000.0,40704000.0,20504000.0,11134000.0,9794000.0,6115000.0,131000.0,28810524.0,,,89825000.0,,633000.0,41151000.0,19426000.0,190069000.0,2879000.0,102755000.0,2476000.0,2390000.0,0.0,1876000.0,28906881.0,235276000.0,20504000.0,8746000.0,708213000.0,433674000.0,275377000.0,235040000.0,473173000.0,280144000.0,270453000.0,11756000.0,,96357.0,6000.0,225349000.0
2023-12-31,3M,EUR,70095000.0,87901000.0,,209562000.0,-9571000.0,7587000.0,8004000.0,20140000.0,20588000.0,13890000.0,40785000.0,43759000.0,40784000.0,13890000.0,232593000.0,7896000.0,403123000.0,6746000.0,82952000.0,89698000.0,292719000.0,1421000.0,465000.0,2374000.0,11759000.0,232558000.0,370703000.0,97472000.0,48396000.0,278000.0,13873000.0,548161000.0,8004000.0,7027000.0,13842000.0,232616000.0,246458000.0,453000.0,2106000.0,5363000.0,-1243000.0,274783000.0,48396000.0,-138110000.0,11885000.0,14929000.0,9740000.0,553000.0,28810524.0,,,138145000.0,,7224000.0,43405000.0,7970000.0,230112000.0,2974000.0,138668000.0,2596000.0,2593000.0,0.0,2109000.0,28906881.0,232593000.0,-138110000.0,17020000.0,855129000.0,465209000.0,336156000.0,231350000.0,623779000.0,452005000.0,331060000.0,25168000.0,,96357.0,5000.0,110404000.0
