asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnInvestmentSecurities,GeneralAndAdministrativeExpense,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,HedgingAssetsCurrent,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFF,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,IssuanceOfCapitalStock,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtPayments,LongTermEquityInvestment,MachineryFurnitureEquipment,MarketCap,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfInvestment,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,,,,49999000.0,0.01372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49999000.0,0.01372,,,,,,,,,,,,,,,,,0.0,,,,,-127000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135000.0,,,,,,,,,,,,1000.0,,151000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054000.0,,,,,,,
2020-12-31,12M,EUR,1377000.0,2766000.0,,,,,49999000.0,0.026761,,-454000.0,,782000.0,782000.0,,,-775000.0,,-3411000.0,,,-3411000.0,-774000.0,,2553000.0,,,,17631000.0,8918000.0,2497000.0,2497000.0,,,5165000.0,,253000.0,253000.0,253000.0,253000.0,49999000.0,0.026761,1338000.0,,1893000.0,2146000.0,,,1383000.0,,-2157000.0,,,668000.0,,,2664000.0,,0.0,,,,,-116000.0,,4762000.0,4246000.0,-454000.0,27000.0,,,,1749000.0,1749000.0,,,,,0.0,3464000.0,1338000.0,1338000.0,1338000.0,1338000.0,1338000.0,1835000.0,1338000.0,,-116000.0,,1499000.0,1499000.0,-116000.0,,,21000.0,-454000.0,,1885000.0,166000.0,2146000.0,1338000.0,-1703000.0,771000.0,1893000.0,20295000.0,21557997.0,,,,1000.0,2000.0,-58000.0,58000.0,1291000.0,,608000.0,,0.0,2668000.0,,,1719000.0,,,,,-454000.0,17631000.0,253000.0,,,,,,88000.0,88000.0,21557997.0,0.0,2553000.0,1885000.0,0.0,381000.0,0.221,,-381000.0,9635000.0,4302000.0,4246000.0,2553000.0,18402000.0,7082000.0,717000.0,1917000.0,1835000.0,,20295000.0,,0.0,0.0,3753000.0,
2021-12-31,12M,EUR,1075343.0,9728798.0,-39082.0,0.0,-2401.0,269245.0,49999000.0,0.147335,782288.0,-201432.0,10000.0,1994615.0,1994615.0,1994571.0,44.0,2728827.0,-1900094.0,-37380.0,-187264.0,-6962811.0,-9087549.0,1212284.0,10000.0,9878264.0,,-41766.0,,40069726.0,20024229.0,3097083.0,3097083.0,62117.0,3547.0,8408224.0,149000.0,279388.0,279388.0,279388.0,10143.0,49999000.0,0.147335,7366620.0,3547.0,10102248.0,10381636.0,1994615.0,,560276.0,5257720.0,706593.0,12450.0,55413.0,548914.0,9731199.0,77728.0,11444400.0,14779.0,20000.0,143624.0,143624.0,117.0,117.0,-173000.0,-93813.0,5257720.0,15358929.0,-256017.0,58281.0,,,,2383582.0,2383582.0,-743044.0,,6689.0,,-41766.0,3486050.0,7366620.0,7366620.0,7366620.0,7366620.0,7366620.0,7366620.0,7366620.0,,-155957.0,-27356.0,-32349.0,-743044.0,-155957.0,634391.0,-27229.0,38646.0,-201432.0,710695.0,9329350.0,305000.0,10401715.0,7381472.891622,908025.0,1290383.0,10154017.0,51514126.0,21557997.0,43.0,548914.0,147032.0,,,-1981.0,136537.0,492909.0,71039.0,1101574.0,129662.0,0.0,4961250.0,152351.0,1404376.0,9958624.0,0.0,89000.0,,-27356.0,-201432.0,40069726.0,279388.0,-743044.0,-41766.0,,9846945.0,,378894.0,434307.0,21557997.0,-20079.0,9878264.0,9329350.0,-5226.108378,2592004.0,0.260277,460250.0,2178467.0,20670070.0,12261846.0,5480665.0,9878264.0,41360109.0,10791806.0,645841.0,2383582.0,10132000.0,12450.0,51514126.0,3392998.0,-20079.0,-20079.0,11616005.0,20079.0
2022-12-31,12M,EUR,15380467.0,23051623.0,-70270.0,27186250.0,-6170.0,563566.0,61375000.0,0.368353,1994615.0,-5930453.0,613750.0,15962953.0,15962953.0,15962755.0,198.0,27936676.0,-54698439.0,1334302.0,14305124.0,-13326594.0,-52385607.0,13968338.0,613750.0,59897383.0,27300000.0,,113900.0,92584482.0,100683912.0,18876947.0,18876947.0,48321.0,38748.0,41366934.0,95487.0,594754.0,594754.0,594754.0,31188.0,61375000.0,0.368353,22607650.0,,31456039.0,32050793.0,15962953.0,150767750.0,46599206.0,55625949.0,-32533184.0,,237473.0,4315087.0,23057793.0,1678442.0,33865697.0,161450.0,,467530.0,467530.0,96.0,96.0,,-586658.0,55625949.0,84273149.0,-6028137.0,155965.0,0.0,0.0,27300000.0,5498819.0,5498819.0,-552116.0,0.0,47229.0,147913750.0,27300000.0,8412813.0,22607650.0,22607650.0,22607650.0,22607650.0,22607650.0,22607650.0,22607650.0,-4329739.0,-490758.0,-97684.0,14449206.0,-552116.0,-490758.0,4850000.0,,1608172.0,-1600714.0,15001322.0,55582296.0,,32150694.0,22680532.72058,-26602731.0,1992348.0,31873349.0,126450179.0,61375000.0,44.0,4315087.0,609695.0,156000.0,,-198281.0,95014.0,681809.0,320716.0,32224.0,334183.0,0.0,22083964.0,130840.0,5711549.0,30988509.0,1196597.0,96132.0,-4329739.0,-97684.0,-1600714.0,92584482.0,594754.0,-552116.0,,96132.0,31964595.0,,1669128.0,1906601.0,61375000.0,-99901.0,59897383.0,55582296.0,-27018.27942,8380859.0,0.270451,89843.0,2628690.0,106763136.0,65396202.0,24375766.0,59897383.0,94576830.0,46865753.0,6079224.0,5498819.0,,23324.0,126450179.0,6021688.0,-99901.0,-99901.0,59316978.0,3769.0
2023-12-31,12M,EUR,9778969.0,4645117.0,-153202.0,27186250.0,-4900.0,1141371.0,,,15962953.0,-7367303.0,614919.0,18834327.0,18834327.0,18833709.0,618.0,5742748.0,4433807.0,-1933141.0,-5601498.0,18406506.0,15305674.0,2871374.0,614919.0,65455678.0,1169.0,,5324293.0,50897972.0,87367373.0,14164987.0,14164987.0,156952.0,22305.0,25568744.0,,1224579.0,1224579.0,1224579.0,83208.0,,,5609200.0,,8900205.0,10124784.0,18834327.0,121801810.0,-5480406.0,56324000.0,9376027.0,,,4772425.0,4650017.0,7446759.0,12430599.0,92938.0,,1382070.0,1382070.0,20285.0,20285.0,,-1414396.0,56324000.0,89209810.0,-8391550.0,272778.0,860631.0,46803.0,1169.0,9589145.0,9589145.0,-4377528.0,907434.0,87861.0,117142119.0,1169.0,4919805.0,5609200.0,5609200.0,5609200.0,5609200.0,5609200.0,5609200.0,5609200.0,-1598710.0,-1415470.0,-1024247.0,-13281575.0,-4377528.0,-1415470.0,7800000.0,,7293557.0,-5768593.0,-8904047.0,60683253.0,,10441871.0,5845775.214518,16743330.0,2700761.0,9729838.0,63328571.0,61491926.0,,4772425.0,1907946.0,,,-520047.0,,590406.0,403008.0,5431973.0,200500.0,0.0,10531454.0,196263.0,86141.0,7518135.0,1631597.0,116587.0,-1598710.0,-1026947.0,-5768593.0,50897972.0,1224579.0,-4377528.0,,116587.0,37455919.0,2700.0,315385.0,315385.0,61491926.0,-317087.0,65455678.0,60683253.0,-80511.785482,1908935.0,0.253911,1795925.0,-5859609.0,100613567.0,75044823.0,23754132.0,65455678.0,53598733.0,35157889.0,13246194.0,9589145.0,,53685.0,63328571.0,162079.0,-317087.0,-317087.0,61798629.0,0.0
