asOfDate,periodType,currencyCode,AccountsPayable,BasicAverageShares,BasicEPS,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,IssuanceOfDebt,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,MinorityInterests,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherunderPreferredStockDividend,Payables,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalRevenue,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
2022-12-31,12M,EUR,2283000.0,2965873.0,0.349981,-1974000.0,,2496000.0,2496000.0,-180000.0,2496000.0,-10000.0,-442000.0,-281000.0,-1565000.0,-19000.0,782000.0,-1092000.0,-442000.0,,-180000.0,34019000.0,443000.0,1251000.0,7496000.0,,,5463000.0,412000.0,2665000.0,2665000.0,2665000.0,2665000.0,2965873.0,0.349981,1038000.0,1615000.0,4280000.0,-1114000.0,672000.0,43000.0,156000.0,4033000.0,36712000.0,11315000.0,165000.0,165000.0,3000.0,3000.0,-113000.0,1328000.0,43253000.0,-1974000.0,1101000.0,1500000.0,9234000.0,9234000.0,1500000.0,-2190000.0,296000.0,32671000.0,0.0,0.0,6738000.0,1038000.0,1038000.0,1038000.0,1038000.0,1038000.0,1038000.0,1038000.0,-257000.0,-162000.0,-933000.0,-690000.0,-162000.0,-1000.0,36713000.0,-1717000.0,-243000.0,29986000.0,,329000.0,4280000.0,1038000.0,2646000.0,9901000.0,1414000.0,12566000.0,2965873.0,3877000.0,162000.0,-1000.0,1000.0,198000.0,4758000.0,3022000.0,188000.0,3594000.0,0.0,5376000.0,1450000.0,3410000.0,40000.0,-257000.0,-1717000.0,1251000.0,2665000.0,163000.0,163000.0,-2190000.0,,2965873.0,34019000.0,29986000.0,0.0,412000.0,0.284138,78000.0,-505000.0,49342000.0,43253000.0,9234000.0,34019000.0,11152000.0,15323000.0,41846000.0,9860000.0,12566000.0,71000.0,,2033000.0
2023-12-31,12M,EUR,4388000.0,,,-5366000.0,6861000.0,3819000.0,3819000.0,,3819000.0,34000.0,1318000.0,-757000.0,2878000.0,1481000.0,-2964000.0,672000.0,1318000.0,6861000.0,0.0,66751000.0,,435000.0,12639000.0,5098000.0,5098000.0,15284000.0,821000.0,3184000.0,3184000.0,5084000.0,5084000.0,,,3373000.0,5232000.0,10316000.0,274000.0,1044000.0,,,20489000.0,,25297000.0,475000.0,475000.0,201000.0,201000.0,-243000.0,2085000.0,77593000.0,-5366000.0,312000.0,2500000.0,5744000.0,5744000.0,2500000.0,-2248000.0,4302000.0,,462000.0,-35000.0,7023000.0,3373000.0,3373000.0,3408000.0,3373000.0,3373000.0,1813000.0,3408000.0,-1529000.0,-274000.0,275000.0,252000.0,-274000.0,-1000.0,62910000.0,-3837000.0,23000.0,46262000.0,57000.0,919000.0,10316000.0,3373000.0,6410000.0,20866000.0,4431000.0,25732000.0,2965873.0,,212000.0,-1000.0,,598000.0,10128000.0,5048000.0,,6719000.0,0.0,10117000.0,4757000.0,,83000.0,-1529000.0,-3837000.0,435000.0,3184000.0,555000.0,555000.0,-2248000.0,1779000.0,2965873.0,66751000.0,46262000.0,0.0,1349000.0,0.283582,16000.0,-82000.0,96349000.0,72495000.0,10842000.0,67213000.0,21301000.0,29136000.0,83710000.0,13852000.0,25732000.0,681000.0,2830000.0,-2645000.0
