symbol,asOfDate,periodType,currencyCode,NetIncome
RCS.MI,2023-03-31,3M,EUR,-1800000.0
RCS.MI,2023-06-30,3M,EUR,32100000.0
RCS.MI,2023-09-30,3M,EUR,-2500000.0
RCS.MI,2023-12-31,3M,EUR,29200000.0
RCS.MI,2024-03-31,3M,EUR,-1600000.0
RCS.MI,2024-03-31,TTM,EUR,57200000.0
