Nome,Codice ISIN,symbols
INTERCOS,IT0005455875,ICOS.MI
INTERMONTE PARTNERS SIM,IT0005460016,INT.MI
INTERNATIONAL CARE COMPANY,IT0005469371,ICC.MI
INTERPUMP GROUP,IT0001078911,IP.MI
INTESA SANPAOLO,IT0000072618,ISP.MI
INTRED,IT0005337818,ITD.MI
INWIT,IT0005090300,INW.MI
IRCE,IT0001077780,IRC.MI
IREN,IT0003027817,IRE.MI
ISCC FINTECH,IT0005474108,ISC.MI
IT WAY,IT0003057624,ITW.MI
ITALGAS,IT0005211237,IG.MI
ITALIAN EXHIBITION GROUP,IT0003411417,IEG.MI
ITALIAN WINE BRANDS,IT0005075764,IWB.MI
ITALMOBILIARE,IT0005253205,ITM.MI
IVISION TECH,IT0005554784,IVN.MI
JUVENTUS FC,IT0005572778,JUVE.MI
KME GROUP,IT0004552359,KME.MI
KME GROUP RSP,IT0004552367,KMER.MI
KOLINPHARMA,IT0005322950,KIP.MI
KRUSO KAPITAL,IT0005573800,KK.MI
LA SIA,IT0005555468,LASIA.MI
LABORATORIO FARMACEUTICO ERFO,IT0005497885,ERFO.MI
LANDI RENZO,IT0004210289,LNDR.MI
LEMON SISTEMI,IT0005573438,LS.MI
LEONARDO,IT0003856405,LDO.MI
LEONE FILM GROUP,IT0004973696,LFG.MI
LINDBERGH,IT0005469272,LDB.MI
LITIX,IT0005600801,LTX.MI
LONGINO CARDENAL,IT0005337073,LON.MI
LOTTOMATICA GROUP,IT0005541336,LTMC.MI
LUCISANO MEDIA GROUP,IT0004522162,LMG.MI
LUVE,IT0005107492,LUVE.MI
MAGIS,IT0005525347,MGS.MI
MAIRE,IT0004931058,MAIRE.MI
MAPS,IT0005364333,MAPS.MI
MARE ENGINEERING GROUP,IT0005588626,MARE.MI
MARR,IT0003428445,MARR.MI
MARZOCCHI POMPE,IT0004376858,MARP.MI
MASI AGRICOLA,IT0004125677,MASI.MI
MATICA FINTEC,IT0005388449,MFT.MI
MEDICA,IT0005460149,MDC.MI
MEDIOBANCA,IT0000062957,MB.MI
MEGLIOQUESTO,IT0005450173,MQSPA.MI
MET.EXTRA GROUP,IT0005481855,MET.MI
MEVIM,IT0005586950,MEV.MI
MIT SIM,IT0005427510,MTS.MI
MITTEL,IT0001447348,MIT.MI
MOLTIPLY GROUP,IT0004195308,MOL.MI
MONCLER,IT0004965148,MONC.MI
MONDADORI EDIT,IT0001469383,MN.MI
MONDO TV,IT0001447785,MTV.MI
MONNALISA,IT0005338139,MNL.MI
MONRIF,IT0000066016,MON.MI
NEODECORTECH,IT0005275778,NDT.MI
NEOSPERIENCE,IT0005497018,NSP.MI
NETWEEK,IT0005545675,NTW.MI
NEWLAT FOOD,IT0005385213,NWL.MI
NEXI,IT0005366767,NEXI.MI
NEXT GEOSOLUTIONS EUROPE,IT0005594418,NXT.MI
NEXT RE,IT0005330516,NR.MI
NOTORIOUS PICTURES,IT0005025355,NPI.MI
NUSCO,IT0005453110,NUS.MI
NVP,IT0005390783,NVP.MI
OFFICINA STELLARE,IT0005374035,OS.MI
OLIDATA,IT0001350625,OLI.MI
OMER,IT0005453748,OMER.MI
ORSERO,IT0005138703,ORS.MI
OSAI AUTOMATION SYSTEM,IT0005424830,OSA.MI
OVS,IT0005043507,OVS.MI
PALINGEO,IT0005575730,PAL.MI
PASQUARELLI AUTO,IT0005546319,PSQ.MI
PATTERN,IT0005378143,PTR.MI
PHARMANUTRA,IT0005274094,PHN.MI
PHILOGEN,IT0005373789,PHIL.MI
PIAGGIO,IT0003073266,PIA.MI
PININFARINA SPA,IT0003056386,PINF.MI
PIOVAN,IT0005337958,PVN.MI
PIQUADRO,IT0004240443,PQ.MI
PIRELLI C,IT0005278236,PIRC.MI
PLANETEL,IT0005430951,PLN.MI
PLC,IT0005339160,PLC.MI
POLIGRAFICI PRINTING,IT0004587470,POPR.MI
PORTO AVIATION GROUP,IT0005545238,PAG.MI
PORTOBELLO,IT0005337495,POR.MI
POSTE ITALIANE,IT0003796171,PST.MI
POWERSOFT,IT0005353815,PWS.MI
POZZI MILANO,IT0005499949,POZ.MI
PREMIA FINANCE,IT0005442154,PFI.MI
PRISMI,IT0004822695,PRM.MI
PROMOTICA,IT0005425365,PMT.MI
PRYSMIAN,IT0004176001,PRY.MI
RACING FORCE,IT0005466963,RFG.MI
RADICI,IT0005379737,RAD.MI
RAI WAY,IT0005054967,RWAY.MI
RATTI,IT0004724107,RAT.MI
RCS MEDIAGROUP,IT0004931496,RCS.MI
RECORDATI ORD,IT0003828271,REC.MI
REDELFI,IT0005496101,RDF.MI
REDFISH LONGTERM CAPITAL,IT0005549354,RFLTC.MI
RELATECH,IT0005433740,RLT.MI
RENOVALO,IT0005500571,RNV.MI
REPLY,IT0005282865,REY.MI
RES,IT0005543613,RES.MI
RETI,IT0005418204,RETI.MI
REVO INSURANCE,IT0005513202,REVO.MI
REWAY GROUP,IT0005528069,RWY.MI
RISANAMENTO,IT0001402269,RN.MI
ROCKET SHARING COMPANY,IT0005481830,RKT.MI
ROSETTI MARINO,IT0001017851,YRM.MI
S.I.F. ITALIA,IT0005468290,SIF.MI
S.S. LAZIO,IT0003621783,SSL.MI
SABAF,IT0001042610,SAB.MI
SACCHERIA F.LLI FRANCESCHETTI,IT0005521551,SAC.MI
SAES GETTERS,IT0001029492,SG.MI
SAFILO GROUP,IT0004604762,SFL.MI
SAIPEM,IT0005495657,SPM.MI
SAIPEM RISP CV,IT0005495673,SPMR.MI
SALCEF GROUP,IT0005388266,SCF.MI
SALVATORE FERRAGAMO,IT0004712375,SFER.MI
SANLORENZO,IT0003549422,SL.MI
SARAS,IT0000433307,SRS.MI
SBE-VARVIT,IT0005568461,VARV.MI
SCIUKER FRAMES,IT0005340051,SCK.MI
SECO,IT0005438046,IOT.MI
SERI INDUSTRIAL,IT0005283640,SERI.MI
SERVIZI ITALIA,IT0003814537,SRI.MI
SESA,IT0004729759,SES.MI
SG COMPANY,IT0005337172,SGC.MI
SHEDIR PHARMA GROUP,IT0005379620,SHE.MI
SIAV,IT0005504128,SIAV.MI
SICILY BY CAR,IT0005556581,SBC.MI
SIMONE,IT0005573123,SMN.MI
SIT,IT0005262149,SIT.MI
SNAM,IT0003153415,SRG.MI
SOCIETA' EDITORIALE IL FATTO,IT0005353484,SEIF.MI
SOFTLAB,IT0001469953,SFT.MI
SOGEFI,IT0000076536,SGF.MI
SOGES GROUP,IT0005597411,SOGES.MI
SOL,IT0001206769,SOL.MI
SOLID WORLD GROUP,IT0005497893,S3D.MI
SOLUTIONS CAPITAL MANAGEMENT SIM,IT0005200248,SCM.MI
SOMEC,IT0005329815,SOM.MI
SOSTRAVEL.COM,IT0005338675,SOS.MI
SPINDOX,IT0005449522,SPN.MI
STAR7,IT0005466195,STAR7.MI
SVAS BIOSANA,IT0005469264,SVS.MI
SYS-DAT,IT0005595423,SYS.MI
TAKE OFF,IT0005467425,TKF.MI
TALEA GROUP,IT0005378333,TALEA.MI
TAMBURI,IT0003153621,TIP.MI
TECHNOGYM,IT0005162406,TGYM.MI
TECHNOPROBE,IT0005482333,TPRO.MI
TECMA SOLUTIONS,IT0005425050,TCM.MI
TELECOM ITALIA,IT0003497168,TIT.MI
TELECOM ITALIA R,IT0003497176,TITR.MI
TELESIA,IT0005240046,TLS.MI
TENAX INTERNATIONAL,IT0005428898,TNX.MI
TERNA,IT0003242622,TRN.MI
TESMEC,IT0004585243,TES.MI
TESSELLIS,IT0005496473,TSL.MI
THE ITALIAN SEA GROUP,IT0005439085,TISG.MI
TINEXTA,IT0005037210,TNXT.MI
TMP GROUP,IT0005531238,TMP.MI
TOSCANA AEROPORTI,IT0000214293,TYA.MI
TPS,IT0005246142,TPS.MI
TRAWELL CO,IT0005378325,TWL.MI
TRENDEVICE,IT0005422792,TD.MI
TREVI FIN IND,IT0005422768,TFIN.MI
TRIBOO,IT0005001554,TB.MI
TWEPPY,IT0005437113,TWEP.MI
TXT E-SOLUTIONS,IT0001454435,TXT.MI
UCAPITAL24,IT0005380461,U24.MI
ULISSE BIOMED,IT0005451213,UBM.MI
UNICREDIT,IT0005239360,UCG.MI
UNIDATA,IT0005573065,UD.MI
UNIEURO,IT0005239881,UNIR.MI
UNIPOL,IT0004810054,UNI.MI
UNIPOLSAI,IT0004827447,US.MI
VALICA,IT0005562514,VLC.MI
VALSOIA,IT0001018362,VLS.MI
VALTECNE,IT0005532525,VLT.MI
VANTEA SMART,IT0005433765,VNT.MI
VIANINI,IT0003127898,VIA.MI
VIMI FASTENERS,IT0004717200,VIM.MI
VISIBILIA EDITORE,IT0005433732,VE.MI
VNE,IT0005556110,VNE.MI
WEBSOLUTE,IT0005384901,WBS.MI
WEBUILD,IT0003865570,WBD.MI
WEBUILD RSP,IT0003865588,WBDR.MI
WIIT,IT0005440893,WIIT.MI
XENIA HOTELLERIE SOLUTION,IT0005568487,XHS.MI
YAKKYO,IT0005573966,YKY.MI
YOLO GROUP,IT0005495871,YOLO.MI
ZEST,IT0005013013,ZEST.MI
ZIGNAGO VETRO,IT0004171440,ZV.MI
ZUCCHI,IT0005395071,ZUC.MI
