symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InvestingCashFlow,IssuanceOfCapitalStock,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PensionAndEmployeeBenefitExpense,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE,RepaymentOfDebt
EDAC.MI,2019-12-31,TTM,EUR,,,,240671.0,,,,,,,,728109.0,944012.0,1676452.0,,,,,-87232.0,,728109.0,,,728109.0,,,,,,-1.0,,,-364095.0,,,,,,
EDAC.MI,2023-12-31,TTM,EUR,26865000.0,-3268000.0,-10689000.0,,-15034000.0,-377000.0,10526000.0,-27462000.0,-17313000.0,-15034000.0,-10689000.0,0.0,4802000.0,7679000.0,7679000.0,11831000.0,11164000.0,-21400000.0,,-8066000.0,0.0,-6505000.0,-4798000.0,0.0,6284000.0,6091000.0,-504000.0,-6505000.0,-6505000.0,32367000.0,-2764000.0,-18132000.0,,-20709000.0,1318000.0,-4798000.0,-504000.0,-2764000.0,-6505000.0
