asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DerivativeProductLiabilities,GoodwillAndOtherIntangibleAssets,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,Payables,PrepaidAssets,Properties,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
2022-12-31,3M,EUR,253019.0,1819243.0,11167.0,83154.0,250000.0,122258.0,122258.0,,250000.0,924297.0,55519.0,2457739.0,39239.0,443677.0,482916.0,1577603.0,0.0,85134.0,776891.0,0.0,0.0,2027452.0,122849.0,488893.0,43915.0,659478.0,703393.0,80387.0,980897.0,776891.0,839163.0,330.0,6956.0,303510.0,44550.0,4092000.0,1.0,1900.0,85134.0,-1000.0,1.0,448461.0,140925.0,167552.0,1023151.0,3292.0,0.0,488129.0,4092000.0,924297.0,839163.0,345393.0,3515760.0,1583775.0,1186309.0,924297.0,2591463.0,1058022.0,1013860.0,321671.0,880136.0
2023-06-30,3M,EUR,435000.0,1347000.0,,,250000.0,526000.0,526000.0,,250000.0,543000.0,,3200000.0,,,,2104000.0,,410000.0,,,0.0,1331000.0,0.0,,,788000.0,788000.0,,262000.0,142000.0,133000.0,,,318000.0,,4092000.0,,1000.0,410000.0,,-1000.0,805000.0,,520000.0,1549000.0,408000.0,,224000.0,4092000.0,543000.0,133000.0,399000.0,3752000.0,1331000.0,788000.0,543000.0,3209000.0,552000.0,1105000.0,309000.0,1096000.0
2023-12-31,3M,EUR,402423.0,1941278.0,1030442.0,1588274.0,454665.0,1932186.0,1932186.0,1932185.0,454665.0,2824019.0,0.0,4981385.0,293027.0,353619.0,646646.0,2625932.0,0.0,927246.0,1863564.0,0.0,,3892752.0,0.0,0.0,1295247.0,715114.0,2010361.0,763672.0,,1863564.0,1896773.0,6145.0,1278.0,365560.0,48810.0,4092000.0,,9713.0,927246.0,,-2.0,663676.0,69450.0,611861.0,1153841.0,20542.0,0.0,654071.0,4092000.0,2824019.0,1896773.0,475518.0,7827148.0,3539133.0,2657007.0,2824019.0,5003129.0,2845765.0,2377197.0,87742.0,2355453.0
