symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,Amortization,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockIssuance,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancialAssets,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfPPE,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsinSubsidiariesatCost,IssuanceOfCapitalStock,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital,WriteOff
OMER.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,-997000.0,,,,,,,,,,,,,,,,8112000.0,,,,,,,,,,,,,,,,,,,,,323000.0,,-3000.0,-3000.0,,17206000.0,,,,,,,,,,320000.0,,,,,-511000.0,,5000.0,1657000.0,,,1539000.0,,,,,,,,,,,1166000.0,-511000.0,,,,,,1677000.0,,,,,,,,,,,,61000.0,,2299000.0,,,445000.0,,1100000.0,,,,168000.0,,6992000.0,,,0.0,,3885000.0,,,,,-511000.0,,,,0.0,8000.0,2000.0,,,,,,,,3092000.0,,,,,,,,,,,,245000.0,,,,,,1266000.0,,
OMER.MI,2020-12-31,12M,EUR,8715000.0,18823000.0,,,325000.0,28750000.0,0.237496,4623000.0,-2229000.0,,5064000.0,5064000.0,-2000000.0,5064000.0,,1625000.0,461000.0,-3521000.0,-7926000.0,822000.0,1258000.0,-7742000.0,461000.0,,-2000000.0,22011000.0,,,,19254000.0,35759000.0,2408000.0,2408000.0,16400000.0,,1184000.0,,1601000.0,1276000.0,,28750000.0,0.237496,6828000.0,8993000.0,,5084000.0,,,985000.0,,-661000.0,19000.0,19000.0,4374000.0,,23515000.0,,,,,-133000.0,9443000.0,9910000.0,-2092000.0,0.0,,,7502000.0,7502000.0,-515000.0,,186000.0,,,,4846000.0,6828000.0,6828000.0,6828000.0,6828000.0,6828000.0,7826000.0,6828000.0,-60000.0,-219000.0,0.0,2985000.0,-515000.0,-219000.0,,,6285000.0,-2032000.0,3500000.0,17637000.0,,319000.0,10852000.0,7034860.497886,1568000.0,14522000.0,8993000.0,42769000.0,28750000.0,,,356000.0,,372000.0,3512000.0,,2429000.0,,0.0,,,,8516000.0,,,-73000.0,0.0,-2156000.0,,19254000.0,,1424000.0,1424000.0,-515000.0,,,,13000.0,0.0,124000.0,28750000.0,-258000.0,22011000.0,17637000.0,-51139.502114,1688000.0,0.198215,,0.0,46418000.0,29513000.0,9910000.0,,33776000.0,24407000.0,10659000.0,8007000.0,,42769000.0,,-258000.0,-258000.0,,,,,19359000.0,258000.0
OMER.MI,2021-12-31,12M,EUR,12227389.0,7017165.0,-6999546.0,12000000.0,334982.0,28750000.0,0.355516,5083999.0,-3506970.0,5750000.0,25314919.0,25314920.0,-5000000.0,25305778.0,9141.0,163590.0,20230919.0,-3797202.0,2672839.0,3518886.0,-200347.0,2357766.0,20230920.0,5750000.0,-5000000.0,40200878.0,12750000.0,0.0,1007941.0,24829261.0,51513414.0,2528152.0,2528152.0,20520159.0,3579332.0,1815109.0,,1815109.0,1480127.0,18098.0,28750000.0,0.355516,10221071.0,13960509.0,,25314918.0,115246000.0,0.0,6097150.0,1427690.0,13789370.0,,-9846.0,6293397.0,13348035.0,30108862.0,160106.0,160106.0,899.0,899.0,-103624.0,13418788.0,46778767.0,-3162570.0,,0.0,12750000.0,4049737.0,4049737.0,-2652850.0,0.0,,7706402.0,110400000.0,12750000.0,,10221071.0,10221071.0,10221072.0,10221071.0,10221071.0,10221070.0,10221072.0,-1756824.0,-156490.0,320000.0,-2652850.0,-2652850.0,-156490.0,1000000.0,1.0,6348490.0,-1725747.0,0.0,33907481.0,188.0,316617.0,15811563.0,10247693.152486,17296340.0,16289704.0,13819158.0,54938123.0,28750000.0,-1.0,6293397.0,166211.0,125.0,528964.0,1211053.0,4503692.0,4012585.0,1.0,0.0,,406554.0,364224.0,13800403.0,130000.0,-41684.0,-1781223.0,,-1725747.0,6838449.0,24829261.0,,863553.0,863553.0,-2652850.0,0.0,,10216205.0,24399.0,320000.0,,28750000.0,-35945.0,40200878.0,33907481.0,-9322.847514,3579331.0,0.259364,1385732.0,-687993.0,65493176.0,44250615.0,6577889.0,,41118965.0,25292297.0,13979763.0,4772138.0,-2717.0,54938123.0,2125711.0,-35945.0,-35945.0,387373.0,,0.0,5152649.0,30993255.0,35945.0
OMER.MI,2022-12-31,12M,EUR,8807214.0,15524023.0,-8523680.0,12000000.0,900150.0,28750000.0,0.290038,25314918.0,-4076115.0,5750000.0,13777784.0,13777785.0,,13771032.0,6752.0,361268.0,-11537135.0,-4559931.0,143378.0,-3420175.0,-8152703.0,-15628163.0,-11537135.0,5750000.0,0.0,48580990.0,0.0,-172704.0,2010881.0,30016791.0,51364977.0,1569880.0,1569880.0,15078706.0,2750748.0,2412957.0,,2412957.0,1512807.0,0.0,28750000.0,0.290038,8338606.0,11408721.0,,13777784.0,55904785.0,123177.0,-2287002.0,3145874.0,-9250133.0,,0.0,7842663.0,15022098.0,29932622.0,319367.0,319367.0,5961.0,5961.0,-308307.0,17978719.0,52769636.0,-4076115.0,123000.0,0.0,0.0,2618766.0,2618766.0,0.0,0.0,48102.0,8099723.0,71875000.0,-172704.0,,8338606.0,8338606.0,8338605.0,8338606.0,8338606.0,8338606.0,8338605.0,-2447952.0,-313406.0,0.0,0.0,0.0,-313406.0,-2114298.0,,6498419.0,-1628163.0,0.0,40738327.0,1222.0,325070.0,14538844.0,8877876.72699,-5174018.0,17927936.0,12004686.0,59949413.0,28750000.0,1.0,7842663.0,414319.0,127.0,1030995.0,1103069.0,4781494.0,2909658.0,1.0,0.0,,653935.0,627501.0,11089354.0,130000.0,38458.0,-2447952.0,0.0,-1628163.0,8643144.0,30016791.0,,1099843.0,1099843.0,0.0,-172704.0,652150.0,8904703.0,0.0,0.0,,28750000.0,-717166.0,48580990.0,40738327.0,-177895.27301,2750749.0,0.248053,547291.0,-3192636.0,67035245.0,51199756.0,4188646.0,,47944727.0,18454256.0,15670271.0,3375550.0,16056.0,59949413.0,562040.0,-717166.0,-717166.0,382263.0,,172704.0,6189701.0,36286271.0,65016.0
OMER.MI,2023-12-31,12M,EUR,12175196.0,17860467.0,-10470016.0,12000000.0,935904.0,28635408.0,0.293403,13777784.0,-4933663.0,5750000.0,17519988.0,22512481.0,-1431770.0,17512680.0,7308.0,463308.0,3742204.0,2119331.0,837680.0,3367982.0,-2285805.0,4502496.0,3742205.0,5750000.0,-1431770.0,55305830.0,,-131113.0,1761024.0,35343770.0,59516784.0,1449782.0,1449782.0,19199862.0,3039533.0,2897119.0,,2897118.0,1961214.0,,28635408.0,0.293403,8401710.0,12138270.0,,17519988.0,69576385.0,65716.0,-2851538.0,1426059.0,11586234.0,,,7672382.0,18985816.0,33885596.0,697027.0,697027.0,128905.0,128905.0,-562828.0,15853565.0,58003195.0,-9926154.0,,,,1247583.0,1247583.0,,,91680.0,10969681.0,86484066.0,-131113.0,,8401710.0,8401710.0,8401710.0,8401710.0,8401710.0,8401710.0,8401710.0,-935309.0,-579381.0,-4992492.0,,,-579381.0,-1288655.0,1.0,8515801.0,-3998354.0,,47633448.0,15792.0,328352.0,15756870.0,8931519.054183,16519897.0,21040815.0,12844781.0,69229366.0,28635408.0,-1.0,7672382.0,532293.0,200126.0,422565.0,1512677.0,6125111.0,1704990.0,4992493.0,0.0,,664296.0,684232.0,11441243.0,130000.0,62631.0,-935309.0,-4992492.0,-3998354.0,8553772.0,35343770.0,,1460666.0,1460666.0,,-131113.0,641762.0,9127734.0,,,,28750000.0,-721481.0,55305830.0,47633448.0,-191671.945817,3039533.0,0.265665,901049.0,-2353058.0,76546770.0,56553413.0,2697365.0,,56384585.0,21240940.0,17029986.0,2041078.0,11259.0,69229366.0,552035.0,-721481.0,-721481.0,157545.0,114592.0,303818.0,5873734.0,40316922.0,79719.0
