symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InterestPaidCFF,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfPPE,RepaymentOfDebt,SaleOfPPE,ShortTermDebtIssuance,ShortTermDebtPayments
BES.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,-300770.0,,,,,,,,,,,,,,
BES.MI,2020-12-31,12M,EUR,569649.0,-104145.0,-104145.0,-289426.0,-80221.0,202634.0,-743967.0,-461230.0,-289426.0,200000.0,-159408.0,190150.0,190150.0,280223.0,210666.0,-518178.0,51562.0,-1303447.0,-86059.0,200000.0,11003.0,0.0,0.0,200000.0,-64557.0,-64557.0,18086.0,10666.0,0.0,-104145.0,10666.0,-414033.0,29450.0,,-104145.0,-337.0,0.0,11003.0,-337.0
BES.MI,2021-12-31,12M,EUR,280223.0,-52874.0,,309657.0,20317.0,162144.0,-416722.0,-306311.0,309657.0,390000.0,13752.0,339514.0,339514.0,589880.0,2082674.0,-1773017.0,913690.0,,-52874.0,390000.0,3110090.0,1425662.0,-1303447.0,390000.0,-2688231.0,-2688231.0,0.0,1692674.0,122215.0,-52874.0,1570459.0,-1720143.0,7443.0,339514.0,-52874.0,-1417416.0,,1684428.0,-113969.0
BES.MI,2022-12-31,12M,EUR,589880.0,-21033.0,,-381164.0,-42278.0,279633.0,902285.0,1071973.0,-381164.0,300000.0,27502.0,,,208716.0,-110405.0,-270759.0,59527.0,,-21033.0,300000.0,0.0,0.0,-174222.0,300000.0,-1779050.0,-1779050.0,,-410405.0,-174222.0,-21033.0,-236183.0,-249726.0,167690.0,202632.0,-21033.0,-410405.0,,0.0,-236183.0
BES.MI,2023-06-30,TTM,EUR,299413.0,,,-16418.0,,268018.0,1058869.0,1210815.0,-16418.0,0.0,,,,282995.0,-337674.0,571565.0,769408.0,,-271342.0,0.0,-136914.0,,-88316.0,0.0,-2043529.0,-2231776.0,,-461413.0,-88316.0,,-373097.0,592598.0,83861.0,202632.0,,-324499.0,,-136914.0,
