asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,AssetsHeldForSaleCurrent,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,Properties,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
2022-12-31,3M,EUR,1476111.0,1327442.0,13016087.0,0.0,44533.0,15000.0,1379416.0,208716.0,1985971.0,1379416.0,-3822893.0,4219403.0,1976677.0,1976677.0,45476.0,4876831.0,71040.0,103502.0,292652.0,-469216.0,15000.0,1377000.0,1392000.0,9020.0,,3144961.0,103502.0,-3893933.0,61178.0,91183.0,29000.0,509872970.0,315112.0,1008394.0,71040.0,452.0,-419.0,49949.0,184362.0,1777255.0,1891760.0,0.0,-6832429.0,509872970.0,-3822893.0,-3893933.0,68388.0,4423397.0,-2445893.0,3368677.0,-3822893.0,8246290.0,203994.0,3369459.0,415649.0,1825517.0,-657428.0
2023-06-30,3M,EUR,241695.0,0.0,13016087.0,2585747.0,0.0,0.0,1379416.0,4609.0,1051672.0,1379416.0,-4915456.0,3725985.0,320827.0,320827.0,0.0,6602846.0,0.0,8963.0,0.0,-3542135.0,0.0,1052494.0,1052494.0,0.0,0.0,1368712.0,8963.0,-4915456.0,1255.0,5850.0,0.0,509872970.0,52746.0,942207.0,,,295.0,8963.0,,1047063.0,698437.0,0.0,-7923254.0,509872970.0,-4915456.0,-4915456.0,35820.0,3734948.0,-3862962.0,1373321.0,-4915456.0,8650404.0,8963.0,2047558.0,456742.0,987664.0,-2876861.0
