asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,FinancialAssets,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,OrdinarySharesNumber,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,Payables,Properties,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkingCapital
2022-12-31,3M,EUR,59702000.0,21728000.0,-1261000.0,-2464000.0,5227000.0,252000.0,694000.0,13100000.0,8306000.0,8306000.0,13100000.0,8007000.0,0.0,71137000.0,434000.0,3610000.0,4044000.0,70830000.0,196000.0,252000.0,,8711000.0,24192000.0,2191000.0,0.0,14549000.0,252000.0,260000.0,2932000.0,3192000.0,474000.0,1079000.0,18000.0,1556000.0,54588000.0,930000.0,-704000.0,0.0,125000.0,66000.0,114881632.0,1592000.0,,,1592000.0,830000.0,35876000.0,61363000.0,1343000.0,-5093000.0,114881632.0,8007000.0,-704000.0,84730000.0,10939000.0,7236000.0,9563000.0,75167000.0,13593000.0,4337000.0,69000.0,,307000.0
2023-06-30,3M,EUR,53545000.0,37943000.0,-2034000.0,-2535000.0,0.0,,750000.0,13100000.0,8845000.0,8845000.0,13100000.0,8145000.0,,81003000.0,148000.0,1687000.0,1835000.0,80222000.0,201000.0,216000.0,4237000.0,8707000.0,40478000.0,4501000.0,291000.0,13642000.0,,602000.0,3810000.0,4412000.0,536000.0,1441000.0,83000.0,1859000.0,49112000.0,2467000.0,-562000.0,,92000.0,144000.0,114881632.0,1547000.0,4470000.0,221000.0,1835000.0,1442000.0,33924000.0,54299000.0,2976000.0,154000.0,114881632.0,8145000.0,-562000.0,96444000.0,11955000.0,6247000.0,10004000.0,86440000.0,15441000.0,6218000.0,754000.0,,781000.0
2023-12-31,3M,EUR,58565000.0,42210000.0,-2291000.0,-2507000.0,0.0,,738000.0,13100000.0,10830000.0,10830000.0,13100000.0,10096000.0,190000.0,69833000.0,341000.0,9875000.0,10216000.0,72797000.0,,126000.0,4228000.0,8767000.0,44717000.0,4851000.0,77000.0,22775000.0,,397000.0,2804000.0,3201000.0,8506000.0,1740000.0,84000.0,3559000.0,1849000.0,2560000.0,1329000.0,147000.0,108000.0,115000.0,114881362.0,,4539000.0,,2485000.0,1235000.0,16716000.0,62581000.0,3342000.0,-3004000.0,114881362.0,10096000.0,1329000.0,91655000.0,12900000.0,13417000.0,13655000.0,78000000.0,21822000.0,5203000.0,1531000.0,0.0,-2964000.0
