symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,DeferredTax,Depreciation,DepreciationAndAmortization,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InterestPaidCFO,InvestingCashFlow,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentInsideChangeinCash,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,ShortTermDebtIssuance,ShortTermDebtPayments,TaxesRefundPaid
PTR.MI,2019-12-31,TTM,EUR,,,-1813821.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2400000.0,-1184445.0,
PTR.MI,2023-12-31,TTM,EUR,18869336.0,-7772076.0,-8956041.0,-313587.0,578449.0,3229777.0,1450768.0,-6394053.0,7606942.0,5579847.0,578449.0,-8956041.0,4712445.0,6189346.0,6189346.0,,19447785.0,-15247478.0,11977537.0,-20266363.0,-506529.0,-3923686.0,2294000.0,2294000.0,-9337024.0,10148260.0,21118867.0,23384829.0,-1887511.0,-6353965.0,-6291437.0,-7043024.0,-5830470.0,751587.0,19749613.0,,1027227.0,2379169.0,-12286740.0,-1893048.0,-8140865.0,-5879028.0,-9337024.0,22435000.0,5537.0,1786900.0,48558.0,,,-4021621.0
