symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,FinancialAssets,FinishedGoods,FixedAssetsRevaluationReserve,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentsInOtherVenturesUnderEquityMethod,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
ILLA.MI,2022-12-31,3M,EUR,5734424.0,3109435.0,1725288.0,3567500.0,3995.0,3995.0,2188.0,1807.0,3567500.0,3025351.0,0.0,10008858.0,5714561.0,5714561.0,,14630474.0,43715.0,3272646.0,4762409.0,0.0,4102615.0,10008659.0,6224653.0,13084945.0,1147.0,4345033.0,4345033.0,1147.0,133527.0,4058448.0,10055599.0,10008659.0,-1077264.0,965785.0,233004.0,2694882.0,3167.0,1390344.0,-1.0,4102615.0,1.0,735763.0,619864.0,349798.0,7254307.0,735763.0,156751.0,5330347.0,2018268.0,-9741521.0,3167.0,3025351.0,-1077264.0,164226.0,25160466.0,7370384.0,10059594.0,3025351.0,22135115.0,15151608.0,7504641.0,784120.0,98194.0,933739.0,-4621616.0
ILLA.MI,2023-06-30,3M,EUR,5454607.0,2950378.0,1041797.0,4777500.0,6760.0,6760.0,1178.0,5583.0,4777500.0,3853556.0,0.0,9897220.0,5736479.0,5736479.0,1112614.0,14460659.0,38969.0,2474007.0,4762409.0,0.0,5992659.0,10061297.0,4844291.0,13391517.0,1147.0,3801482.0,3801482.0,1147.0,163805.0,4062753.0,9531201.0,10061298.0,-2139103.0,,233004.0,2630655.0,17659281.0,,-1.0,5992659.0,-1.0,1923569.0,678795.0,763172.0,8458268.0,,169312.0,5319749.0,1542168.0,-12428569.0,17659281.0,3853556.0,-2139103.0,50693.0,25991293.0,7655038.0,9537961.0,3853556.0,22137737.0,16094073.0,7677078.0,1080092.0,848133.0,828116.0,-4563439.0
