asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EffectOfExchangeRateChanges,EndCashPosition,EnterpriseValue,EnterprisesValueEBITDARatio,FinancialAssets,FinancingCashFlow,FinishedGoods,FixedAssetsRevaluationReserve,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfPPE,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentsInOtherVenturesUnderEquityMethod,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RepurchaseOfCapitalStock,RetainedEarnings,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital,WriteOff
2019-12-31,12M,EUR,8030862.0,5410606.0,4321500.0,,317613.0,83.0,-28553.144578,1246721.0,-165841.0,837500.0,205189.0,205189.0,196692.0,8497.0,2808.0,-1041532.0,-1581078.0,-365762.0,2060048.0,-1344865.0,-1228849.0,-1041532.0,837500.0,3079824.0,0.0,,0.0,24632383.0,18558756.0,6787609.0,6787609.0,16470355.0,-196887.0,1234232.0,1234232.0,1234232.0,916619.0,83.0,-28553.144578,-2369911.0,,-2224785.0,-990553.0,,205189.0,18073470.0,-18.245838,,1511914.0,4314418.0,,-2564926.0,7197.0,,15072.0,1329125.0,,8835575.0,5006779.0,342012.0,342012.0,,,-341688.0,11397463.0,15897962.0,-154361.0,1157.0,0.0,23164.0,6030529.0,6030529.0,23164.0,-1178123.0,1157.0,30423.0,1148718.0,5778750.0,0.0,,0.0,12612949.0,-2369911.0,-2369911.0,-2369911.0,-2369911.0,-2369911.0,-2369911.0,-2369911.0,-7372.0,-340201.0,0.0,1511913.0,-1154959.0,-340201.0,1.0,,8835576.0,-146989.0,2666872.0,1750699.0,,516721.0,2596763.0,,-926660.0,-2310918.933378,-2399085.0,7167995.0,-2161216.0,29639162.0,83.0,1186390.0,1.0,1314053.0,341688.0,,367596.0,241816.0,391819.0,279013.0,0.0,8448789.0,,858182.0,-2566797.0,7295038.0,265695.0,,-7372.0,,-158469.0,5037368.0,24632383.0,1234232.0,-1178123.0,,-2847740.0,,,0.0,11480.0,83.0,-63893.0,3079824.0,1750699.0,-4900.933378,-196887.0,0.076705,408303.0,141165.0,28724615.0,9110353.0,12818138.0,3079824.0,31800378.0,25644791.0,10165858.0,9174436.0,-1811.0,29639162.0,176111.0,-63893.0,-63893.0,,2045677.0,2088401.0,63893.0
2020-12-31,12M,EUR,5095027.0,4565044.0,3762636.0,,110166.0,83.0,-24596.698795,199264.0,-982001.0,837500.0,908862.0,908862.0,881077.0,27785.0,23531.0,709598.0,2875166.0,1070434.0,-2935835.0,1045361.0,2078657.0,709598.0,837500.0,5381641.0,0.0,0.0,,23276411.0,13703971.0,5776001.0,5776001.0,13123381.0,-361524.0,201058.0,201058.0,201058.0,90892.0,83.0,-24596.698795,-2041526.0,0.0,-1910736.0,-1709678.0,0.0,908862.0,17625807.0,-10.309431,,1037958.0,3380138.0,4762409.0,-334582.0,,-3711.0,,2781068.0,,9548105.0,3998439.0,492314.0,492314.0,569.0,569.0,-531236.0,7664569.0,16649081.0,-975779.0,1147.0,0.0,0.0,5491439.0,5491439.0,0.0,0.0,1147.0,40423.0,3751730.0,4003250.0,,0.0,0.0,10358578.0,-2041526.0,-2041526.0,-2041526.0,-2041526.0,-2041526.0,-2041526.0,-2041526.0,-648406.0,-491745.0,297.0,1037958.0,0.0,-491745.0,,5925.0,9548106.0,-333595.0,1037958.0,2600573.0,895879.0,235019.0,2566111.0,6037.0,-1686600.0,-2021919.94227,647419.0,5847175.0,-1848736.0,27274850.0,83.0,1029044.0,,2781068.0,531236.0,-1.0,308402.0,576201.0,441964.0,262829.0,0.0,6238677.0,,185273.0,-2403050.0,5354411.0,1055532.0,0.0,-648406.0,0.0,-333595.0,2466055.0,23276411.0,201058.0,0.0,0.0,-4611516.0,0.0,0.0,297.0,0.0,83.0,-23078.0,5381641.0,2600573.0,-3471.94227,-361524.0,0.150444,117394.0,0.0,26936207.0,10873080.0,11267440.0,5381641.0,29123586.0,21554566.0,13232237.0,8431185.0,,27274850.0,567449.0,-23078.0,-23078.0,98194.0,1818376.0,580590.0,23078.0
2021-12-31,12M,EUR,7024660.0,3738639.0,2825847.0,-875298.0,160522.0,83.0,-27665.710843,908862.0,-1739708.0,837500.0,143988.0,143988.0,140791.0,3197.0,127305.0,-764874.0,-1457916.0,-66503.0,1929633.0,866808.0,1399327.0,-764874.0,837500.0,3085388.0,0.0,0.0,,17255684.0,13876651.0,7262201.0,7262201.0,16924565.0,30966.0,320774.0,320774.0,320775.0,160253.0,83.0,-27665.710843,-2296254.0,0.0,-1905186.0,-1584411.0,0.0,143988.0,15363916.0,-9.696926,,1451585.0,3615752.0,4762409.0,-2220129.0,,-3670.0,,3636672.0,4613937.0,10111434.0,4214260.0,360102.0,360102.0,421.0,421.0,-348603.0,8998557.0,15804414.0,-1736038.0,1147.0,0.0,0.0,5456825.0,5456825.0,0.0,-36615.0,1147.0,150423.0,4085895.0,2579500.0,,0.0,0.0,12575038.0,-2296254.0,-2296254.0,-2296254.0,-2296254.0,-2296254.0,-2296254.0,-2296254.0,-1016126.0,-359681.0,0.0,1449585.0,-36615.0,-359681.0,2000.0,,10111435.0,-719912.0,1486200.0,-551284.0,863604.0,233710.0,2549652.0,9237.0,-1317454.0,-2093366.68,-480421.0,5863988.0,-1649728.0,21469944.0,83.0,1225560.0,,3636672.0,348603.0,-10.0,587633.0,539298.0,669448.0,331655.0,0.0,7943029.0,,489410.0,-2265288.0,5356091.0,303085.0,0.0,-1016126.0,0.0,-723582.0,3140162.0,17255684.0,320774.0,-36615.0,0.0,-6907769.0,0.0,0.0,0.0,3670.0,83.0,-266957.0,3085388.0,-551284.0,-64069.68,30966.0,0.24,174402.0,-23797.0,28498747.0,8542213.0,12719026.0,3085388.0,23119672.0,25413359.0,14622095.0,8488794.0,,21469944.0,379071.0,-266957.0,-266957.0,98194.0,2242643.0,-3047914.0,266957.0
2022-12-31,12M,EUR,5734424.0,3109435.0,1725288.0,,,,,,,3567500.0,3995.0,3995.0,2188.0,1807.0,,,,,,,,,3567500.0,3025351.0,,,0.0,,10008858.0,5714561.0,5714561.0,14630474.0,,,,,,,,,,,,,,,,43715.0,,3272646.0,4762409.0,,,,0.0,4102615.0,,10008659.0,,,,,,,6224653.0,13084945.0,,1147.0,,,4345033.0,4345033.0,,,1147.0,133527.0,4058448.0,,,,,10055599.0,,,,,,,,,,,,,,,,10008659.0,,,-1077264.0,965785.0,233004.0,2694882.0,,,,,,,,3167.0,1390344.0,-1.0,4102615.0,,1.0,,735763.0,619864.0,349798.0,,7254307.0,735763.0,156751.0,,5330347.0,,,,,,2018268.0,,,,,-9741521.0,,,,,3167.0,,3025351.0,-1077264.0,,,,164226.0,,25160466.0,7370384.0,10059594.0,3025351.0,,22135115.0,15151608.0,7504641.0,,,784120.0,,,98194.0,933739.0,-4621616.0,
