symbol,asOfDate,periodType,currencyCode,BasicAverageShares,DilutedAverageShares,OtherOperatingExpenses,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
ILLA.MI,2019-12-31,TTM,EUR,,,367596.0,,
ILLA.MI,2023-06-30,TTM,EUR,17659.0,17659.0,,41260.0,41260.0
