asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,29615000.0,39282000.0,-1254000.0,39745000.0,-75000.0,1000.0,,,312000.0,257000.0,293000.0,10210000.0,11419000.0,10210000.0,293000.0,60308000.0,,57224000.0,84000.0,111000.0,195000.0,36540000.0,7000.0,0.0,,,0.0,19176000.0,42590000.0,39357000.0,1587000.0,0.0,60984000.0,1000.0,43000.0,2000.0,173000.0,565000.0,738000.0,43000.0,147000.0,84000.0,333000.0,17718000.0,331000.0,450000.0,0.0,2367000.0,31000.0,29338195.0,,2707000.0,23414000.0,-1000.0,304000.0,3364000.0,1126000.0,5004000.0,1209000.0,35890000.0,0.0,0.0,58000.0,4819000.0,29338195.0,60308000.0,17718000.0,1461000.0,100672000.0,60873000.0,933000.0,60392000.0,40280000.0,43447000.0,3740000.0,2911000.0,0.0,20684000.0
2023-06-30,3M,EUR,33129000.0,45228000.0,,39745000.0,-95000.0,4000.0,,,266000.0,285000.0,293000.0,11408000.0,12520000.0,11408000.0,293000.0,64015000.0,1000.0,65339000.0,119000.0,62000.0,181000.0,42407000.0,,,,,,19176000.0,44111000.0,45323000.0,381000.0,,64491000.0,4000.0,45000.0,,166000.0,414000.0,580000.0,45000.0,12000.0,92000.0,381000.0,19904000.0,999000.0,532000.0,,2406000.0,34000.0,29338195.0,1000.0,,24935000.0,1000.0,228000.0,4241000.0,102000.0,7517000.0,1112000.0,41208000.0,0.0,,73000.0,3110000.0,29338195.0,64015000.0,19904000.0,,110727000.0,64429000.0,761000.0,64107000.0,46620000.0,45388000.0,4213000.0,3838000.0,,22932000.0
2023-12-31,3M,EUR,33849000.0,46334000.0,-1369000.0,39745000.0,-95000.0,4000.0,,,,224000.0,297000.0,8885000.0,10380000.0,8885000.0,297000.0,69733000.0,1000.0,64633000.0,121000.0,30000.0,151000.0,40837000.0,,0.0,,,,24013000.0,52581000.0,46429000.0,1682000.0,,72795000.0,4000.0,45000.0,,103000.0,3032000.0,3135000.0,45000.0,158000.0,107000.0,313000.0,17152000.0,759000.0,236000.0,126000.0,3220000.0,47000.0,29689395.0,1000.0,3259000.0,28568000.0,,227000.0,4312000.0,1523000.0,4657000.0,1495000.0,40004000.0,,,76000.0,9290000.0,29689395.0,69733000.0,17152000.0,3185000.0,118144000.0,72765000.0,3286000.0,69840000.0,48304000.0,53512000.0,7467000.0,1843000.0,,23796000.0
2024-03-31,3M,EUR,,,,,,,29689395.0,0.043787,,,,,,,,,,,,,,,,,29689395.0,0.043787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
